timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,45,0,4455,99,45,20,0,1980,99,20
2,45,0,4410,98,45,20,0,1960,98,20
3,45,0,4365,97,45,20,0,1940,97,20
4,45,0,4320,96,45,20,0,1920,96,20
5,45,0,4275,95,45,20,0,1900,95,20
6,45,0,4230,94,45,20,0,1880,94,20
7,45,0,4185,93,45,20,0,1860,93,20
8,45,0,4140,92,45,20,0,1840,92,20
9,45,0,4095,91,45,20,0,1820,91,20
10,46,0,4050,88,46,21,0,1800,85,21
11,47,0,4004,85,47,22,0,1779,80,22
12,48,0,3957,82,48,23,0,1757,76,23
13,49,0,3909,79,49,24,0,1734,72,24
14,50,0,3860,77,50,25,0,1710,68,25
15,51,0,3810,74,51,26,0,1685,64,26
16,52,0,3759,72,52,27,0,1659,61,27
17,53,0,3707,69,53,28,0,1632,58,28
18,54,0,3654,67,54,29,0,1604,55,29
19,55,0,3600,65,55,30,0,1575,52,30
20,56,0,3545,63,56,31,0,1545,49,31
21,57,0,3489,61,57,32,0,1514,47,32
22,58,0,3432,59,58,33,0,1482,44,33
23,59,0,3374,57,59,34,0,1449,42,34
24,60,0,3315,55,60,35,0,1415,40,35
25,61,0,3255,53,61,36,0,1380,38,36
26,62,0,3194,51,62,37,0,1344,36,37
27,63,0,3132,49,63,38,0,1307,34,38
28,64,0,3069,47,64,39,0,1269,32,39
29,65,0,3005,46,65,40,0,1230,30,40
30,66,0,2940,44,66,41,0,1190,29,41
31,67,0,2874,42,67,42,0,1149,27,42
32,68,0,2807,41,68,43,0,1107,25,43
33,69,0,2739,39,69,43,0,1064,24,42
34,70,0,2670,38,70,43,0,1021,23,41
35,71,0,2600,36,71,43,0,978,22,40
36,72,0,2529,35,72,43,0,935,21,39
37,73,0,2457,33,73,43,0,892,20,38
38,74,0,2384,32,74,43,0,849,19,38
39,75,0,2310,30,75,43,0,906,21,38
40,76,0,2235,29,76,43,0,863,20,37
41,77,0,2159,28,77,43,0,820,19,36
42,78,0,2082,26,78,43,0,777,18,35
43,78,0,2004,25,78,43,0,734,17,34
44,78,0,1926,24,77,43,0,691,16,34
45,78,0,1848,23,76,43,0,748,17,37
46,78,0,1770,22,75,43,0,1005,23,37
47,78,0,1692,21,74,43,0,962,22,36
48,78,0,1614,20,73,43,0,919,21,36
49,78,0,1536,19,73,43,0,976,22,35
50,78,0,1558,19,73,43,0,933,21,34
51,78,0,1480,18,72,43,0,890,20,34
52,78,0,1402,17,71,43,0,947,22,35
53,78,0,1324,16,70,43,0,1004,23,36
54,78,0,1246,15,70,43,0,1061,24,36
55,78,0,1268,16,70,43,0,1118,26,35
56,78,0,1190,15,70,43,0,1075,25,35
57,78,0,1212,15,71,43,0,1032,24,35
58,78,0,1234,15,71,43,0,1089,25,36
59,78,0,1256,16,72,43,0,1146,26,36
60,78,0,1378,17,71,43,0,1203,27,36
61,78,0,1300,16,70,43,0,1160,26,38
62,78,0,1222,15,69,43,0,1317,30,39
63,78,0,1144,14,70,43,0,1374,31,40
64,78,0,1266,16,71,43,0,1431,33,40
65,78,0,1288,16,71,43,0,1388,32,40
66,78,0,1310,16,72,43,0,1345,31,41
67,78,0,1332,17,71,43,0,1402,32,41
68,78,0,1254,16,70,43,0,1359,31,43
69,78,0,1176,15,69,43,0,1516,35,43
70,78,0,1098,14,68,43,0,1473,34,43
71,78,0,1020,13,68,43,0,1430,33,43
72,78,0,1042,13,69,44,0,1387,31,44
73,78,0,1064,13,69,45,0,1343,29,45
74,78,0,1086,13,71,46,0,1298,28,46
75,78,0,1208,15,72,47,0,1252,26,47
76,78,0,1230,15,72,47,0,1205,25,47
77,78,0,1252,16,71,47,0,1158,24,46
78,78,0,1174,15,71,47,0,1111,23,45
79,78,0,1196,15,71,47,0,1064,22,44
80,78,0,1118,14,70,47,0,1017,21,43
81,78,0,1040,13,70,47,0,970,20,42
82,78,0,1062,13,72,47,0,923,19,42
83,78,0,1184,15,71,47,0,976,20,42
84,78,0,1106,14,71,47,0,929,19,41
85,78,0,1128,14,71,47,0,882,18,40
86,78,0,1050,13,71,47,0,835,17,39
87,78,0,1072,13,71,47,0,788,16,38
88,77,1,994,12,69,47,0,741,15,38
89,76,2,917,12,69,47,0,794,16,40
90,75,3,1041,13,69,47,0,947,20,40
91,74,4,1066,14,68,47,0,900,19,41
92,73,5,992,13,67,47,0,1053,22,40
93,72,6,1019,14,67,47,0,1006,21,39
94,71,7,1047,14,65,47,0,959,20,39
95,70,8,976,13,64,47,0,1012,21,39
96,69,9,1006,14,63,47,0,965,20,40
97,68,10,937,13,63,47,0,1118,23,41
98,67,11,1069,15,62,47,0,1171,24,41
99,66,12,1002,15,61,47,0,1224,26,40
100,65,13,1036,15,61,47,0,1177,25,40
101,64,14,1071,16,60,47,0,1130,24,40
102,64,14,1007,15,60,47,0,1183,25,40
103,64,14,1043,16,61,47,0,1236,26,41
104,64,14,1079,16,62,47,0,1289,27,41
105,64,14,1115,17,62,47,0,1242,26,42
106,64,14,1051,16,61,47,0,1295,27,43
107,64,14,987,15,61,47,0,1348,28,45
108,64,14,1023,15,62,47,0,1501,31,46
109,64,14,1059,16,62,47,0,1554,33,46
110,64,14,995,15,61,47,0,1507,32,46
111,64,14,931,14,60,47,0,1460,31,46
112,64,14,867,13,59,47,0,1413,30,46
113,64,14,803,12,58,47,0,1366,29,47
114,64,14,739,11,57,47,0,1419,30,47
115,64,14,675,10,57,47,0,1372,29,47
