timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,45,0,4455,99,45,20,0,1980,99,20
2,45,0,4410,98,45,20,0,1960,98,20
3,45,0,4365,97,45,20,0,1940,97,20
4,45,0,4320,96,45,20,0,1920,96,20
5,45,0,4275,95,45,20,0,1900,95,20
6,45,0,4230,94,45,20,0,1880,94,20
7,45,0,4185,93,45,20,0,1860,93,20
8,45,0,4140,92,45,20,0,1840,92,20
9,45,0,4095,91,45,20,0,1820,91,20
10,46,0,4050,88,46,21,0,1800,85,21
11,47,0,4004,85,47,22,0,1779,80,22
12,48,0,3957,82,48,23,0,1757,76,23
13,49,0,3909,79,49,24,0,1734,72,24
14,50,0,3860,77,50,25,0,1710,68,25
15,51,0,3810,74,51,26,0,1685,64,26
16,52,0,3759,72,52,27,0,1659,61,27
17,53,0,3707,69,53,28,0,1632,58,28
18,54,0,3654,67,54,29,0,1604,55,29
19,55,0,3600,65,55,30,0,1575,52,30
20,56,0,3545,63,56,31,0,1545,49,31
21,57,0,3489,61,57,32,0,1514,47,32
22,58,0,3432,59,58,33,0,1482,44,33
23,59,0,3374,57,59,34,0,1449,42,34
24,60,0,3315,55,60,35,0,1415,40,35
25,61,0,3255,53,61,36,0,1380,38,36
26,62,0,3194,51,62,37,0,1344,36,37
27,63,0,3132,49,63,38,0,1307,34,38
28,64,0,3069,47,64,39,0,1269,32,39
29,65,0,3005,46,65,40,0,1230,30,40
30,66,0,2940,44,66,41,0,1190,29,41
31,67,0,2874,42,67,42,0,1149,27,42
32,68,0,2807,41,68,43,0,1107,25,43
33,69,0,2739,39,69,43,0,1064,24,42
34,70,0,2670,38,70,43,0,1021,23,41
35,71,0,2600,36,71,43,0,978,22,40
36,72,0,2529,35,72,43,0,935,21,39
37,73,0,2457,33,73,43,0,892,20,38
38,74,0,2384,32,74,43,0,849,19,38
39,75,0,2310,30,75,43,0,906,21,38
40,76,0,2235,29,76,43,0,863,20,37
41,77,0,2159,28,77,43,0,820,19,37
42,78,0,2082,26,78,43,0,877,20,37
43,78,0,2004,25,78,43,0,834,19,37
44,78,0,1926,24,77,43,0,891,20,38
45,78,0,1848,23,76,43,0,948,22,38
46,78,0,1770,22,75,43,0,905,21,37
47,78,0,1692,21,74,43,0,862,20,37
48,78,0,1614,20,73,43,0,919,21,39
49,78,0,1536,19,73,43,0,1076,25,39
50,78,0,1558,19,73,43,0,1033,24,39
51,78,0,1480,18,72,43,0,1090,25,39
52,78,0,1402,17,72,43,0,1147,26,39
53,78,0,1424,18,72,43,0,1104,25,39
54,78,0,1346,17,72,43,0,1061,24,38
55,78,0,1368,17,73,43,0,1018,23,39
56,78,0,1390,17,74,43,0,1175,27,39
57,78,0,1412,18,74,43,0,1132,26,39
58,78,0,1434,18,73,43,0,1089,25,41
59,78,0,1356,17,73,43,0,1246,28,40
60,78,0,1378,17,72,43,0,1203,27,41
61,78,0,1300,16,71,43,0,1260,29,41
62,78,0,1222,15,72,43,0,1217,28,41
63,78,0,1344,17,72,43,0,1174,27,41
64,78,0,1266,16,71,43,0,1131,26,41
65,78,0,1188,15,71,43,0,1088,25,41
66,78,0,1210,15,71,43,0,1045,24,41
67,78,0,1132,14,73,43,0,1102,25,42
68,78,0,1354,17,74,43,0,1159,26,42
69,78,0,1376,17,73,43,0,1116,25,42
70,78,0,1298,16,73,43,0,1073,24,41
71,78,0,1320,16,72,43,0,1030,23,41
72,78,0,1242,15,71,43,0,1087,25,41
73,78,0,1164,14,70,43,0,1044,24,40
74,78,0,1086,13,70,43,0,1001,23,39
75,78,0,1108,14,71,43,0,958,22,38
76,78,0,1130,14,72,43,0,915,21,37
77,78,0,1152,14,72,43,0,872,20,37
78,78,0,1174,15,72,43,0,929,21,38
79,78,0,1196,15,73,43,0,986,22,37
80,78,0,1218,15,73,43,0,943,21,37
81,78,0,1240,15,73,43,0,1000,23,37
82,77,1,1262,16,72,43,0,957,22,37
83,77,1,1285,16,71,43,0,1014,23,38
84,77,1,1208,15,70,43,0,1071,24,38
85,77,1,1131,14,71,43,0,1028,23,38
86,77,1,1254,16,71,43,0,1085,25,38
87,77,1,1177,15,70,43,0,1042,24,38
88,77,1,1100,14,70,43,0,1099,25,39
89,77,1,1123,14,70,43,0,1156,26,39
90,77,1,1046,13,71,43,0,1213,28,40
91,77,1,1169,15,72,43,0,1270,29,40
92,77,1,1192,15,72,43,0,1227,28,42
93,77,1,1215,15,71,43,0,1384,32,42
94,77,1,1138,14,71,43,0,1341,31,42
95,77,1,1161,15,72,43,0,1298,30,42
96,77,1,1184,15,71,43,0,1255,29,42
97,76,2,1107,14,70,43,0,1212,28,42
98,75,3,1131,15,69,43,0,1169,27,42
99,74,4,1056,14,68,43,0,1126,26,42
100,73,5,1082,14,67,43,0,1083,25,43
101,72,6,1009,14,67,43,0,1140,26,42
102,71,7,1137,16,68,43,0,1097,25,42
103,71,7,1266,17,67,43,0,1054,24,41
104,71,7,1195,16,66,43,0,1011,23,40
105,71,7,1124,15,66,43,0,968,22,39
106,71,7,1153,16,66,43,0,925,21,39
107,71,7,1082,15,65,43,0,982,22,39
108,71,7,1011,14,66,43,0,939,21,38
109,71,7,1140,16,66,43,0,896,20,37
110,71,7,1069,15,65,43,0,853,19,37
111,71,7,998,14,65,43,0,910,21,38
112,71,7,1027,14,66,43,0,967,22,37
113,71,7,1056,14,67,43,0,924,21,37
114,71,7,1085,15,67,43,0,981,22,37
115,71,7,1114,15,66,43,0,938,21,37
