timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,45,0,4455,99,12,20,0,1980,99,5
2,45,0,4410,98,12,20,0,1960,98,5
3,45,0,4365,97,12,20,0,1940,97,5
4,45,0,4320,96,12,20,0,1920,96,5
5,45,0,4275,95,12,20,0,1900,95,5
6,45,0,4230,94,13,20,0,1880,94,6
7,45,0,4285,95,12,20,0,1960,98,6
8,45,0,4240,94,12,20,0,1940,97,6
9,45,0,4195,93,13,20,0,1920,96,7
10,46,0,4250,92,13,21,0,2000,95,7
11,47,0,4204,89,13,22,0,1979,89,7
12,48,0,4157,86,15,23,0,1957,85,8
13,49,0,4309,87,14,24,0,2034,84,8
14,50,0,4360,87,14,25,0,2110,84,8
15,51,0,4310,84,15,26,0,2085,80,9
16,52,0,4359,83,15,27,0,2159,79,9
17,53,0,4407,83,16,28,0,2232,79,9
18,54,0,4454,82,16,29,0,2304,79,9
19,55,0,4500,81,15,30,0,2275,75,10
20,56,0,4445,79,16,31,0,2345,75,11
21,57,0,4489,78,18,32,0,2514,78,10
22,58,0,4632,79,16,33,0,2482,75,9
23,59,0,4574,77,16,34,0,2449,72,12
24,60,0,4515,75,18,35,0,2615,74,10
25,61,0,4655,76,18,36,0,2580,71,11
26,62,0,4694,75,17,37,0,2644,71,14
27,63,0,4632,73,18,38,0,3007,79,12
28,64,0,4669,72,18,39,0,2969,76,11
29,65,0,4705,72,18,40,0,2930,73,13
30,66,0,4740,71,19,41,0,3090,75,12
31,67,0,4774,71,18,42,0,3149,74,12
32,68,0,4707,69,19,43,0,3107,72,15
33,69,0,4739,68,20,44,0,3364,76,15
34,70,0,4870,69,19,45,0,3420,76,14
35,71,0,4800,67,19,46,0,3475,75,15
36,72,0,4729,65,21,47,0,3629,77,13
37,73,0,4857,66,20,48,0,3582,74,14
38,74,0,4884,66,20,49,0,3634,74,17
39,75,0,4810,64,21,50,0,3985,79,14
40,76,0,4835,63,21,51,0,3935,77,14
41,77,0,4859,63,21,52,0,3884,74,17
42,78,0,4882,62,22,53,0,4132,77,15
43,79,0,4904,62,21,54,0,4179,77,15
44,80,0,4825,60,22,55,0,4125,75,18
45,81,0,4845,59,23,56,0,4370,78,18
46,82,0,4964,60,22,57,0,4414,77,16
47,83,0,4882,58,22,58,0,4457,76,18
48,84,0,4799,57,24,59,0,4599,77,17
49,85,0,4915,57,24,60,0,4540,75,17
50,86,0,4930,57,23,61,0,4580,75,20
51,87,0,4844,55,24,62,0,4819,77,17
52,88,0,4857,55,24,63,0,4757,75,17
53,89,0,4869,54,25,64,0,4694,73,19
54,90,0,4880,54,25,65,0,4830,74,18
55,91,0,4890,53,24,66,0,4765,72,18
56,92,0,4799,52,25,67,0,4699,70,21
57,93,0,4807,51,27,68,0,4932,72,19
58,94,0,4914,52,26,69,0,4864,70,18
59,95,0,4820,50,25,70,0,4795,68,21
60,96,0,4725,49,27,71,0,4925,69,19
61,97,0,4829,49,26,72,0,4854,67,19
62,98,0,4832,49,26,73,0,4782,65,22
63,99,0,4734,47,27,74,0,5009,67,20
64,100,0,4735,47,27,75,0,4935,65,20
65,101,0,4735,46,27,76,0,4860,63,22
66,102,0,4734,46,28,77,0,4984,64,20
67,103,0,4732,45,27,78,0,4907,62,21
68,104,0,4629,44,28,79,0,4829,61,24
69,105,0,4625,44,30,80,0,5050,63,22
70,106,0,4720,44,28,81,0,4970,61,21
71,107,0,4614,43,28,82,0,4889,59,24
72,108,0,4507,41,30,83,0,5007,60,22
73,109,0,4599,42,29,84,0,4924,58,22
74,110,0,4590,41,29,85,0,4840,56,25
75,111,0,4480,40,30,86,0,5055,58,23
76,112,0,4469,39,31,87,0,4969,57,23
77,113,0,4457,39,30,88,0,4882,55,25
78,114,0,4444,38,31,89,0,4994,56,23
79,115,0,4430,38,31,90,0,4905,54,24
80,116,0,4315,37,31,91,0,4815,52,27
81,117,0,4299,36,33,92,0,5024,54,24
82,118,0,4382,37,32,93,0,4932,53,25
