timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,5
2,20,0,1960,98,5
3,20,0,1940,97,5
4,20,0,1920,96,5
5,20,0,1900,95,5
6,20,0,1880,94,6
7,20,0,1960,98,6
8,20,0,1940,97,6
9,20,0,1920,96,6
10,21,0,1900,90,10
11,22,0,2179,99,7
12,23,0,2157,93,9
13,24,0,2334,97,8
14,25,0,2310,92,9
15,26,0,2385,91,8
16,27,0,2359,87,12
17,28,0,2732,97,9
18,29,0,2704,93,10
19,30,0,2875,95,9
20,31,0,2845,91,13
21,32,0,3214,100,11
22,33,0,3282,99,12
23,34,0,3449,101,10
24,35,0,3415,97,13
25,36,0,3680,102,12
26,37,0,3744,101,14
27,38,0,4007,105,12
28,39,0,4069,104,13
29,40,0,4230,105,11
30,41,0,4190,102,14
31,42,0,4449,105,15
32,43,0,4607,107,16
33,44,0,4964,112,15
34,45,0,5020,111,16
35,46,0,5275,114,15
36,47,0,5329,113,15
37,48,0,5482,114,16
38,49,0,5634,114,15
39,50,0,5685,113,18
40,51,0,6035,118,17
41,52,0,6184,118,17
42,53,0,6332,119,15
43,54,0,6279,116,17
44,55,0,6425,116,20
45,56,0,6770,120,19
46,57,0,6914,121,19
47,58,0,7257,125,19
48,59,0,7399,125,19
49,60,0,7640,127,22
50,61,0,8080,132,19
51,62,0,8219,132,19
52,63,0,8357,132,20
53,64,0,8494,132,20
54,65,0,8730,134,21
55,66,0,8965,135,21
56,67,0,9199,137,22
57,68,0,9432,138,21
58,69,0,9664,140,21
59,70,0,9895,141,22
60,71,0,10125,142,20
61,72,0,10154,141,25
62,73,0,10682,146,27
63,74,0,11109,150,25
64,75,0,11235,149,22
65,76,0,11260,148,24
66,77,0,11584,150,24
67,78,0,11707,150,29
68,79,0,12329,156,29
69,80,0,12650,158,21
70,81,0,12570,155,25
71,82,0,12889,157,27
72,83,0,13207,159,26
73,84,0,13324,158,26
74,85,0,13540,159,33
75,86,0,14055,163,34
76,87,0,13969,160,40
77,88,0,14382,163,47
78,89,0,14894,167,51
79,89,1,15105,169,54
80,41,50,15216,371,10
81,42,50,15575,370,13
82,43,50,15733,365,17
83,44,50,16190,367,18
84,45,50,16546,367,15
85,46,50,16701,363,13
86,47,50,16655,354,17
87,48,50,17008,354,14
88,49,50,17060,348,14
89,50,50,17111,342,17
90,51,50,17361,340,17
91,52,50,17610,338,16
92,53,50,17658,333,19
93,54,50,18005,333,20
94,55,50,18451,335,20
95,56,50,18696,333,17
96,57,50,18740,328,19
97,58,50,18983,327,20
98,59,50,19225,325,17
99,60,50,19266,321,20
100,61,50,19606,321,21
101,62,50,19645,316,21
102,63,50,19983,317,19
103,64,50,20020,312,19
104,65,50,20156,310,23
105,66,50,20591,311,21
106,67,50,20625,307,24
107,67,51,21058,314,22
108,68,51,21391,314,21
109,69,51,21523,311,19
110,70,51,21454,306,24
111,71,51,21884,308,22
112,72,51,22113,307,20
113,73,51,22141,303,22
114,74,51,22368,302,24
115,75,51,22694,302,26
116,76,51,22919,301,25
117,77,51,23143,300,24
118,78,51,23266,298,25
119,79,51,23588,298,24
120,80,51,23809,297,26
121,80,52,24229,302,24
122,81,52,24249,299,28
123,82,52,24468,298,33
124,83,52,24786,298,36
125,84,52,24903,296,42
126,85,52,25319,297,48
127,84,54,25734,306,51
128,39,100,25850,662,10
129,40,100,26211,655,14
130,41,100,26471,645,17
131,27,115,26620,985,5
132,25,118,26783,1071,7
133,23,121,27148,1180,7
134,19,126,27315,1437,8
135,17,129,27786,1634,7
136,12,135,27859,2321,3
137,11,137,27937,2539,5
138,10,139,28216,2821,5
139,7,143,28296,4042,3
140,6,145,28379,4729,4
141,5,147,28563,5712,3
142,3,150,28558,9519,1
143,4,150,28555,7138,3
144,5,150,28651,5730,3
145,6,150,28646,4774,3
146,7,150,28640,4091,4
147,8,150,28733,3591,4
148,9,150,28725,3191,3
149,10,150,28716,2871,4
150,11,150,28706,2609,4
151,12,150,28695,2391,4
152,13,150,28683,2206,5
153,14,150,28670,2047,7
154,15,150,28856,1923,7
155,16,150,28941,1808,6
156,17,150,29025,1707,5
157,18,150,29008,1611,6
158,19,150,28990,1525,8
159,20,150,29171,1458,8
160,21,150,29251,1392,6
161,22,150,29230,1328,7
162,23,150,29208,1269,7
163,24,150,29185,1216,9
164,25,150,29361,1174,8
165,26,150,29436,1132,9
166,27,150,29510,1092,9
167,28,150,29583,1056,10
168,29,150,29755,1026,11
169,30,150,29926,997,13
170,31,150,30196,974,11
171,32,150,30265,945,11
172,33,150,30333,919,9
173,34,150,30300,891,11
174,35,150,30366,867,13
175,36,150,30631,850,15
176,37,150,30995,837,11
177,38,150,30958,814,12
178,39,150,31020,795,16
179,40,150,31381,784,16
180,41,150,31541,769,12
181,42,150,31500,750,15
182,43,150,31758,738,13
183,44,150,31815,723,12
184,45,150,31771,706,16
185,46,150,32026,696,19
186,47,150,32480,691,16
187,48,150,32533,677,15
188,49,150,32585,665,15
189,50,150,32736,654,17
190,51,150,32986,646,16
191,52,150,33035,635,19
192,53,150,33483,631,16
193,54,150,33430,619,18
194,54,151,33676,623,18
195,55,151,33922,616,18
196,56,151,33967,606,21
197,57,151,34111,598,29
198,58,151,34754,599,32
199,59,151,34896,591,35
200,59,152,35037,593,37
201,24,188,35068,1461,3
202,23,190,35134,1527,6
203,22,192,35501,1613,8
204,18,197,35769,1987,5
205,16,200,35851,2240,6
206,17,200,36135,2125,7
207,18,200,36218,2012,11
208,19,200,36600,1926,9
209,20,200,36681,1834,7
210,21,200,36661,1745,10
211,22,200,36940,1679,11
212,23,200,36918,1605,13
213,24,200,36995,1541,15
214,25,200,37071,1482,16
215,26,200,37046,1424,19
216,27,200,37220,1378,20
217,8,220,37183,4647,3
218,8,221,37365,4670,3
219,6,224,37347,6224,1
220,6,225,37331,6221,4
221,6,226,37615,6269,4
222,3,230,37599,12533,1
223,3,231,37586,12528,2
224,3,232,37673,12557,2
225,2,234,37660,18830,2
226,2,235,37748,18874,2
227,1,237,37736,37736,1
228,1,238,37725,37725,1
229,1,239,37714,37714,1
230,1,240,37703,37703,1
231,1,241,37692,37692,1
232,1,242,37681,37681,1
233,1,243,37670,37670,1
234,1,244,37659,37659,1
235,1,245,37648,37648,1
236,1,246,37637,37637,1
237,1,247,37626,37626,1
238,1,248,37615,37615,1
239,1,249,37604,37604,1
240,1,250,37603,37603,1
241,2,250,37602,18801,2
242,3,250,37600,12533,2
243,4,250,37597,9399,2
244,5,250,37593,7518,2
245,6,250,37588,6264,3
246,7,250,37582,5368,3
247,8,250,37575,4696,3
248,9,250,37567,4174,3
249,10,250,37558,3755,4
250,11,250,37548,3413,4
251,12,250,37537,3128,5
252,13,250,37625,2894,6
253,14,250,37812,2700,5
254,15,250,37798,2519,5
255,16,250,37783,2361,6
256,17,250,37867,2227,8
257,18,250,37950,2108,9
258,19,250,37932,1996,10
259,19,251,37913,1995,12
260,9,262,37984,4220,2
261,8,264,37965,4745,1
262,8,265,37947,4743,2
263,8,266,38029,4753,5
264,7,268,38311,5473,6
265,4,272,38494,9623,4
266,2,275,38580,19290,2
267,1,277,38568,38568,1
268,1,278,38557,38557,1
269,1,279,38546,38546,1
270,1,280,38535,38535,1
271,1,281,38524,38524,1
272,1,282,38513,38513,1
273,1,283,38502,38502,1
274,1,284,38491,38491,1
275,1,285,38480,38480,1
276,1,286,38469,38469,1
277,1,287,38458,38458,1
278,1,288,38447,38447,1
279,1,289,38436,38436,1
280,1,290,38425,38425,1
281,1,291,38414,38414,1
282,1,292,38403,38403,1
283,1,293,38392,38392,1
284,1,294,38381,38381,1
285,1,295,38370,38370,1
286,1,296,38359,38359,1
287,1,297,38348,38348,1
288,1,298,38337,38337,1
289,1,299,38316,38316,1
290,1,300,38295,38295,1
291,1,301,38274,38274,1
292,1,302,38253,38253,1
293,1,303,38232,38232,1
294,1,304,38211,38211,1
295,1,305,38190,38190,1
296,1,306,38169,38169,1
297,1,307,38148,38148,1
298,1,308,38127,38127,1
299,1,309,38106,38106,1
300,1,310,38085,38085,1
301,1,311,38064,38064,1
302,1,312,38043,38043,1
303,1,313,38022,38022,1
304,1,314,38001,38001,1
305,1,315,37980,37980,1
306,1,316,37959,37959,1
307,1,317,37938,37938,1
308,1,318,37917,37917,1
309,1,319,37896,37896,1
310,1,320,37875,37875,1
311,1,321,37854,37854,1
312,1,322,37833,37833,1
313,1,323,37812,37812,1
314,1,324,37791,37791,1
315,1,325,37770,37770,1
316,1,326,37749,37749,1
317,1,327,37728,37728,1
318,1,328,37707,37707,1
319,1,329,37686,37686,1
320,1,330,37665,37665,1
321,1,331,37644,37644,1
322,1,332,37623,37623,1
323,1,333,37602,37602,1
324,1,334,37581,37581,1
325,1,335,37560,37560,1
326,1,336,37539,37539,1
327,1,337,37518,37518,1
328,1,338,37497,37497,1
329,1,339,37476,37476,1
330,1,340,37455,37455,1
331,1,341,37434,37434,1
332,1,342,37413,37413,1
333,1,343,37392,37392,1
334,1,344,37371,37371,1
335,1,345,37350,37350,1
336,1,346,37329,37329,1
337,1,347,37308,37308,1
338,1,348,37297,37297,1
339,1,349,37286,37286,1
340,1,350,37285,37285,1
341,2,350,37284,18642,2
342,3,350,37282,12427,2
343,4,350,37279,9319,2
344,5,350,37275,7455,2
345,6,350,37270,6211,3
346,7,350,37264,5323,3
347,8,350,37257,4657,3
348,9,350,37249,4138,3
349,10,350,37240,3724,5
350,11,350,37330,3393,5
351,12,350,37319,3109,5
352,13,350,37407,2877,6
353,14,350,37494,2678,5
354,15,350,37480,2498,5
355,16,350,37465,2341,7
356,17,350,37649,2214,7
357,18,350,37732,2096,7
358,19,350,37814,1990,8
359,20,350,37795,1889,10
