timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,0
2,20,0,1960,98,0
3,20,0,1940,97,0
4,20,0,1920,96,0
5,20,0,1900,95,0
6,20,0,1880,94,1
7,20,0,1960,98,1
8,20,0,1940,97,0
9,20,0,1920,96,0
10,21,0,1900,90,5
11,22,0,2279,103,5
12,23,0,2257,98,2
13,24,0,2334,97,3
14,25,0,2410,96,3
15,26,0,2485,95,2
16,27,0,2459,91,4
17,28,0,2732,97,4
18,29,0,2704,93,2
19,30,0,2775,92,3
20,31,0,2845,91,6
21,32,0,3214,100,6
22,33,0,3282,99,4
23,34,0,3449,101,4
24,35,0,3515,100,2
25,36,0,3480,96,1
26,37,0,3444,93,3
27,38,0,3607,94,5
28,39,0,3769,96,3
29,40,0,3730,93,4
30,41,0,3990,97,8
31,42,0,4349,103,6
32,43,0,4407,102,3
33,44,0,4464,101,2
34,45,0,4420,98,2
35,46,0,4475,97,2
36,47,0,4429,94,2
37,48,0,4482,93,4
38,49,0,4634,94,7
39,50,0,4985,99,7
40,51,0,5135,100,6
41,52,0,5384,103,5
42,53,0,5432,102,2
43,54,0,5379,99,4
44,55,0,5625,102,4
45,56,0,5570,99,3
46,57,0,5714,100,4
47,58,0,5757,99,5
48,59,0,5999,101,7
49,60,0,6240,104,5
50,61,0,6280,102,2
51,62,0,6219,100,5
52,63,0,6557,104,6
53,64,0,6594,103,7
54,65,0,7030,108,6
55,66,0,6965,105,2
56,67,0,6999,104,4
57,68,0,7032,103,7
58,69,0,7164,103,10
59,70,0,7295,104,13
60,70,1,7425,106,15
61,57,15,7430,130,5
62,56,17,7648,136,5
63,53,21,7667,144,4
64,52,23,7789,149,4
65,50,26,7812,156,3
66,49,28,7837,159,3
67,48,30,7863,163,3
68,47,32,7890,167,4
69,46,34,8018,174,5
70,44,37,8147,185,5
71,42,40,8278,197,4
72,40,43,8311,207,6
73,39,45,8646,221,5
74,35,50,8582,245,1
75,35,51,8522,243,1
76,35,52,8462,241,8
77,35,53,9102,260,9
78,28,61,9142,326,5
79,27,63,9389,347,5
80,24,67,9437,393,3
81,23,69,9488,412,3
82,22,71,9540,433,4
83,21,73,9693,461,3
84,20,75,9672,483,6
85,21,75,10052,478,7
86,22,75,10231,465,4
87,23,75,10309,448,2
88,24,75,10286,428,3
89,25,75,10462,418,4
90,26,75,10537,405,3
91,27,75,10611,393,2
92,28,75,10584,378,2
93,29,75,10656,367,2
94,30,75,10627,354,2
95,31,75,10697,345,4
96,32,75,10866,339,3
97,33,75,10834,328,2
98,34,75,10901,320,4
99,35,75,11067,316,6
100,36,75,11332,314,4
101,37,75,11296,305,2
102,38,75,11359,298,3
103,39,75,11421,292,4
104,40,75,11582,289,3
105,41,75,11542,281,3
106,42,75,11701,278,6
107,43,75,11959,278,6
108,44,75,12116,275,3
109,45,75,12072,268,2
110,46,75,12127,263,2
111,47,75,12081,257,2
112,48,75,12134,252,6
113,49,75,12486,254,6
114,50,75,12537,250,5
115,51,75,12787,250,6
116,52,75,12936,248,3
117,53,75,12884,243,3
118,54,75,13031,241,5
119,55,75,13177,239,3
120,56,75,13122,234,2
121,57,75,13166,230,6
122,58,75,13509,232,5
123,59,75,13451,227,5
124,60,75,13792,229,6
125,61,75,13832,226,2
126,62,75,13771,222,4
127,63,75,14009,222,4
128,64,75,13946,217,3
129,65,75,14082,216,6
130,66,75,14317,216,7
131,67,75,14551,217,4
132,68,75,14484,213,6
133,69,75,14916,216,7
134,70,75,14947,213,4
135,71,75,15077,212,4
136,72,75,15106,209,2
137,73,75,15034,205,2
138,74,75,15061,203,2
139,75,75,14987,199,5
140,76,75,15312,201,10
141,77,75,15736,204,7
142,78,75,15759,202,4
143,79,75,15881,201,3
144,80,75,15802,197,1
145,81,75,15722,194,2
146,82,75,15741,191,5
147,83,75,15959,192,7
148,84,75,16176,192,9
149,85,75,16592,195,8
150,86,75,16707,194,5
151,87,75,16821,193,5
152,88,75,16934,192,5
153,89,75,17046,191,5
154,90,75,17157,190,7
155,91,75,17467,191,8
156,92,75,17676,192,5
157,93,75,17684,190,5
158,94,75,17891,190,5
159,95,75,17897,188,3
160,96,75,17902,186,3
161,97,75,17906,184,5
162,98,75,18109,184,4
163,99,75,18011,181,4
164,100,75,18212,182,9
165,101,75,18612,184,9
166,102,75,18811,184,5
167,103,75,18809,182,5
168,104,75,19006,182,5
169,105,75,19002,180,5
170,106,75,19197,181,6
171,107,75,19291,180,4
172,108,75,19284,178,5
173,109,75,19476,178,7
174,109,76,19667,180,6
175,110,76,19758,179,6
176,111,76,19948,179,7
177,112,76,20137,179,6
178,113,76,20225,178,6
179,114,76,20412,179,6
180,115,76,20498,178,6
181,116,76,20683,178,7
182,117,76,20867,178,7
183,117,77,21050,179,5
184,118,77,21033,178,4
185,119,77,21115,177,3
186,120,77,20996,174,2
187,121,77,20976,173,9
188,122,77,21555,176,10
189,123,77,21633,175,9
190,124,77,22110,178,9
191,125,77,22186,177,4
192,126,77,22161,175,4
193,127,77,22235,175,8
194,128,77,22608,176,7
195,129,77,22580,175,5
196,130,77,22751,175,5
197,131,77,22721,173,4
198,132,77,22790,172,4
199,133,77,22758,171,6
200,134,77,23025,171,9
201,135,77,23291,172,9
202,136,77,23556,173,9
203,137,77,23820,173,5
204,138,77,23683,171,5
205,139,77,23945,172,7
206,140,77,24006,171,6
207,141,77,24166,171,6
208,142,77,24225,170,4
209,143,77,24183,169,5
210,144,77,24340,169,7
211,145,77,24496,168,11
212,146,77,25051,171,10
213,147,77,25105,170,6
214,148,77,25258,170,8
215,149,77,25510,171,8
216,150,77,25661,171,8
217,151,77,25911,171,6
218,152,77,25860,170,3
219,153,77,25808,168,4
220,154,77,25855,167,7
221,155,77,26101,168,8
222,156,77,26246,168,9
223,157,77,26590,169,7
