timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,0
5,50,0,4750,95,0
6,50,0,4700,94,0
7,50,0,4650,93,0
8,50,0,4600,92,0
9,50,0,4550,91,0
10,50,0,4500,90,0
11,50,0,4450,89,0
12,50,0,4400,88,0
13,50,0,4350,87,0
14,50,0,4300,86,0
15,50,0,4250,85,0
16,50,0,4200,84,0
17,50,0,4150,83,0
18,50,0,4100,82,0
19,50,0,4050,81,0
20,50,0,4000,80,0
21,50,0,3950,79,0
22,50,0,3900,78,0
23,50,0,3850,77,0
24,50,0,3800,76,0
25,50,0,3750,75,0
26,50,0,3700,74,0
27,50,0,3650,73,0
28,50,0,3600,72,0
29,50,0,3550,71,0
30,50,0,3500,70,0
31,50,0,3450,69,0
32,50,0,3400,68,0
33,50,0,3350,67,0
34,50,0,3300,66,0
35,50,0,3250,65,0
36,50,0,3200,64,0
37,50,0,3150,63,0
38,50,0,3100,62,0
39,50,0,3050,61,0
40,50,0,3000,60,0
41,50,0,2950,59,0
42,50,0,2900,58,0
43,50,0,2850,57,0
44,50,0,2800,56,0
45,50,0,2750,55,0
46,50,0,2700,54,0
47,50,0,2650,53,0
48,50,0,2600,52,0
49,50,0,2550,51,0
50,50,0,2500,50,0
51,50,0,2450,49,0
52,50,0,2400,48,0
53,50,0,2350,47,0
54,50,0,2300,46,0
55,50,0,2250,45,0
56,50,0,2200,44,0
57,50,0,2150,43,0
58,50,0,2100,42,0
59,50,0,2050,41,0
60,50,0,2000,40,0
61,50,0,1950,39,0
62,50,0,1900,38,0
63,50,0,1850,37,0
64,50,0,1800,36,0
65,50,0,1750,35,0
66,50,0,1700,34,0
67,50,0,1650,33,0
68,50,0,1600,32,0
69,50,0,1550,31,0
70,50,0,1500,30,0
71,50,0,1450,29,0
72,50,0,1400,28,1
73,50,0,1450,29,1
74,50,0,1400,28,0
75,50,0,1350,27,0
76,50,0,1300,26,0
77,50,0,1250,25,0
78,50,0,1200,24,0
79,50,0,1150,23,0
80,49,1,1100,22,0
81,48,2,1051,21,0
82,47,3,1003,21,0
83,46,4,956,20,0
84,45,5,910,20,0
85,44,6,865,19,0
86,43,7,821,19,1
87,42,8,878,20,1
88,41,9,836,20,0
89,40,10,795,19,0
90,39,11,755,19,0
91,38,12,716,18,0
92,37,13,678,18,0
93,36,14,641,17,0
94,35,15,605,17,0
95,34,16,570,16,0
96,33,17,536,16,0
97,32,18,503,15,0
98,31,19,471,15,0
99,30,20,440,14,0
100,29,21,410,14,0
101,28,22,381,13,1
102,27,23,453,16,1
103,26,24,426,16,0
104,25,25,400,16,0
105,24,26,375,15,0
106,23,27,351,15,0
107,22,28,328,14,0
108,21,29,306,14,0
109,20,30,285,14,0
110,19,31,265,13,0
111,18,32,246,13,0
112,17,33,228,13,0
113,16,34,211,13,0
114,15,35,195,13,0
115,14,36,180,12,0
116,13,37,166,12,0
117,12,38,153,12,0
118,11,39,141,12,0
119,10,40,130,13,0
120,9,41,120,13,0
121,8,42,111,13,0
122,7,43,103,14,0
123,6,44,96,16,0
124,5,45,90,18,0
125,4,46,85,21,0
126,3,47,81,27,0
127,2,48,78,39,0
128,2,48,76,38,0
129,2,48,74,37,0
130,2,48,72,36,0
131,2,48,70,35,0
132,2,48,68,34,0
133,2,48,66,33,0
134,2,48,64,32,0
135,2,48,62,31,0
136,2,48,60,30,0
137,2,48,58,29,0
138,2,48,56,28,0
139,2,48,54,27,0
140,2,48,52,26,0
141,2,48,50,25,0
142,2,48,48,24,0
143,2,48,46,23,0
144,2,48,44,22,0
145,2,48,42,21,0
146,1,49,40,40,0
147,1,49,39,39,0
148,1,49,38,38,0
149,1,49,37,37,0
150,1,49,36,36,0
151,1,49,35,35,0
152,1,49,34,34,0
153,1,49,33,33,0
154,1,49,32,32,0
155,1,49,31,31,0
156,1,49,30,30,0
157,1,49,29,29,0
158,1,49,28,28,0
159,1,49,27,27,0
160,1,49,26,26,0
161,1,49,25,25,0
162,1,49,24,24,0
163,1,49,23,23,0
164,1,49,22,22,0
165,1,49,21,21,0
166,0,50,20,0,0
167,0,50,20,0,0
168,0,50,20,0,0
169,0,50,20,0,0
170,0,50,20,0,0
171,0,50,20,0,0
