timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,14
5,50,0,4850,97,13
6,50,0,4800,96,13
7,50,0,4750,95,14
8,50,0,4800,96,13
9,50,0,4750,95,13
10,51,0,4700,92,16
11,52,0,4849,93,14
12,53,0,4797,90,15
13,54,0,4744,87,15
14,55,0,4690,85,15
15,56,0,4635,82,17
16,57,0,4779,83,17
17,58,0,4722,81,16
18,59,0,4664,79,17
19,60,0,4705,78,16
20,61,0,4645,76,19
21,62,0,4784,77,18
22,63,0,4722,74,17
23,64,0,4659,72,20
24,65,0,4895,75,19
25,66,0,4930,74,18
26,67,0,4864,72,19
27,68,0,4897,72,19
28,69,0,4929,71,20
29,70,0,5060,72,20
30,71,0,5090,71,19
31,72,0,5019,69,20
32,73,0,5047,69,21
33,74,0,5074,68,21
34,75,0,5100,68,22
35,76,0,5125,67,21
36,77,0,5149,66,23
37,78,0,5272,67,21
38,79,0,5194,65,22
39,80,0,5215,65,23
40,81,0,5335,65,23
41,82,0,5354,65,22
42,83,0,5272,63,24
43,84,0,5389,64,24
44,85,0,5405,63,23
45,86,0,5320,61,24
46,87,0,5334,61,24
47,88,0,5347,60,25
48,89,0,5459,61,23
49,90,0,5370,59,25
50,91,0,5380,59,25
51,92,0,5389,58,25
52,93,0,5397,58,26
53,94,0,5404,57,27
54,95,0,5510,58,26
55,96,0,5515,57,25
56,97,0,5419,55,27
57,98,0,5522,56,27
58,99,0,5524,55,26
59,100,0,5425,54,27
60,101,0,5425,53,26
61,102,0,5324,52,29
62,103,0,5422,52,31
63,104,0,5719,54,27
64,105,0,5615,53,27
65,106,0,5510,51,29
66,107,0,5504,51,29
67,108,0,5497,50,30
68,109,0,5589,51,29
69,110,0,5580,50,31
70,111,0,5670,51,29
71,112,0,5559,49,29
72,113,0,5447,48,33
73,114,0,5734,50,31
74,115,0,5720,49,30
75,116,0,5605,48,32
76,117,0,5689,48,32
77,118,0,5672,48,31
78,119,0,5554,46,32
79,120,0,5535,46,31
80,121,0,5415,44,31
81,122,0,5294,43,35
82,123,0,5472,44,36
83,124,0,5649,45,34
84,125,0,5725,45,34
85,126,0,5600,44,33
86,127,0,5474,43,35
87,128,0,5547,43,36
88,129,0,5719,44,33
89,130,0,5590,43,34
90,131,0,5460,41,37
91,132,0,5629,42,37
92,133,0,5797,43,36
93,134,0,5764,43,35
94,135,0,5630,41,35
95,136,0,5495,40,38
96,137,0,5659,41,36
97,138,0,5622,40,37
98,139,0,5584,40,36
99,140,0,5445,38,36
100,141,0,5305,37,38
101,142,0,5264,37,38
102,143,0,5222,36,38
103,144,0,5179,35,40
104,145,0,5335,36,37
105,146,0,5190,35,41
106,147,0,5344,36,38
107,148,0,5197,35,39
108,149,0,5149,34,41
109,150,0,5200,34,40
110,151,0,5150,34,40
111,152,0,5099,33,40
112,153,0,5047,32,40
113,154,0,4894,31,40
114,155,0,4740,30,43
115,156,0,4885,31,41
116,157,0,4829,30,42
117,158,0,4872,30,44
118,159,0,5014,31,41
119,160,0,4855,30,42
120,161,0,4795,29,43
121,162,0,4834,29,44
122,163,0,4872,29,42
123,164,0,4709,28,43
124,165,0,4645,28,44
125,166,0,4680,28,45
126,167,0,4714,28,44
127,168,0,4647,27,44
128,169,0,4579,27,47
129,170,0,4810,28,46
130,171,0,4840,28,45
131,172,0,4769,27,48
132,173,0,4997,28,47
133,174,0,4824,27,48
134,175,0,4950,28,47
135,176,0,4975,28,45
136,177,0,4799,27,48
137,178,0,4822,27,47
138,179,0,4744,26,49
139,179,0,4865,27,47
