timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,14
5,50,0,4850,97,13
6,50,0,4800,96,15
7,50,0,4950,99,13
8,50,0,4900,98,16
9,50,0,5150,103,14
10,51,0,5100,100,17
11,52,0,5349,102,15
12,53,0,5297,99,17
13,54,0,5444,100,16
14,55,0,5390,98,17
15,56,0,5535,98,16
16,57,0,5479,96,16
17,58,0,5422,93,16
18,59,0,5364,90,16
19,60,0,5305,88,16
20,61,0,5245,85,19
21,62,0,5384,86,18
22,63,0,5322,84,17
23,64,0,5259,82,17
24,65,0,5195,79,17
25,66,0,5130,77,18
26,67,0,5064,75,19
27,68,0,5097,74,18
28,69,0,5029,72,19
29,70,0,5060,72,19
30,71,0,4990,70,22
31,72,0,5219,72,19
32,73,0,5147,70,20
33,74,0,5174,69,20
34,75,0,5100,68,23
35,76,0,5325,70,21
36,77,0,5249,68,21
37,78,0,5272,67,21
38,79,0,5194,65,22
39,80,0,5215,65,22
40,81,0,5235,64,25
41,82,0,5554,67,24
42,83,0,5672,68,26
43,84,0,5989,71,25
44,85,0,6005,70,25
45,86,0,6220,72,26
46,87,0,6434,73,27
47,88,0,6747,76,28
48,89,0,6859,77,26
49,90,0,6970,77,24
50,91,0,6880,75,24
51,92,0,6789,73,24
52,93,0,6697,72,27
53,94,0,6804,72,25
54,95,0,6710,70,26
55,96,0,6715,69,25
56,97,0,6619,68,25
57,98,0,6522,66,27
58,99,0,6524,65,26
59,100,0,6425,64,26
60,101,0,6325,62,26
61,102,0,6224,61,27
62,103,0,6122,59,29
63,104,0,6219,59,27
64,105,0,6115,58,29
65,106,0,6210,58,28
66,107,0,6104,57,31
67,108,0,6297,58,28
68,109,0,6189,56,30
69,110,0,6180,56,29
70,111,0,6070,54,32
71,112,0,6259,55,29
72,113,0,6147,54,31
73,114,0,6234,54,31
74,115,0,6220,54,33
75,116,0,6405,55,31
76,117,0,6389,54,37
77,118,0,6872,58,35
78,119,0,6954,58,33
79,120,0,7035,58,32
80,121,0,7015,57,35
81,122,0,7194,58,34
82,123,0,7272,59,34
83,124,0,7349,59,33
84,125,0,7325,58,34
85,126,0,7300,57,34
86,127,0,7274,57,33
87,128,0,7147,55,34
88,129,0,7119,55,35
89,130,0,7090,54,35
90,131,0,7060,53,35
91,132,0,7029,53,35
92,133,0,6997,52,35
93,134,0,6864,51,35
94,135,0,6730,49,36
95,136,0,6695,49,36
96,137,0,6659,48,36
97,138,0,6622,47,36
98,139,0,6484,46,38
99,140,0,6545,46,39
100,141,0,6705,47,38
101,142,0,6764,47,40
102,143,0,6822,47,39
103,144,0,6879,47,38
104,145,0,6835,47,39
105,146,0,6890,47,41
106,147,0,7044,47,39
107,148,0,6997,47,39
108,149,0,6949,46,42
109,150,0,7100,47,41
110,151,0,7150,47,42
111,152,0,7299,48,41
112,153,0,7347,48,41
113,154,0,7394,48,41
114,155,0,7340,47,40
115,156,0,7185,46,44
116,157,0,7429,47,44
117,158,0,7572,47,42
118,159,0,7514,47,43
119,160,0,7555,47,41
120,161,0,7395,45,43
121,162,0,7334,45,43
122,163,0,7272,44,44
123,164,0,7309,44,42
124,165,0,7145,43,44
125,166,0,7180,43,43
126,167,0,7014,42,45
127,168,0,7047,41,43
128,169,0,6879,40,45
129,170,0,6810,40,46
130,171,0,6840,40,44
131,172,0,6669,38,44
132,173,0,6497,37,44
133,174,0,6324,36,47
134,175,0,6350,36,49
135,176,0,6475,36,47
136,177,0,6499,36,48
137,178,0,6522,36,48
138,179,0,6444,36,47
139,180,0,6365,35,49
