timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,1
5,50,0,4850,97,1
6,50,0,4800,96,0
7,50,0,4750,95,1
8,50,0,4800,96,1
9,50,0,4750,95,0
10,51,0,4700,92,2
11,52,0,4749,91,3
12,53,0,4797,90,2
13,54,0,4744,87,1
14,55,0,4690,85,1
15,56,0,4635,82,2
16,57,0,4679,82,3
17,58,0,4722,81,2
18,59,0,4664,79,2
19,60,0,4705,78,2
20,61,0,4645,76,3
21,62,0,4784,77,3
22,63,0,4722,74,1
23,64,0,4659,72,4
24,65,0,4895,75,5
25,66,0,4930,74,2
26,67,0,4864,72,2
27,68,0,4897,72,3
28,69,0,4929,71,4
29,70,0,5060,72,4
30,71,0,5090,71,2
31,72,0,5019,69,2
32,73,0,5047,69,3
33,74,0,5074,68,4
34,75,0,5200,69,3
35,76,0,5125,67,2
36,77,0,5149,66,4
37,78,0,5272,67,4
38,79,0,5294,67,3
39,80,0,5315,66,5
40,81,0,5535,68,4
41,82,0,5454,66,1
42,83,0,5372,64,3
43,84,0,5489,65,3
44,85,0,5405,63,2
45,86,0,5420,63,3
46,87,0,5434,62,4
47,88,0,5547,63,4
48,89,0,5559,62,2
49,90,0,5470,60,1
50,91,0,5380,59,3
51,92,0,5489,59,4
52,93,0,5497,59,2
53,94,0,5404,57,2
54,95,0,5410,56,4
55,96,0,5515,57,3
56,97,0,5419,55,2
57,98,0,5422,55,4
58,99,0,5524,55,4
59,100,0,5525,55,2
60,101,0,5425,53,1
61,102,0,5324,52,4
62,103,0,5522,53,6
63,104,0,5619,54,4
64,105,0,5615,53,3
65,106,0,5610,52,2
66,107,0,5504,51,3
67,108,0,5597,51,5
68,109,0,5689,52,4
69,110,0,5680,51,4
70,111,0,5770,51,3
71,112,0,5659,50,3
72,113,0,5747,50,4
73,114,0,5734,50,2
74,115,0,5620,48,4
75,116,0,5805,50,5
76,117,0,5789,49,3
77,118,0,5772,48,4
78,119,0,5854,49,3
79,120,0,5735,47,1
80,121,0,5615,46,3
81,122,0,5694,46,5
82,123,0,5772,46,3
83,124,0,5649,45,2
84,125,0,5625,45,5
85,126,0,5800,46,5
86,127,0,5774,45,2
87,128,0,5647,44,2
88,129,0,5619,43,5
89,130,0,5790,44,5
90,131,0,5760,43,3
91,132,0,5729,43,4
92,133,0,5797,43,5
93,134,0,5864,43,3
94,135,0,5730,42,1
95,136,0,5595,41,3
96,137,0,5659,41,5
97,138,0,5722,41,5
98,139,0,5784,41,3
99,140,0,5645,40,3
100,141,0,5705,40,5
101,142,0,5764,40,4
102,143,0,5722,40,3
103,144,0,5679,39,3
104,145,0,5635,38,4
105,146,0,5690,38,4
106,147,0,5644,38,3
107,148,0,5597,37,5
108,149,0,5749,38,4
