timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,1
5,50,0,4850,97,1
6,50,0,4800,96,2
7,50,0,4950,99,2
8,50,0,4900,98,3
9,50,0,5150,103,3
10,51,0,5100,100,4
11,52,0,5349,102,4
12,53,0,5297,99,3
13,54,0,5444,100,3
14,55,0,5390,98,3
15,56,0,5535,98,3
16,57,0,5479,96,1
17,58,0,5422,93,1
18,59,0,5364,90,1
19,60,0,5305,88,1
20,61,0,5245,85,3
21,62,0,5384,86,3
22,63,0,5322,84,1
23,64,0,5259,82,1
24,65,0,5195,79,5
25,66,0,5530,83,5
26,67,0,5464,81,2
27,68,0,5497,80,2
28,69,0,5429,78,2
29,70,0,5460,78,2
30,71,0,5390,75,3
31,72,0,5519,76,3
32,73,0,5447,74,3
33,74,0,5574,75,3
34,75,0,5500,73,3
35,76,0,5625,74,3
36,77,0,5549,72,3
37,78,0,5672,72,4
38,79,0,5694,72,3
39,80,0,5715,71,2
40,81,0,5635,69,2
41,82,0,5654,68,4
42,83,0,5772,69,6
43,84,0,5989,71,7
44,85,0,6205,73,4
45,86,0,6120,71,6
46,87,0,6534,75,6
47,88,0,6447,73,2
48,89,0,6459,72,4
49,90,0,6570,73,4
50,91,0,6580,72,3
51,92,0,6589,71,5
52,93,0,6797,73,5
53,94,0,6804,72,2
54,95,0,6710,70,3
55,96,0,6815,70,5
56,97,0,6919,71,3
57,98,0,6822,69,2
58,99,0,6824,68,4
59,100,0,6925,69,4
60,101,0,6925,68,3
61,102,0,6924,67,2
62,103,0,6822,66,3
63,104,0,6919,66,5
64,105,0,7015,66,4
65,106,0,7010,66,3
66,107,0,7004,65,3
67,108,0,6997,64,3
68,109,0,6989,64,3
69,110,0,6980,63,2
70,111,0,6870,61,2
71,112,0,6859,61,5
72,113,0,7047,62,4
73,114,0,6934,60,2
74,115,0,6920,60,4
75,116,0,7005,60,5
76,117,0,7089,60,5
77,118,0,7172,60,5
78,119,0,7254,60,5
79,120,0,7335,61,6
80,121,0,7515,62,4
81,122,0,7394,60,2
82,123,0,7372,59,4
83,124,0,7449,60,5
84,125,0,7525,60,5
85,126,0,7600,60,5
86,127,0,7674,60,5
87,128,0,7747,60,4
88,129,0,7719,59,5
89,130,0,7890,60,4
90,131,0,7760,59,3
91,132,0,7829,59,3
92,133,0,7697,57,3
93,134,0,7764,57,4
94,135,0,7730,57,3
95,136,0,7695,56,7
96,137,0,8059,58,6
97,138,0,7922,57,3
98,139,0,7984,57,4
99,140,0,7945,56,3
100,141,0,7905,56,5
101,142,0,8064,56,7
102,143,0,8222,57,5
103,144,0,8179,56,2
104,145,0,8035,55,3
105,146,0,8090,55,4
106,147,0,8044,54,6
107,148,0,8297,56,6
108,149,0,8249,55,2
