timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,16
5,50,0,4780,95,14
6,50,0,4730,94,15
7,50,0,4700,94,14
8,50,0,4650,93,17
9,50,0,4640,92,13
10,51,0,4590,90,23
11,52,0,4629,89,21
12,53,0,4587,86,23
13,54,0,4624,85,16
14,55,0,4570,83,20
15,56,0,4565,81,16
16,57,0,4509,79,21
17,58,0,4502,77,22
18,59,0,4484,76,24
19,60,0,4485,74,19
20,61,0,4425,72,26
21,62,0,4454,71,28
22,63,0,4462,70,22
23,64,0,4419,69,20
24,65,0,4375,67,22
25,66,0,4360,66,20
26,67,0,4294,64,28
27,68,0,4327,63,26
28,69,0,4289,62,25
29,70,0,4280,61,23
30,71,0,4230,59,25
31,72,0,4209,58,29
32,73,0,4227,57,26
33,74,0,4184,56,27
34,75,0,4170,55,24
35,76,0,4125,54,25
36,77,0,4089,53,27
37,78,0,4072,52,30
38,79,0,4064,51,24
39,80,0,4005,50,26
40,81,0,3965,48,32
41,82,0,3984,48,29
42,83,0,3942,47,27
43,84,0,3909,46,31
44,85,0,3915,46,27
45,86,0,3840,44,27
46,87,0,3794,43,30
47,88,0,3777,42,35
48,89,0,3799,42,30
49,90,0,3720,41,28
50,91,0,3670,40,31
51,92,0,3639,39,35
52,93,0,3647,39,33
53,94,0,3604,38,28
54,95,0,3520,37,35
55,96,0,3525,36,34
56,97,0,3469,35,31
57,98,0,3412,34,35
58,99,0,3394,34,34
59,100,0,3355,33,29
60,101,0,3275,32,35
61,102,0,3244,31,36
62,103,0,3212,31,37
63,104,0,3189,30,38
64,105,0,3165,30,31
65,106,0,3080,29,38
66,107,0,3074,28,38
67,108,0,3037,28,36
68,109,0,2989,27,40
69,110,0,2970,27,38
70,111,0,2930,26,36
71,111,0,2879,25,36
72,111,0,2838,25,25
73,111,0,2777,25,24
74,111,0,2716,24,25
75,111,0,2665,24,27
76,111,0,2644,23,27
77,111,0,2603,23,24
78,111,0,2522,22,28
79,111,0,2501,22,30
80,111,0,2490,22,31
81,111,0,2459,22,26
82,111,0,2428,21,30
83,111,0,2417,21,30
84,111,0,2386,21,26
85,111,0,2325,20,26
86,111,0,2294,20,30
87,111,0,2283,20,29
88,111,0,2272,20,26
89,111,0,2221,20,23
90,111,0,2160,19,26
91,111,0,2139,19,22
92,111,0,2058,18,25
93,111,0,2027,18,27
94,111,0,1986,17,27
95,111,0,1945,17,29
96,111,0,1934,17,29
97,111,0,1913,17,29
98,111,0,1882,16,29
99,111,0,1841,16,29
100,111,0,1820,16,30
101,111,0,1799,16,30
102,111,0,1758,15,28
103,111,0,1737,15,30
104,111,0,1706,15,28
105,111,0,1655,14,26
106,111,0,1604,14,21
107,111,0,1593,14,16
108,111,0,1512,13,16
109,111,0,1481,13,19
110,111,0,1450,13,20
111,111,0,1419,12,20
112,110,1,1388,12,17
113,109,2,1348,12,15
114,108,3,1289,11,16
115,107,4,1251,11,28
116,106,5,1314,12,21
117,105,6,1228,11,14
118,104,7,1203,11,18
119,103,8,1169,11,22
120,102,9,1186,11,24
121,101,10,1184,11,19
122,100,11,1143,11,19
123,99,12,1143,11,21
124,98,13,1134,11,19
125,97,14,1126,11,17
126,96,15,1089,11,15
127,95,16,1063,11,16
128,94,17,1038,11,12
129,93,18,974,10,18
130,92,19,1001,10,20
131,91,20,979,10,13
132,90,21,938,10,20
133,89,22,968,10,18
134,88,23,929,10,15
135,87,24,921,10,17
136,86,25,914,10,12
137,85,26,848,9,14
138,84,27,853,10,16
139,83,28,829,9,18
