timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,16
5,50,0,4780,95,13
6,50,0,4730,94,16
7,50,0,4710,94,13
8,50,0,4660,93,20
9,50,0,4680,93,15
10,51,0,4630,90,23
11,52,0,4669,89,19
12,53,0,4617,87,27
13,54,0,4684,86,21
14,55,0,4630,84,22
15,56,0,4645,82,19
16,57,0,4589,80,23
17,58,0,4612,79,25
18,59,0,4594,77,22
19,60,0,4565,76,16
20,61,0,4505,73,23
21,62,0,4504,72,24
22,63,0,4502,71,21
23,64,0,4459,69,19
24,65,0,4415,67,25
25,66,0,4410,66,24
26,67,0,4394,65,22
27,68,0,4337,63,23
28,69,0,4319,62,26
29,70,0,4320,61,27
30,71,0,4300,60,27
31,72,0,4289,59,23
32,73,0,4237,58,24
33,74,0,4194,56,26
34,75,0,4170,55,25
35,76,0,4125,54,24
36,77,0,4089,53,30
37,78,0,4102,52,28
38,79,0,4054,51,23
39,80,0,3985,49,29
40,81,0,3985,49,30
41,82,0,3974,48,26
42,83,0,3922,47,25
43,84,0,3869,46,25
44,85,0,3805,44,30
45,86,0,3790,44,31
46,87,0,3774,43,25
47,88,0,3697,42,28
48,89,0,3659,41,29
49,90,0,3620,40,29
50,91,0,3570,39,31
51,92,0,3539,38,34
52,93,0,3527,37,30
53,94,0,3464,36,29
54,95,0,3400,35,32
55,96,0,3365,35,30
56,97,0,3309,34,33
57,98,0,3282,33,35
58,99,0,3264,32,30
59,100,0,3205,32,35
60,101,0,3185,31,32
61,102,0,3124,30,33
62,103,0,3062,29,32
63,104,0,2999,28,29
64,105,0,2915,27,30
65,106,0,2840,26,37
66,106,0,2814,26,36
67,106,0,2768,26,35
68,106,0,2732,25,31
69,106,0,2646,24,23
70,106,0,2600,24,29
71,106,0,2604,24,26
72,106,0,2548,24,20
73,106,0,2462,23,22
74,106,0,2406,22,23
75,106,0,2360,22,24
76,106,0,2314,21,24
77,106,0,2268,21,28
78,106,0,2252,21,26
79,106,0,2196,20,23
80,106,0,2140,20,21
81,106,0,2074,19,23
82,106,0,2028,19,26
83,106,0,2002,18,25
84,106,0,1946,18,22
85,106,0,1880,17,25
86,106,0,1854,17,24
87,106,0,1768,16,24
88,106,0,1742,16,23
89,106,0,1686,15,23
90,106,0,1630,15,25
91,106,0,1604,15,27
92,106,0,1588,14,24
93,106,0,1532,14,16
94,106,0,1486,14,18
95,106,0,1460,13,19
96,106,0,1424,13,15
97,106,0,1358,12,11
98,106,0,1282,12,11
99,105,1,1216,11,10
100,104,2,1151,11,17
101,103,3,1157,11,20
102,102,4,1124,11,17
103,101,5,1102,10,14
104,100,6,1041,10,14
105,99,7,1011,10,16
106,98,8,982,10,14
107,97,9,944,9,13
108,96,10,897,9,12
109,95,11,841,8,15
110,94,12,826,8,16
111,93,13,792,8,14
112,92,14,759,8,12
113,91,15,707,7,13
114,90,16,686,7,15
115,89,17,646,7,11
116,88,18,607,6,16
117,87,19,609,7,15
118,86,20,582,6,12
119,85,21,546,6,16
120,84,22,531,6,22
121,83,23,577,6,21
122,82,24,564,6,13
123,81,25,532,6,9
124,80,26,471,5,10
125,79,27,441,5,14
126,78,28,442,5,17
127,77,29,434,5,10
128,76,30,387,5,13
129,75,31,391,5,10
130,74,32,336,4,8
131,73,33,302,4,14
132,72,34,319,4,13
133,71,35,287,4,10
134,70,36,266,3,11
135,69,37,256,3,11
136,68,38,217,3,11
137,67,39,209,3,9
138,66,40,172,2,9
139,65,41,146,2,13
140,64,42,161,2,14
141,63,43,157,2,12
142,62,44,124,2,10
143,61,45,102,1,12
144,60,46,101,1,15
145,59,47,121,2,13
146,58,48,112,1,15
147,57,49,134,2,13
148,56,50,117,2,11
149,55,51,111,2,10
150,54,52,96,1,8
151,53,53,72,1,7
152,52,54,39,0,9
153,0,106,-13,0,0
154,0,106,-13,0,0
155,0,106,-13,0,0
156,0,106,-13,0,0
157,0,106,-13,0,0
