timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,20
2,20,0,1960,98,20
3,20,0,1940,97,20
4,20,0,1920,96,20
5,20,0,1900,95,20
6,20,0,1880,94,20
7,20,0,1860,93,20
8,20,0,1840,92,20
9,20,0,1820,91,20
10,21,0,1800,85,21
11,22,0,1779,80,22
12,23,0,1757,76,23
13,24,0,1734,72,24
14,25,0,1710,68,25
15,26,0,1685,64,26
16,27,0,1659,61,27
17,28,0,1632,58,28
18,29,0,1604,55,29
19,30,0,1575,52,30
20,31,0,1545,49,31
21,32,0,1514,47,32
22,33,0,1482,44,33
23,34,0,1449,42,34
24,35,0,1415,40,35
25,36,0,1380,38,36
26,37,0,1344,36,37
27,38,0,1307,34,38
28,39,0,1269,32,39
29,40,0,1230,30,40
30,41,0,1190,29,41
31,42,0,1149,27,42
32,43,0,1107,25,43
33,43,0,1064,24,42
34,43,0,1021,23,41
35,43,0,978,22,40
36,43,0,935,21,39
37,43,0,892,20,38
38,43,0,849,19,38
39,43,0,906,21,38
40,43,0,863,20,37
41,43,0,820,19,36
42,43,0,777,18,36
43,43,0,834,19,38
44,43,0,991,23,38
45,43,0,948,22,37
46,43,0,905,21,36
47,43,0,862,20,37
48,43,0,1019,23,38
49,43,0,1076,25,38
50,43,0,1133,26,37
51,43,0,1090,25,37
52,43,0,1047,24,37
53,43,0,1104,25,38
54,43,0,1161,27,40
55,43,0,1318,30,40
56,43,0,1275,29,40
57,43,0,1232,28,40
58,43,0,1189,27,41
59,43,0,1246,28,43
60,43,0,1403,32,43
61,43,0,1360,31,43
62,43,0,1317,30,43
63,43,0,1274,29,43
64,44,0,1231,27,44
65,45,0,1187,26,45
66,45,0,1142,25,45
67,45,0,1097,24,44
68,45,0,1052,23,43
69,45,0,1007,22,42
70,45,0,962,21,41
71,45,0,917,20,40
72,45,0,872,19,40
73,45,0,927,20,40
74,45,0,882,19,39
75,45,0,837,18,38
76,45,0,792,17,38
77,45,0,847,18,40
78,45,0,1002,22,40
79,45,0,957,21,39
80,45,0,912,20,38
81,45,0,867,19,39
82,45,0,1022,22,40
83,45,0,1077,23,40
84,45,0,1132,25,39
85,45,0,1087,24,38
86,45,0,1042,23,39
87,45,0,1097,24,40
88,45,0,1152,25,42
89,45,0,1307,29,42
90,45,0,1262,28,42
91,3,42,1207,402,0
92,3,42,1194,398,2
93,3,42,1381,460,3
94,1,44,1468,1468,1
95,0,45,1457,0,0
96,0,45,1457,0,0
97,0,45,1457,0,0
98,0,45,1457,0,0
99,0,45,1457,0,0
100,0,45,1457,0,0
