timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,20
2,20,0,1960,98,20
3,20,0,1940,97,20
4,20,0,1920,96,20
5,20,0,1900,95,20
6,20,0,1880,94,20
7,20,0,1860,93,20
8,20,0,1840,92,20
9,20,0,1820,91,20
10,21,0,1800,85,21
11,22,0,1779,80,22
12,23,0,1757,76,23
13,24,0,1734,72,24
14,25,0,1710,68,25
15,26,0,1685,64,26
16,27,0,1659,61,27
17,28,0,1632,58,28
18,29,0,1604,55,29
19,30,0,1575,52,30
20,31,0,1545,49,31
21,32,0,1514,47,32
22,33,0,1482,44,33
23,34,0,1449,42,34
24,35,0,1415,40,35
25,36,0,1380,38,36
26,37,0,1344,36,37
27,38,0,1307,34,38
28,39,0,1269,32,39
29,40,0,1230,30,40
30,41,0,1190,29,41
31,42,0,1149,27,42
32,43,0,1107,25,43
33,43,0,1064,24,42
34,43,0,1021,23,41
35,43,0,978,22,40
36,43,0,935,21,39
37,43,0,892,20,38
38,43,0,849,19,38
39,43,0,906,21,38
40,43,0,863,20,37
41,43,0,820,19,37
42,43,0,877,20,37
43,43,0,834,19,37
44,43,0,891,20,38
45,43,0,948,22,39
46,43,0,1005,23,38
47,43,0,962,22,37
48,43,0,919,21,38
49,43,0,1076,25,39
50,43,0,1133,26,40
51,43,0,1190,27,40
52,43,0,1147,26,40
53,43,0,1104,25,40
54,43,0,1061,24,39
55,43,0,1018,23,39
56,43,0,1075,25,40
57,43,0,1132,26,39
58,43,0,1089,25,39
59,43,0,1046,24,40
60,43,0,1203,27,40
61,43,0,1160,26,40
62,43,0,1117,25,41
63,43,0,1174,27,40
64,43,0,1131,26,41
65,43,0,1188,27,41
66,43,0,1145,26,42
67,43,0,1202,27,42
68,43,0,1159,26,42
69,43,0,1116,25,42
70,43,0,1073,24,42
71,43,0,1130,26,42
72,43,0,1087,25,42
73,43,0,1044,24,41
74,43,0,1001,23,40
75,43,0,958,22,40
76,43,0,1015,23,40
77,43,0,972,22,39
78,43,0,929,21,38
79,43,0,886,20,37
80,43,0,843,19,38
81,43,0,1000,23,38
82,43,0,957,22,37
83,43,0,914,21,37
84,43,0,971,22,37
85,43,0,928,21,36
86,43,0,885,20,38
87,43,0,1042,24,39
88,43,0,1099,25,39
89,43,0,1056,24,40
90,43,0,1113,25,40
91,3,40,1060,353,1
92,3,40,1147,382,2
93,2,41,1234,617,1
94,1,42,1222,1222,0
95,1,42,1211,1211,0
96,1,42,1200,1200,0
97,1,42,1189,1189,0
98,1,42,1178,1178,1
99,1,42,1267,1267,1
100,0,43,1256,0,0
101,0,43,1256,0,0
102,0,43,1256,0,0
103,0,43,1256,0,0
104,0,43,1256,0,0
105,0,43,1256,0,0
