timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,0
2,20,0,1960,98,0
3,20,0,1940,97,0
4,20,0,1920,96,0
5,20,0,1900,95,0
6,20,0,1880,94,1
7,20,0,1960,98,1
8,20,0,1940,97,0
9,20,0,1920,96,0
10,21,0,1900,90,1
11,22,0,1879,85,2
12,23,0,1957,85,2
13,24,0,1934,80,2
14,25,0,2010,80,3
15,26,0,2085,80,3
16,27,0,2159,79,2
17,28,0,2132,76,1
18,29,0,2104,72,4
19,30,0,2375,79,5
20,31,0,2445,78,2
21,32,0,2414,75,1
22,33,0,2382,72,3
23,34,0,2549,74,6
24,35,0,2815,80,4
25,36,0,2780,77,2
26,37,0,2844,76,3
27,38,0,2907,76,4
28,39,0,3069,78,4
29,40,0,3130,78,2
30,41,0,3090,75,2
31,42,0,3149,74,3
32,43,0,3207,74,5
33,44,0,3464,78,5
34,45,0,3520,78,3
35,46,0,3575,77,3
36,47,0,3629,77,2
37,48,0,3582,74,3
38,49,0,3734,76,6
39,50,0,3985,79,4
40,51,0,3935,77,1
41,52,0,3884,74,1
42,53,0,3832,72,3
43,54,0,3979,73,5
44,55,0,4125,75,3
45,56,0,4070,72,1
46,57,0,4014,70,2
47,58,0,4057,69,5
48,59,0,4299,72,5
49,60,0,4340,72,2
50,61,0,4280,70,2
51,62,0,4319,69,3
52,63,0,4357,69,4
53,64,0,4494,70,4
54,65,0,4530,69,3
55,66,0,4565,69,3
56,67,0,4599,68,2
57,68,0,4532,66,3
58,69,0,4664,67,6
59,70,0,4895,69,4
60,71,0,4825,67,1
61,72,0,4754,66,1
62,73,0,4682,64,3
63,74,0,4809,64,5
64,75,0,4935,65,3
65,76,0,4860,63,1
66,77,0,4784,62,2
67,78,0,4807,61,5
68,79,0,5029,63,5
69,80,0,5050,63,2
70,81,0,4970,61,2
71,82,0,4989,60,3
72,83,0,5007,60,4
73,84,0,5124,61,4
74,85,0,5140,60,3
75,86,0,5155,59,3
76,87,0,5169,59,2
77,88,0,5082,57,3
78,89,0,5194,58,6
79,90,0,5405,60,4
80,91,0,5315,58,1
81,92,0,5224,56,1
82,93,0,5132,55,3
83,94,0,5239,55,5
84,95,0,5345,56,3
85,96,0,5250,54,1
86,97,0,5154,53,3
87,98,0,5157,52,7
88,99,0,5359,54,9
89,100,0,5360,53,10
90,101,0,5260,52,12
91,91,11,5249,57,3
92,90,13,5248,58,4
93,89,15,5348,60,3
94,87,18,5249,60,2
95,87,19,5252,60,3
96,86,21,5255,61,2
97,85,23,5159,60,2
98,85,24,5164,60,4
99,84,26,5269,62,4
100,82,29,5275,64,2
101,81,31,5183,63,1
102,81,32,5092,62,2
103,81,33,5101,62,4
104,80,35,5210,65,4
105,78,38,5220,66,2
106,77,40,5132,66,2
107,77,41,5145,66,3
108,76,43,5158,67,2
109,75,45,5072,67,2
110,75,46,5087,67,4
111,74,48,5202,70,4
112,73,50,5228,71,3
113,74,50,5155,69,1
114,75,50,5081,67,2
115,76,50,5106,67,4
116,77,50,5230,67,4
117,78,50,5253,67,2
118,79,50,5175,65,3
119,80,50,5296,66,4
120,81,50,5316,65,2
121,82,50,5235,63,2
122,83,50,5253,63,4
123,84,50,5370,63,5
124,85,50,5486,64,3
125,86,50,5401,62,1
126,87,50,5315,61,2
127,88,50,5328,60,5
128,89,50,5540,62,5
129,90,50,5551,61,2
130,91,50,5461,60,2
131,92,50,5470,59,3
132,93,50,5478,58,4
133,94,50,5585,59,4
134,95,50,5591,58,3
135,96,50,5596,58,3
136,97,50,5600,57,2
137,98,50,5503,56,3
138,99,50,5605,56,6
139,100,50,5806,58,4
140,101,50,5706,56,1
141,102,50,5605,54,1
142,103,50,5503,53,3
143,104,50,5600,53,5
144,105,50,5696,54,3
145,106,50,5591,52,1
146,107,50,5485,51,2
147,108,50,5478,50,5
148,109,50,5670,52,5
149,110,50,5661,51,2
150,111,50,5551,50,2
151,112,50,5540,49,3
152,113,50,5528,48,4
153,114,50,5615,49,4
154,115,50,5601,48,3
155,116,50,5586,48,3
156,117,50,5570,47,2
157,118,50,5453,46,3
158,119,50,5535,46,6
159,120,50,5716,47,4
160,121,50,5596,46,1
161,122,50,5475,44,1
162,123,50,5353,43,3
163,124,50,5430,43,5
164,125,50,5506,44,3
165,126,50,5381,42,1
166,127,50,5255,41,2
167,128,50,5228,40,5
168,129,50,5400,41,5
169,130,50,5371,41,2
170,131,50,5241,40,2
171,132,50,5210,39,3
172,133,50,5178,38,4
173,134,50,5245,39,4
174,135,50,5211,38,3
175,136,50,5176,38,3
176,137,50,5140,37,2
177,138,50,5003,36,3
178,139,50,5065,36,6
179,140,50,5226,37,4
180,141,50,5086,36,1
181,142,50,4945,34,1
182,143,50,4803,33,3
183,144,50,4860,33,5
184,145,50,4916,33,3
185,146,50,4771,32,1
186,147,50,4625,31,2
187,148,50,4578,30,5
188,149,50,4730,31,5
189,150,50,4681,31,2
190,151,50,4531,30,2
191,152,50,4480,29,3
192,153,50,4428,28,4
193,154,50,4475,29,4
194,155,50,4421,28,3
195,156,50,4366,27,3
196,157,50,4310,27,2
197,158,50,4153,26,3
198,158,50,4195,26,5
199,158,50,4337,27,3
200,158,50,4179,26,0
201,158,50,4021,25,0
202,158,50,3863,24,2
203,158,50,3905,24,4
204,158,50,3947,24,2
205,158,50,3789,23,0
206,158,50,3631,22,1
207,158,50,3573,22,4
208,158,50,3715,23,3
209,158,50,3557,22,1
210,158,50,3499,22,2
211,158,50,3441,21,2
212,158,50,3383,21,2
213,158,50,3325,21,2
214,158,50,3267,20,3
215,158,50,3309,20,3
216,158,50,3251,20,1
217,158,50,3093,19,0
218,158,50,2935,18,3
219,158,50,3077,19,5
220,158,50,3119,19,2
221,158,50,2961,18,0
222,158,50,2803,17,1
223,158,50,2745,17,4
