timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,0
2,20,0,1960,98,0
3,20,0,1940,97,0
4,20,0,1920,96,0
5,20,0,1900,95,0
6,20,0,1880,94,1
7,20,0,1960,98,1
8,20,0,1940,97,1
9,20,0,2020,101,1
10,21,0,2000,95,4
11,22,0,2279,103,4
12,23,0,2257,98,2
13,24,0,2334,97,3
14,25,0,2410,96,3
15,26,0,2485,95,2
16,27,0,2459,91,2
17,28,0,2532,90,3
18,29,0,2604,89,2
19,30,0,2575,85,2
20,31,0,2645,85,6
21,32,0,3014,94,5
22,33,0,2982,90,3
23,34,0,3149,92,4
24,35,0,3215,91,6
25,36,0,3580,99,7
26,37,0,3744,101,3
27,38,0,3707,97,1
28,39,0,3669,94,3
29,40,0,3830,95,4
30,41,0,3890,94,2
31,42,0,3849,91,4
32,43,0,4107,95,4
33,44,0,4064,92,3
34,45,0,4220,93,5
35,46,0,4375,95,6
36,47,0,4629,98,4
37,48,0,4582,95,4
38,49,0,4834,98,7
39,50,0,5085,101,4
40,51,0,5035,98,3
41,52,0,5184,99,3
42,53,0,5132,96,2
43,54,0,5179,95,5
44,55,0,5425,98,4
45,56,0,5370,95,1
46,57,0,5314,93,6
47,58,0,5757,99,8
48,59,0,5899,99,4
49,60,0,5940,99,5
50,61,0,6180,101,5
51,62,0,6219,100,4
52,63,0,6357,100,3
53,64,0,6294,98,3
54,65,0,6430,98,4
55,66,0,6465,97,7
56,67,0,6899,102,8
57,68,0,7032,103,4
58,69,0,7064,102,6
59,70,0,7395,105,7
60,71,0,7525,105,5
61,72,0,7654,106,5
62,73,0,7782,106,3
63,74,0,7709,104,2
64,75,0,7735,103,7
65,76,0,8160,107,8
66,77,0,8284,107,5
67,78,0,8407,107,5
68,79,0,8529,107,3
69,80,0,8450,105,3
70,81,0,8570,105,7
71,82,0,8889,108,5
72,83,0,8807,106,6
73,84,0,9224,109,11
74,85,0,9640,113,10
75,86,0,9955,115,6
76,87,0,9969,114,3
77,88,0,9982,113,4
78,89,0,10094,113,4
79,90,0,10105,112,5
80,91,0,10315,113,5
81,92,0,10324,112,6
82,93,0,10632,114,8
83,94,0,10839,115,7
84,95,0,11045,116,6
85,96,0,11150,116,7
86,97,0,11454,118,9
87,98,0,11757,119,7
88,99,0,11859,119,5
89,100,0,11960,119,6
90,101,0,12160,120,7
91,102,0,12359,121,6
92,103,0,12457,120,6
93,104,0,12654,121,5
94,105,0,12650,120,3
95,106,0,12645,119,5
96,107,0,12839,119,4
97,108,0,12732,117,4
98,109,0,12924,118,6
99,110,0,13015,118,5
100,111,0,13105,118,4
101,112,0,13094,116,8
102,113,0,13582,120,10
103,114,0,13769,120,8
104,114,1,14055,123,8
105,114,2,14241,124,10
106,115,2,14227,123,12
107,115,3,14212,123,14
108,116,3,14197,122,17
109,117,3,14281,122,22
110,115,6,14564,126,25
111,93,29,14639,157,5
112,91,32,14736,161,6
113,89,35,14935,167,4
114,86,39,14836,172,2
115,86,40,14840,172,4
116,85,42,14944,175,9
117,82,46,15449,188,10
118,76,53,15657,206,6
119,76,54,15781,207,6
120,77,54,15705,203,4
121,78,54,15928,204,6
122,79,54,16050,203,4
123,80,54,16071,200,6
124,81,54,16391,202,7
125,82,54,16510,201,7
126,83,54,16828,202,6
127,84,54,16845,200,4
128,85,54,16961,199,5
129,86,54,17076,198,5
130,87,54,17190,197,6
131,88,54,17403,197,5
132,89,54,17415,195,4
133,90,54,17526,194,5
134,91,54,17636,193,6
135,92,54,17845,193,9
136,93,54,18253,196,8
137,94,54,18360,195,4
138,95,54,18366,193,6
139,96,54,18671,194,8
140,97,54,18875,194,5
141,98,54,18878,192,4
142,99,54,18980,191,4
143,100,54,18981,189,3
144,101,54,18981,187,4
145,102,54,19080,187,4
146,103,54,19078,185,7
147,104,54,19475,187,10
148,105,54,19771,188,5
149,106,54,19666,185,3
150,107,54,19760,184,8
151,108,54,20153,186,8
152,109,54,20245,185,5
153,110,54,20336,184,7
154,111,54,20626,185,8
155,112,54,20815,185,5
156,113,54,20803,184,5
157,114,54,20990,184,4
158,115,54,20876,181,3
159,116,54,20961,180,8
160,117,54,21345,182,10
161,118,54,21628,183,5
162,119,54,21510,180,3
163,120,54,21591,179,5
164,121,54,21671,179,6
165,122,54,21850,179,9
166,123,54,22228,180,11
167,124,54,22605,182,9
168,125,54,22781,182,5
169,126,54,22756,180,4
170,127,54,22830,179,6
171,128,54,23003,179,7
172,129,54,23175,179,7
173,130,54,23346,179,6
174,131,54,23416,178,4
175,132,54,23385,177,5
176,133,54,23553,177,9
177,134,54,23920,178,10
178,135,54,24186,179,5
179,136,54,24051,176,4
180,137,54,24215,176,4
181,138,54,24078,174,2
182,139,54,24040,172,4
183,140,54,24101,172,5
184,141,54,24161,171,7
185,142,54,24420,171,6
186,143,54,24378,170,7
187,144,54,24735,171,8
188,145,54,24791,170,6
189,146,54,24946,170,5
190,147,54,24900,169,3
191,148,54,24853,167,6
192,149,54,25105,168,10
193,150,54,25456,169,8
194,151,54,25506,168,8
195,152,54,25855,170,11
196,153,54,26203,171,8
197,154,54,26250,170,9
198,155,54,26696,172,9
199,156,54,26741,171,8
200,157,54,27085,172,8
201,158,54,27128,171,5
202,159,54,27170,170,5
203,160,54,27211,170,7
204,161,54,27451,170,6
205,162,54,27390,169,3
206,163,54,27328,167,4
207,164,54,27365,166,8
208,165,54,27701,167,9
209,166,54,27836,167,5
210,167,54,27770,166,5
211,168,54,27903,166,6
212,169,54,27935,165,9
213,170,54,28366,166,10
214,171,54,28496,166,8
215,172,54,28725,167,8
216,173,54,28853,166,7
217,174,54,28980,166,7
218,175,54,29106,166,12
219,176,54,29731,168,15
220,177,54,30155,170,7
221,178,54,29978,168,4
222,179,54,30100,168,5
223,180,54,30021,166,4
