timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,20
2,20,0,1960,98,20
3,20,0,1940,97,20
4,20,0,1920,96,20
5,20,0,1900,95,20
6,20,0,1880,94,20
7,20,0,1860,93,20
8,20,0,1840,92,20
9,20,0,1820,91,20
10,21,0,1800,85,21
11,22,0,1779,80,22
12,23,0,1757,76,23
13,24,0,1734,72,24
14,25,0,1710,68,25
15,26,0,1685,64,26
16,27,0,1659,61,27
17,28,0,1632,58,28
18,29,0,1604,55,29
19,30,0,1575,52,30
20,31,0,1545,49,31
21,32,0,1514,47,32
22,33,0,1482,44,33
23,34,0,1449,42,34
24,35,0,1415,40,35
25,36,0,1380,38,36
26,37,0,1344,36,37
27,38,0,1307,34,38
28,39,0,1269,32,39
29,40,0,1230,30,40
30,41,0,1190,29,41
31,42,0,1149,27,42
32,43,0,1107,25,43
33,43,0,1064,24,42
34,43,0,1021,23,41
35,43,0,978,22,40
36,43,0,935,21,39
37,43,0,892,20,38
38,43,0,849,19,38
39,43,0,906,21,38
40,43,0,863,20,37
41,43,0,820,19,36
42,43,0,777,18,35
43,43,0,734,17,35
44,43,0,791,18,36
45,43,0,848,19,37
46,43,0,905,21,37
47,43,0,862,20,37
48,43,0,919,21,38
49,43,0,1076,25,38
50,43,0,1133,26,39
51,43,0,1190,27,39
52,43,0,1147,26,39
53,43,0,1104,25,41
54,43,0,1261,29,40
55,43,0,1218,28,40
56,43,0,1175,27,41
57,43,0,1232,28,41
58,43,0,1189,27,41
59,43,0,1146,26,42
60,43,0,1203,27,43
61,43,0,1260,29,43
62,43,0,1217,28,43
63,43,0,1174,27,43
64,43,0,1131,26,43
65,43,0,1088,25,43
66,43,0,1045,24,42
67,43,0,1002,23,41
68,43,0,959,22,40
69,43,0,916,21,39
70,43,0,873,20,38
71,43,0,830,19,38
72,43,0,887,20,38
73,43,0,844,19,37
74,43,0,801,18,36
75,43,0,758,17,35
76,43,0,715,16,35
77,43,0,772,17,36
78,43,0,829,19,37
79,43,0,886,20,37
80,43,0,843,19,37
81,43,0,900,20,38
82,43,0,1057,24,38
83,43,0,1114,25,39
84,43,0,1171,27,38
85,43,0,1128,26,38
86,43,0,1085,25,40
87,43,0,1242,28,40
88,43,0,1199,27,40
89,43,0,1156,26,41
90,43,0,1213,28,41
91,43,0,1170,27,41
92,43,0,1127,26,41
93,43,0,1084,25,43
94,43,0,1241,28,43
95,43,0,1198,27,43
96,43,0,1155,26,43
97,43,0,1112,25,43
98,43,0,1069,24,42
99,43,0,1026,23,41
100,43,0,983,22,40
101,43,0,940,21,39
102,43,0,897,20,38
103,43,0,854,19,38
104,43,0,911,21,38
105,43,0,868,20,37
106,43,0,825,19,36
107,43,0,782,18,35
108,43,0,739,17,35
109,43,0,796,18,36
110,43,0,853,19,37
111,43,0,910,21,37
112,43,0,867,20,37
113,43,0,924,21,38
114,43,0,1081,25,38
115,43,0,1138,26,39
116,43,0,1195,27,39
117,43,0,1152,26,39
118,43,0,1109,25,41
119,43,0,1266,29,40
120,43,0,1223,28,40
121,43,0,1180,27,41
122,43,0,1237,28,41
123,43,0,1194,27,41
124,43,0,1151,26,42
125,43,0,1208,28,43
126,43,0,1265,29,43
127,43,0,1222,28,43
128,43,0,1179,27,43
129,43,0,1136,26,43
130,43,0,1093,25,43
131,43,0,1050,24,42
132,43,0,1007,23,41
133,43,0,964,22,40
134,43,0,921,21,39
135,43,0,878,20,38
136,43,0,835,19,38
137,43,0,892,20,38
138,43,0,849,19,37
139,43,0,806,18,36
140,43,0,763,17,35
141,43,0,720,16,35
142,43,0,777,18,36
143,43,0,834,19,37
144,43,0,891,20,37
145,43,0,848,19,37
146,43,0,905,21,38
147,43,0,1062,24,38
148,43,0,1119,26,39
149,43,0,1176,27,39
150,43,0,1133,26,39
151,43,0,1090,25,41
152,43,0,1247,29,40
153,43,0,1204,28,40
154,43,0,1161,27,41
155,43,0,1218,28,41
156,43,0,1175,27,41
157,43,0,1132,26,42
158,43,0,1189,27,43
159,43,0,1246,28,43
160,43,0,1203,27,43
161,43,0,1160,26,43
162,43,0,1117,25,43
163,43,0,1074,24,42
164,43,0,1031,23,41
165,43,0,988,22,40
166,43,0,945,21,39
167,43,0,902,20,38
168,43,0,859,19,38
169,43,0,916,21,38
170,43,0,873,20,37
171,43,0,830,19,36
172,43,0,787,18,35
173,43,0,744,17,35
174,43,0,801,18,36
175,43,0,858,19,37
176,43,0,915,21,37
177,43,0,872,20,37
178,43,0,929,21,38
179,43,0,1086,25,38
180,43,0,1143,26,39
181,43,0,1200,27,39
182,43,0,1157,26,39
183,43,0,1114,25,41
184,43,0,1271,29,40
185,43,0,1228,28,40
186,43,0,1185,27,41
187,43,0,1242,28,41
188,43,0,1199,27,41
189,43,0,1156,26,42
190,43,0,1213,28,43
191,43,0,1270,29,43
192,43,0,1227,28,43
193,43,0,1184,27,43
194,43,0,1141,26,43
195,43,0,1098,25,43
196,43,0,1055,24,42
197,43,0,1012,23,41
198,43,0,969,22,40
199,43,0,926,21,39
200,43,0,883,20,38
201,43,0,840,19,38
202,43,0,897,20,38
203,43,0,854,19,37
204,43,0,811,18,36
205,43,0,768,17,35
206,43,0,725,16,35
207,43,0,782,18,36
208,43,0,839,19,37
209,43,0,896,20,37
210,43,0,853,19,37
211,43,0,910,21,38
212,43,0,1067,24,38
213,43,0,1124,26,39
214,43,0,1181,27,39
215,43,0,1138,26,39
216,43,0,1095,25,41
217,43,0,1252,29,40
218,43,0,1209,28,40
219,43,0,1166,27,41
220,43,0,1223,28,41
221,43,0,1180,27,41
222,43,0,1137,26,42
223,43,0,1194,27,43
224,43,0,1251,29,43
225,43,0,1208,28,43
226,43,0,1165,27,43
227,43,0,1122,26,43
228,43,0,1079,25,43
229,43,0,1036,24,42
230,43,0,993,23,41
231,43,0,950,22,40
232,43,0,907,21,39
233,43,0,864,20,38
234,43,0,821,19,38
235,43,0,878,20,38
236,43,0,835,19,37
237,43,0,792,18,36
238,43,0,749,17,35
239,43,0,706,16,35
240,43,0,763,17,36
241,43,0,820,19,37
242,43,0,877,20,37
243,43,0,834,19,37
244,43,0,891,20,38
245,43,0,1048,24,38
246,43,0,1105,25,39
247,43,0,1162,27,38
248,43,0,1119,26,38
249,43,0,1076,25,40
250,43,0,1233,28,40
251,43,0,1190,27,40
252,43,0,1147,26,41
253,43,0,1204,28,41
254,43,0,1161,27,41
255,43,0,1118,26,41
256,43,0,1075,25,43
257,43,0,1232,28,43
258,43,0,1189,27,43
259,43,0,1146,26,43
260,43,0,1103,25,43
261,43,0,1060,24,42
262,43,0,1017,23,41
263,43,0,974,22,40
264,43,0,931,21,39
265,43,0,888,20,38
266,43,0,845,19,38
267,43,0,902,20,38
268,43,0,859,19,37
269,43,0,816,18,36
270,43,0,773,17,35
271,43,0,730,16,35
272,43,0,787,18,36
273,43,0,844,19,37
274,43,0,901,20,37
275,43,0,858,19,37
276,43,0,915,21,38
277,43,0,1072,24,38
278,43,0,1129,26,39
279,43,0,1186,27,39
280,43,0,1143,26,39
281,43,0,1100,25,41
282,43,0,1257,29,40
283,43,0,1214,28,40
284,43,0,1171,27,41
285,43,0,1228,28,41
286,43,0,1185,27,41
287,43,0,1142,26,42
288,43,0,1199,27,43
289,43,0,1256,29,43
290,43,0,1213,28,43
291,43,0,1170,27,43
292,43,0,1127,26,43
293,43,0,1084,25,43
294,43,0,1041,24,42
295,43,0,998,23,41
296,43,0,955,22,40
297,43,0,912,21,39
298,43,0,869,20,38
299,43,0,826,19,38
300,43,0,883,20,38
301,43,0,840,19,37
302,43,0,797,18,36
303,43,0,754,17,35
304,43,0,711,16,35
305,43,0,768,17,36
306,43,0,825,19,37
307,43,0,882,20,37
308,43,0,839,19,37
309,43,0,896,20,38
310,43,0,1053,24,38
311,43,0,1110,25,39
312,43,0,1167,27,38
313,43,0,1124,26,38
314,43,0,1081,25,40
315,43,0,1238,28,40
316,43,0,1195,27,40
317,43,0,1152,26,41
318,43,0,1209,28,41
319,43,0,1166,27,41
320,43,0,1123,26,41
321,43,0,1080,25,43
322,43,0,1237,28,43
323,43,0,1194,27,43
324,43,0,1151,26,43
325,43,0,1108,25,43
326,43,0,1065,24,42
327,43,0,1022,23,41
328,43,0,979,22,40
329,43,0,936,21,39
330,43,0,893,20,38
331,43,0,850,19,38
332,43,0,907,21,38
333,43,0,864,20,37
334,43,0,821,19,36
335,43,0,778,18,35
336,43,0,735,17,35
337,43,0,792,18,36
338,43,0,849,19,37
339,43,0,906,21,37
340,43,0,863,20,37
341,43,0,920,21,38
342,43,0,1077,25,38
343,43,0,1134,26,39
344,43,0,1191,27,39
345,43,0,1148,26,39
346,43,0,1105,25,41
347,43,0,1262,29,40
348,43,0,1219,28,40
349,43,0,1176,27,41
350,43,0,1233,28,41
351,43,0,1190,27,41
352,43,0,1147,26,42
353,43,0,1204,28,43
354,43,0,1261,29,43
355,43,0,1218,28,43
356,43,0,1175,27,43
357,43,0,1132,26,43
358,43,0,1089,25,43
359,43,0,1046,24,42
360,43,0,1003,23,41
361,43,0,960,22,40
362,43,0,917,21,39
363,43,0,874,20,38
364,43,0,831,19,38
365,43,0,888,20,38
366,43,0,845,19,37
367,43,0,802,18,36
368,43,0,759,17,35
369,43,0,716,16,35
370,43,0,773,17,36
371,43,0,830,19,37
372,43,0,887,20,37
373,43,0,844,19,37
374,43,0,901,20,38
375,43,0,1058,24,38
376,43,0,1115,25,39
377,43,0,1172,27,38
378,43,0,1129,26,38
379,43,0,1086,25,40
380,43,0,1243,28,40
381,43,0,1200,27,40
382,43,0,1157,26,41
383,43,0,1214,28,41
384,43,0,1171,27,41
385,43,0,1128,26,41
386,43,0,1085,25,43
387,43,0,1242,28,43
388,43,0,1199,27,43
389,43,0,1156,26,43
390,43,0,1113,25,43
391,43,0,1070,24,42
392,43,0,1027,23,41
393,43,0,984,22,40
394,43,0,941,21,39
395,43,0,898,20,38
396,43,0,855,19,38
397,43,0,912,21,38
398,43,0,869,20,37
399,43,0,826,19,36
400,43,0,783,18,35
401,43,0,740,17,35
402,43,0,797,18,36
403,43,0,854,19,37
404,43,0,911,21,37
405,43,0,868,20,37
406,43,0,925,21,38
407,43,0,1082,25,38
408,43,0,1139,26,39
409,43,0,1196,27,39
410,43,0,1153,26,39
411,43,0,1110,25,41
412,43,0,1267,29,40
413,43,0,1224,28,40
414,43,0,1181,27,41
415,43,0,1238,28,41
416,43,0,1195,27,41
417,43,0,1152,26,42
418,43,0,1209,28,43
419,43,0,1266,29,43
420,43,0,1223,28,43
421,43,0,1180,27,43
422,43,0,1137,26,43
423,43,0,1094,25,43
424,43,0,1051,24,42
425,43,0,1008,23,41
426,43,0,965,22,40
427,43,0,922,21,39
428,43,0,879,20,38
429,43,0,836,19,38
430,43,0,893,20,38
431,43,0,850,19,37
432,43,0,807,18,36
433,43,0,764,17,35
434,43,0,721,16,35
435,43,0,778,18,36
436,43,0,835,19,37
437,43,0,892,20,37
438,43,0,849,19,37
439,43,0,906,21,38
440,43,0,1063,24,38
441,43,0,1120,26,39
442,43,0,1177,27,39
443,43,0,1134,26,39
444,43,0,1091,25,41
445,43,0,1248,29,40
446,43,0,1205,28,40
447,43,0,1162,27,41
448,43,0,1219,28,41
449,43,0,1176,27,41
450,43,0,1133,26,42
451,43,0,1190,27,43
452,43,0,1247,29,43
453,43,0,1204,28,43
454,43,0,1161,27,43
455,43,0,1118,26,43
456,43,0,1075,25,43
457,43,0,1032,24,42
458,43,0,989,23,41
459,43,0,946,22,40
460,43,0,903,21,39
461,43,0,860,20,38
462,43,0,817,19,38
463,43,0,874,20,38
464,43,0,831,19,37
465,43,0,788,18,36
466,43,0,745,17,35
467,43,0,702,16,35
468,43,0,759,17,36
469,43,0,816,18,37
470,43,0,873,20,37
471,43,0,830,19,37
472,43,0,887,20,38
473,43,0,1044,24,38
474,43,0,1101,25,39
475,43,0,1158,26,38
476,43,0,1115,25,38
477,43,0,1072,24,39
478,43,0,1229,28,39
479,43,0,1186,27,39
480,43,0,1143,26,40
481,43,0,1200,27,40
482,43,0,1157,26,41
483,43,0,1214,28,41
484,43,0,1171,27,43
485,43,0,1328,30,43
486,43,0,1285,29,43
487,43,0,1242,28,43
488,43,0,1199,27,43
489,43,0,1156,26,43
490,43,0,1113,25,43
491,43,0,1070,24,42
492,43,0,1027,23,41
493,43,0,984,22,40
494,43,0,941,21,39
495,43,0,898,20,38
496,43,0,855,19,38
497,43,0,912,21,38
498,43,0,869,20,37
499,43,0,826,19,36
500,43,0,783,18,35
501,43,0,740,17,35
502,43,0,797,18,36
503,43,0,854,19,37
504,43,0,911,21,37
505,43,0,868,20,37
506,43,0,925,21,38
507,43,0,1082,25,38
508,43,0,1139,26,39
509,43,0,1196,27,39
510,43,0,1153,26,39
511,43,0,1110,25,41
512,43,0,1267,29,40
513,43,0,1224,28,40
514,43,0,1181,27,41
515,43,0,1238,28,41
516,43,0,1195,27,41
517,43,0,1152,26,42
518,43,0,1209,28,43
519,43,0,1266,29,43
520,43,0,1223,28,43
521,43,0,1180,27,43
522,43,0,1137,26,43
523,43,0,1094,25,43
524,43,0,1051,24,42
525,43,0,1008,23,41
526,43,0,965,22,40
527,43,0,922,21,39
528,43,0,879,20,38
529,43,0,836,19,38
530,43,0,893,20,38
531,43,0,850,19,37
532,43,0,807,18,36
533,43,0,764,17,35
534,43,0,721,16,35
535,43,0,778,18,36
536,43,0,835,19,37
537,43,0,892,20,37
538,43,0,849,19,37
539,43,0,906,21,38
540,43,0,1063,24,38
541,43,0,1120,26,39
542,43,0,1177,27,39
543,43,0,1134,26,39
544,43,0,1091,25,41
545,43,0,1248,29,40
546,43,0,1205,28,40
547,43,0,1162,27,41
548,43,0,1219,28,41
549,43,0,1176,27,41
