timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,20,0,1980,99,0,20,0,1980,99,5
2,20,0,1960,98,0,20,0,1960,98,5
3,20,0,1940,97,0,20,0,1940,97,5
4,20,0,1920,96,1,20,0,1920,96,6
5,20,0,2000,100,1,20,0,2000,100,6
6,20,0,1980,99,0,20,0,1980,99,6
7,20,0,1960,98,1,20,0,1960,98,7
8,20,0,2040,102,2,20,0,2040,102,7
9,20,0,2120,106,1,20,0,2120,106,6
10,21,0,2100,100,1,21,0,2100,100,7
11,22,0,2079,94,2,22,0,2079,94,9
12,23,0,2157,93,3,23,0,2257,98,8
13,24,0,2234,93,2,24,0,2334,97,8
14,25,0,2210,88,1,25,0,2310,92,8
15,26,0,2185,84,3,26,0,2285,87,10
16,27,0,2359,87,3,27,0,2459,91,10
17,28,0,2332,83,1,28,0,2532,90,9
18,29,0,2304,79,3,29,0,2504,86,9
19,30,0,2475,82,4,30,0,2575,85,11
20,31,0,2545,82,2,31,0,2745,88,10
21,32,0,2514,78,3,32,0,2814,87,10
22,33,0,2682,81,3,33,0,2882,87,11
23,34,0,2649,77,1,34,0,2949,86,12
24,35,0,2615,74,3,35,0,3115,89,11
25,36,0,2780,77,4,36,0,3180,88,10
26,37,0,2844,76,2,37,0,3144,84,11
27,38,0,2807,73,3,38,0,3207,84,13
28,39,0,2969,76,3,39,0,3369,86,13
29,40,0,2930,73,1,40,0,3430,85,12
30,41,0,2890,70,3,41,0,3490,85,13
31,42,0,3049,72,4,42,0,3549,84,14
32,43,0,3107,72,2,43,0,3707,86,13
33,44,0,3064,69,3,44,0,3764,85,13
34,45,0,3220,71,3,45,0,3820,84,13
35,46,0,3175,69,1,46,0,3875,84,15
36,47,0,3129,66,3,47,0,4029,85,14
37,48,0,3282,68,4,48,0,4082,85,13
38,49,0,3334,68,2,49,0,4034,82,15
39,50,0,3285,65,3,50,0,4085,81,17
40,51,0,3435,67,3,51,0,4235,83,15
41,52,0,3384,65,1,52,0,4284,82,15
42,53,0,3332,62,3,53,0,4332,81,16
43,54,0,3479,64,4,54,0,4379,81,18
44,55,0,3525,64,2,55,0,4525,82,16
45,56,0,3470,61,3,56,0,4570,81,16
46,57,0,3614,63,3,57,0,4614,80,18
47,58,0,3557,61,1,58,0,4657,80,19
48,59,0,3499,59,3,59,0,4799,81,18
49,60,0,3640,60,4,60,0,4840,80,17
50,61,0,3680,60,2,61,0,4880,80,18
51,62,0,3619,58,3,62,0,4919,79,19
52,63,0,3757,59,3,63,0,5057,80,18
53,64,0,3694,57,1,64,0,5094,79,18
54,65,0,3630,55,3,65,0,5130,78,18
55,66,0,3765,57,4,66,0,5165,78,20
56,67,0,3799,56,2,67,0,5299,79,19
57,68,0,3732,54,3,68,0,5332,78,20
58,69,0,3864,56,3,69,0,5364,77,19
59,70,0,3795,54,1,70,0,5395,77,21
60,71,0,3725,52,3,71,0,5525,77,20
61,72,0,3854,53,4,72,0,5554,77,20
62,73,0,3882,53,2,73,0,5582,76,20
63,74,0,3809,51,3,74,0,5609,75,22
64,75,0,3935,52,3,75,0,5735,76,21
65,76,0,3860,50,1,76,0,5760,75,21
66,77,0,3784,49,3,77,0,5784,75,21
67,78,0,3907,50,4,78,0,5807,74,23
68,79,0,3929,49,2,79,0,5929,75,22
69,80,0,3850,48,3,80,0,5950,74,22
70,81,0,3970,49,3,81,0,5970,73,22
71,82,0,3889,47,1,82,0,5989,73,24
72,83,0,3807,45,3,83,0,6107,73,23
73,84,0,3924,46,4,84,0,6124,72,23
74,85,0,3940,46,2,85,0,6140,72,23
75,86,0,3855,44,3,86,0,6155,71,25
76,87,0,3969,45,3,87,0,6269,72,24
77,88,0,3882,44,1,88,0,6282,71,24
78,89,0,3794,42,3,89,0,6294,70,25
79,90,0,3905,43,4,90,0,6305,70,26
80,91,0,3915,43,2,91,0,6415,70,25
81,92,0,3824,41,3,92,0,6424,69,25
82,93,0,3932,42,3,93,0,6432,69,26
83,94,0,3839,40,1,94,0,6439,68,27
84,95,0,3745,39,3,95,0,6545,68,26
85,96,0,3850,40,4,96,0,6550,68,26
86,97,0,3854,39,2,97,0,6554,67,27
87,98,0,3757,38,3,98,0,6557,66,28
88,99,0,3859,38,3,99,0,6659,67,27
89,100,0,3760,37,1,100,0,6660,66,28
90,101,0,3660,36,3,101,0,6660,65,27
91,102,0,3759,36,4,102,0,6659,65,29
92,103,0,3757,36,2,103,0,6757,65,28
93,104,0,3654,35,3,104,0,6754,64,28
94,105,0,3750,35,3,105,0,6750,64,29
95,106,0,3645,34,1,106,0,6745,63,30
96,107,0,3539,33,3,107,0,6839,63,29
97,108,0,3632,33,4,108,0,6832,63,29
98,109,0,3624,33,2,109,0,6824,62,29
99,110,0,3515,31,3,110,0,6815,61,31
100,111,0,3605,32,3,111,0,6905,62,31
101,112,0,3494,31,1,112,0,6894,61,30
102,113,0,3382,29,3,113,0,6882,60,31
103,114,0,3469,30,4,114,0,6869,60,32
104,115,0,3455,30,2,115,0,6955,60,31
105,116,0,3340,28,3,116,0,6940,59,31
106,117,0,3424,29,3,117,0,6924,59,32
107,118,0,3307,28,1,118,0,6907,58,33
108,119,0,3189,26,3,119,0,6989,58,32
109,119,0,3270,27,3,120,0,6970,58,32
110,119,0,3251,27,1,121,0,6950,57,33
111,119,0,3132,26,2,122,0,6929,56,34
112,119,0,3213,27,2,123,0,7007,56,33
113,119,0,3094,26,0,124,0,6984,56,33
114,119,0,2975,25,2,125,0,6960,55,34
115,119,0,3056,25,3,126,0,6935,55,35
116,119,0,3037,25,1,127,0,7009,55,34
117,119,0,2918,24,1,128,0,6982,54,34
118,119,0,2899,24,2,129,0,6954,53,35
119,119,0,2880,24,1,130,0,6925,53,37
120,119,0,2761,23,0,131,0,6995,53,35
121,119,0,2642,22,1,132,0,6964,52,35
122,119,0,2623,22,2,133,0,6932,52,36
123,119,0,2604,21,1,134,0,6899,51,37
124,119,0,2485,20,0,135,0,6965,51,36
125,119,0,2366,19,1,136,0,6930,50,36
126,119,0,2347,19,2,137,0,6894,50,36
127,119,0,2328,19,1,138,0,6857,49,38
128,119,0,2209,18,0,139,0,6919,49,38
129,119,0,2090,17,1,140,0,6880,49,37
130,119,0,2071,17,2,141,0,6840,48,37
131,119,0,2052,17,1,142,0,6799,47,39
132,119,0,1933,16,0,143,0,6857,47,38
133,119,0,1814,15,1,144,0,6814,47,38
134,119,0,1795,15,2,145,0,6770,46,38
135,119,0,1776,14,1,146,0,6725,46,40
136,119,0,1657,13,0,147,0,6779,46,39
137,119,0,1538,12,1,148,0,6732,45,39
138,119,0,1519,12,2,149,0,6684,44,40
139,119,0,1500,12,1,150,0,6635,44,41
140,119,0,1381,11,0,151,0,6685,44,40
141,119,0,1262,10,1,152,0,6634,43,40
142,119,0,1243,10,2,153,0,6582,43,41
143,118,1,1224,10,1,154,0,6529,42,42
144,117,2,1106,9,0,155,0,6575,42,41
145,116,3,989,8,1,156,0,6520,41,41
146,115,4,873,7,1,157,0,6464,41,41
147,114,5,758,6,0,158,0,6407,40,43
148,113,6,644,5,0,159,0,6449,40,42
149,112,7,531,4,0,160,0,6390,39,42
150,111,8,419,3,0,161,0,6330,39,42
151,110,9,308,2,0,162,0,6269,38,44
152,109,10,198,1,0,163,0,6307,38,43
153,108,11,89,0,0,164,0,6244,38,43
154,0,119,-19,0,0,165,0,6180,37,43
155,0,119,-19,0,0,166,0,6115,36,45
156,0,119,-19,0,0,167,0,6149,36,45
157,0,119,-19,0,0,168,0,6082,36,44
158,0,119,-19,0,0,169,0,6014,35,44
159,0,119,-19,0,0,170,0,5945,34,46
160,0,119,-19,0,0,171,0,5975,34,45
161,0,119,-19,0,0,172,0,5904,34,45
162,0,119,-19,0,0,173,0,5832,33,45
163,0,119,-19,0,0,174,0,5759,33,47
164,0,119,-19,0,0,175,0,5785,33,47
165,0,119,-19,0,0,176,0,5710,32,46
166,0,119,-19,0,0,177,0,5634,31,47
167,0,119,-19,0,0,178,0,5557,31,48
168,0,119,-19,0,0,179,0,5579,31,47
169,0,119,-19,0,0,180,0,5500,30,47
170,0,119,-19,0,0,181,0,5420,29,47
171,0,119,-19,0,0,182,0,5339,29,49
172,0,119,-19,0,0,183,0,5357,29,48
173,0,119,-19,0,0,184,0,5274,28,47
174,0,119,-19,0,0,185,0,5090,27,48
175,0,119,-19,0,0,186,0,5005,26,50
176,0,119,-19,0,0,186,0,5019,26,48
177,0,119,-19,0,0,186,0,4933,26,48
178,0,119,-19,0,0,186,0,4847,26,48
179,0,119,-19,0,0,186,0,4761,25,49
180,0,119,-19,0,0,186,0,4775,25,30
181,0,119,-19,0,0,186,0,4689,25,29
182,0,119,-19,0,0,186,0,4603,24,29
183,0,119,-19,0,0,186,0,4517,24,30
184,0,119,-19,0,0,186,0,4531,24,29
185,0,119,-19,0,0,186,0,4445,23,29
186,0,119,-19,0,0,186,0,4359,23,29
187,0,119,-19,0,0,186,0,4273,22,30
188,0,119,-19,0,0,186,0,4287,23,30
189,0,119,-19,0,0,186,0,4201,22,29
190,0,119,-19,0,0,186,0,4115,22,29
191,0,119,-19,0,0,186,0,4029,21,30
192,0,119,-19,0,0,186,0,4043,21,29
193,0,119,-19,0,0,186,0,3957,21,29
194,0,119,-19,0,0,186,0,3871,20,29
195,0,119,-19,0,0,186,0,3785,20,30
196,0,119,-19,0,0,186,0,3799,20,29
197,0,119,-19,0,0,186,0,3713,19,29
