timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,20,0,1980,99,0,20,0,1980,99,5
2,20,0,1960,98,0,20,0,1960,98,5
3,20,0,1940,97,0,20,0,1940,97,5
4,20,0,1920,96,1,20,0,1920,96,6
5,20,0,1950,97,1,20,0,1950,97,6
6,20,0,1930,96,0,20,0,1930,96,6
7,20,0,1910,95,1,20,0,1910,95,7
8,20,0,1940,97,1,20,0,1940,97,6
9,20,0,1920,96,0,20,0,1920,96,6
10,21,0,1900,90,2,21,0,1900,90,8
11,22,0,1929,87,3,22,0,1929,87,8
12,23,0,1957,85,2,23,0,1957,85,8
13,24,0,1934,80,1,24,0,1934,80,8
14,25,0,1910,76,1,25,0,1960,78,8
15,26,0,1885,72,1,26,0,1935,74,9
16,27,0,1859,68,2,27,0,1959,72,10
17,28,0,1882,67,2,28,0,2032,72,8
18,29,0,1854,63,1,29,0,2004,69,9
19,30,0,1825,60,3,30,0,1975,65,12
20,31,0,1895,61,4,31,0,2095,67,11
21,32,0,1914,59,2,32,0,2114,66,9
22,33,0,1882,57,2,33,0,2082,63,10
23,34,0,1899,55,3,34,0,2099,61,12
24,35,0,1915,54,3,35,0,2165,61,11
25,36,0,1930,53,2,36,0,2180,60,11
26,37,0,1894,51,1,37,0,2194,59,14
27,38,0,1857,48,1,38,0,2307,60,15
28,39,0,1819,46,2,39,0,2419,62,12
29,40,0,1830,45,2,40,0,2380,59,14
30,41,0,1790,43,2,41,0,2490,60,15
31,42,0,1799,42,4,42,0,2549,60,13
32,43,0,1857,43,3,43,0,2507,58,14
33,44,0,1814,41,3,44,0,2564,58,13
34,45,0,1870,41,4,45,0,2570,57,13
35,46,0,1875,40,3,46,0,2575,55,17
36,47,0,1879,39,4,47,0,2729,58,15
37,48,0,1932,40,4,48,0,2732,56,13
38,49,0,1934,39,2,49,0,2684,54,17
39,50,0,1885,37,2,50,0,2785,55,18
40,51,0,1885,36,3,51,0,2935,57,17
41,52,0,1884,36,3,52,0,2984,57,17
42,53,0,1882,35,4,53,0,3082,58,18
43,54,0,1929,35,4,54,0,3129,57,16
44,55,0,1925,35,3,55,0,3125,56,19
45,56,0,1920,34,3,56,0,3270,58,19
46,57,0,1914,33,3,57,0,3314,58,16
47,58,0,1907,32,4,58,0,3307,57,18
48,59,0,1949,33,3,59,0,3349,56,18
49,60,0,1890,31,2,60,0,3390,56,18
50,61,0,1880,30,4,61,0,3430,56,21
51,62,0,1919,30,3,62,0,3569,57,21
52,63,0,1857,29,4,63,0,3707,58,20
53,64,0,1944,30,5,64,0,3694,57,21
54,65,0,1930,29,3,65,0,3780,58,20
55,66,0,1915,29,6,66,0,3865,58,19
56,67,0,2049,30,6,67,0,3849,57,22
57,68,0,2032,29,3,68,0,3982,58,24
58,69,0,2014,29,3,69,0,4164,60,21
59,70,0,1995,28,2,70,0,4145,59,22
60,71,0,1925,27,4,71,0,4225,59,20
61,72,0,2004,27,4,72,0,4204,58,21
62,73,0,1932,26,2,73,0,4232,57,24
63,73,0,1909,26,5,74,0,4359,58,25
64,73,0,2036,27,5,75,0,4435,59,23
65,73,0,2013,27,1,76,0,4460,58,26
66,73,0,1940,26,3,77,0,4634,60,24
67,73,0,2017,27,5,78,0,4707,60,23
68,73,0,2044,28,3,79,0,4679,59,25
69,73,0,2021,27,5,80,0,4800,60,26
70,73,0,2148,29,7,81,0,4920,60,24
71,73,0,2225,30,4,82,0,4889,59,25
72,73,0,2202,30,1,83,0,4957,59,25
73,73,0,2129,29,2,84,0,5024,59,23
74,73,0,2156,29,4,85,0,4990,58,26
75,73,0,2183,29,2,86,0,5105,59,26
76,73,0,2110,28,3,87,0,5169,59,26
77,74,0,2187,29,7,88,0,5232,59,28
78,75,0,2263,30,6,89,0,5394,60,26
79,76,0,2288,30,4,90,0,5455,60,29
80,77,0,2262,29,4,91,0,5515,60,28
81,78,0,2285,29,4,92,0,5624,61,29
82,79,0,2257,28,4,93,0,5732,61,29
83,80,0,2278,28,4,94,0,5839,62,28
84,81,0,2248,27,2,95,0,5845,61,28
85,82,0,2167,26,2,96,0,5900,61,27
86,82,0,2135,26,2,97,0,5904,60,29
87,82,0,2103,25,2,98,0,6007,61,31
88,82,0,2071,25,2,99,0,6159,62,30
89,82,0,2039,24,3,100,0,6160,61,30
90,82,0,2057,25,2,101,0,6210,61,31
91,82,0,1975,24,1,102,0,6309,61,32
92,82,0,1943,23,4,103,0,6407,62,34
93,82,0,2011,24,5,104,0,6554,63,34
94,82,0,2029,24,4,105,0,6750,64,33
95,82,0,2047,24,4,106,0,6795,64,32
96,82,0,2065,25,2,107,0,6839,63,32
97,82,0,1983,24,2,108,0,6932,64,32
98,82,0,2001,24,2,109,0,6974,63,34
99,82,0,1919,23,0,110,0,7065,64,35
100,82,0,1837,22,4,111,0,7255,65,35
101,82,0,1955,23,4,112,0,7344,65,36
102,82,0,1873,22,2,113,0,7532,66,34
103,82,0,1891,23,6,114,0,7669,67,32
104,82,0,2009,24,5,115,0,7655,66,36
105,82,0,1977,24,2,116,0,7790,67,38
106,82,0,1945,23,3,117,0,8024,68,37
107,82,0,1963,23,6,118,0,8057,68,34
108,82,0,2081,25,6,119,0,8089,67,35
109,82,0,2099,25,2,120,0,8170,68,34
110,82,0,2017,24,2,121,0,8150,67,38
111,82,0,2035,24,4,122,0,8279,67,39
112,82,0,2053,25,4,123,0,8407,68,34
113,82,0,2071,25,3,124,0,8384,67,37
114,82,0,2039,24,1,125,0,8510,68,36
115,82,0,1957,23,3,126,0,8535,67,34
116,82,0,2025,24,6,127,0,8459,66,39
117,82,0,2093,25,4,128,0,8632,67,39
118,82,0,2061,25,3,129,0,8754,67,35
119,82,0,2079,25,5,130,0,8675,66,38
120,82,0,2147,26,6,131,0,8745,66,40
121,82,0,2215,27,4,132,0,8814,66,35
122,82,0,2183,26,3,133,0,8732,65,41
123,82,0,2201,26,2,134,0,8899,66,41
124,82,0,2119,25,2,135,0,9065,67,37
125,82,0,2137,26,4,136,0,9030,66,42
126,82,0,2155,26,4,137,0,9244,67,40
127,82,0,2173,26,3,138,0,9357,67,39
128,82,0,2141,26,2,139,0,9319,67,41
129,82,0,2109,25,3,140,0,9430,67,41
130,82,0,2127,25,4,141,0,9540,67,40
131,82,0,2145,26,3,142,0,9549,67,40
132,82,0,2113,25,2,143,0,9557,66,41
133,82,0,2081,25,4,144,0,9614,66,42
134,82,0,2149,26,3,145,0,9620,66,41
135,82,0,2067,25,1,146,0,9675,66,44
136,82,0,2035,24,2,147,0,9829,66,43
137,82,0,2003,24,3,148,0,9932,67,44
138,82,0,2021,24,2,149,0,9984,67,43
139,82,0,1939,23,2,150,0,10035,66,42
140,82,0,1957,23,5,151,0,10035,66,46
141,82,0,2025,24,3,152,0,10234,67,48
142,82,0,1943,23,1,153,0,10432,68,46
143,82,0,1911,23,1,154,0,10479,68,47
144,82,0,1829,22,1,155,0,10575,68,45
145,82,0,1797,21,2,156,0,10670,68,46
146,82,0,1765,21,2,157,0,10714,68,47
147,82,0,1733,21,3,158,0,10857,68,47
148,82,0,1751,21,3,159,0,10949,68,45
149,82,0,1719,20,2,160,0,10990,68,47
150,82,0,1687,20,3,161,0,11080,68,45
151,82,0,1705,20,4,162,0,11119,68,46
152,82,0,1723,21,3,163,0,11157,68,47
153,82,0,1691,20,4,164,0,11244,68,50
154,82,0,1759,21,6,165,0,11380,68,48
155,82,0,1827,22,5,166,0,11415,68,49
156,82,0,1845,22,2,167,0,11449,68,48
157,82,0,1763,21,1,168,0,11532,68,45
158,82,0,1731,21,3,169,0,11464,67,49
159,82,0,1749,21,6,170,0,11545,67,52
160,82,0,1867,22,5,171,0,11725,68,48
161,82,0,1835,22,1,172,0,11754,68,47
162,82,0,1753,21,2,173,0,11732,67,50
163,82,0,1771,21,3,174,0,11809,67,49
164,82,0,1739,21,1,175,0,11785,67,48
165,82,0,1657,20,3,176,0,11760,66,52
166,82,0,1725,21,4,177,0,11884,67,50
167,82,0,1693,20,1,178,0,11857,66,48
168,82,0,1611,19,2,179,0,11779,65,50
169,82,0,1629,19,3,180,0,11800,65,47
170,82,0,1597,19,2,181,0,11670,64,48
171,82,0,1565,19,1,182,0,11589,63,53
172,82,0,1483,18,1,183,0,11707,63,51
173,82,0,1451,17,3,184,0,11674,63,50
174,82,0,1469,17,3,185,0,11640,62,53
175,82,0,1437,17,1,186,0,11705,62,51
176,82,0,1355,16,4,187,0,11669,62,53
177,82,0,1473,17,6,188,0,11732,62,56
178,82,0,1491,18,2,189,0,11944,63,55
179,82,0,1409,17,2,190,0,12005,63,55
180,82,0,1427,17,4,191,0,12015,62,55
181,82,0,1445,17,3,192,0,12124,63,56
182,82,0,1413,17,2,193,0,12182,63,55
183,82,0,1381,16,2,194,0,12239,63,58
184,82,0,1349,16,3,195,0,12395,63,54
185,82,0,1367,16,3,196,0,12350,63,55
186,82,0,1335,16,3,197,0,12354,62,57
187,82,0,1353,16,2,198,0,12407,62,55
188,82,0,1271,15,1,199,0,12409,62,57
189,82,0,1239,15,3,200,0,12510,62,58
190,82,0,1257,15,2,201,0,12610,62,56
191,82,0,1175,14,0,202,0,12609,62,56
192,82,0,1093,13,3,203,0,12607,62,58
193,82,0,1161,14,3,204,0,12654,62,55
194,82,0,1079,13,0,205,0,12550,61,60
195,82,0,997,12,1,206,0,12645,61,60
196,82,0,965,11,1,207,0,12789,61,59
