timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,20,0,1980,99,0,20,0,1980,99,5
2,20,0,1960,98,0,20,0,1960,98,5
3,20,0,1940,97,0,20,0,1940,97,5
4,20,0,1920,96,0,20,0,1920,96,5
5,20,0,1900,95,0,20,0,1900,95,5
6,20,0,1880,94,1,20,0,1880,94,5
7,20,0,1960,98,1,20,0,1860,93,5
8,20,0,1940,97,0,20,0,1840,92,6
9,20,0,1920,96,0,20,0,1920,96,6
10,21,0,1900,90,1,21,0,1900,90,7
11,22,0,1879,85,2,22,0,1879,85,7
12,23,0,1957,85,3,23,0,1857,80,7
13,24,0,2034,84,2,24,0,1834,76,8
14,25,0,2010,80,1,25,0,1910,76,9
15,26,0,1985,76,1,26,0,1985,76,8
16,27,0,1959,72,1,27,0,1959,72,8
17,28,0,1932,69,3,28,0,1932,69,8
18,29,0,2104,72,4,29,0,1904,65,10
19,30,0,2175,72,2,30,0,1975,65,10
20,31,0,2145,69,1,31,0,2045,65,10
21,32,0,2114,66,1,32,0,2114,66,9
22,33,0,2082,63,4,33,0,2082,63,10
23,34,0,2349,69,4,34,0,2149,63,10
24,35,0,2315,66,1,35,0,2115,60,11
25,36,0,2280,63,1,36,0,2180,60,13
26,37,0,2244,60,1,37,0,2444,66,10
27,38,0,2207,58,5,38,0,2407,63,12
28,39,0,2569,65,5,39,0,2469,63,11
29,40,0,2530,63,1,40,0,2430,60,12
30,41,0,2490,60,1,41,0,2490,60,14
31,42,0,2449,58,1,42,0,2649,63,14
32,43,0,2407,55,5,43,0,2707,62,13
33,44,0,2764,62,5,44,0,2664,60,13
34,45,0,2720,60,1,45,0,2720,60,12
35,46,0,2675,58,1,46,0,2675,58,14
36,47,0,2629,55,1,47,0,2729,58,13
37,48,0,2582,53,5,48,0,2682,55,14
38,49,0,2934,59,5,49,0,2734,55,15
39,50,0,2885,57,1,50,0,2885,57,14
40,51,0,2835,55,1,51,0,2835,55,15
41,52,0,2784,53,1,52,0,2884,55,14
42,53,0,2732,51,5,53,0,2832,53,15
43,54,0,3079,57,5,54,0,2779,51,18
44,55,0,3025,55,1,55,0,3025,55,17
45,56,0,2970,53,1,56,0,3070,54,17
46,57,0,2914,51,1,57,0,3214,56,16
47,58,0,2857,49,5,58,0,3157,54,17
48,59,0,3199,54,5,59,0,3199,54,17
49,60,0,3140,52,1,60,0,3240,54,16
50,61,0,3080,50,1,61,0,3180,52,19
51,62,0,3019,48,1,62,0,3319,53,19
52,63,0,2957,46,5,63,0,3457,54,18
53,64,0,3294,51,5,64,0,3394,53,17
54,65,0,3230,49,1,65,0,3330,51,18
55,66,0,3165,47,1,66,0,3365,50,19
56,67,0,3099,46,1,67,0,3399,50,19
57,68,0,3032,44,5,68,0,3432,50,18
58,69,0,3364,48,5,69,0,3364,48,20
59,70,0,3295,47,1,70,0,3495,49,22
60,71,0,3225,45,1,71,0,3725,52,19
61,72,0,3154,43,1,72,0,3654,50,19
62,73,0,3082,42,5,73,0,3582,49,21
63,74,0,3409,46,5,74,0,3709,50,22
64,75,0,3335,44,1,75,0,3835,51,21
65,76,0,3260,42,1,76,0,3860,50,21
66,77,0,3184,41,1,77,0,3884,50,21
67,78,0,3107,39,5,78,0,3907,50,24
68,79,0,3429,43,5,79,0,4129,52,21
69,80,0,3350,41,1,80,0,4050,50,23
70,81,0,3270,40,1,81,0,4170,51,23
71,82,0,3189,38,1,82,0,4189,51,24
72,83,0,3107,37,5,83,0,4307,51,24
73,84,0,3424,40,5,84,0,4324,51,23
74,85,0,3340,39,1,85,0,4340,51,24
75,86,0,3255,37,1,86,0,4455,51,26
76,87,0,3169,36,1,87,0,4669,53,23
77,88,0,3082,35,5,88,0,4582,52,24
78,89,0,3394,38,5,89,0,4594,51,25
79,90,0,3305,36,1,90,0,4605,51,26
80,91,0,3215,35,1,91,0,4715,51,25
81,92,0,3124,33,1,92,0,4724,51,25
82,93,0,3032,32,5,93,0,4732,50,26
83,94,0,3339,35,5,94,0,4739,50,28
84,95,0,3245,34,1,95,0,4945,52,25
85,96,0,3150,32,1,96,0,4850,50,26
86,97,0,3054,31,1,97,0,4854,50,27
87,98,0,2957,30,5,98,0,4857,49,28
88,99,0,3259,32,5,99,0,4959,50,27
89,100,0,3160,31,1,100,0,4960,49,27
90,101,0,3060,30,1,101,0,4960,49,27
91,102,0,2959,29,1,102,0,4959,48,30
92,103,0,2857,27,5,103,0,5157,50,28
93,104,0,3154,30,5,104,0,5054,48,28
94,105,0,3050,29,1,105,0,5050,48,29
95,106,0,2945,27,1,106,0,5045,47,30
96,107,0,2839,26,1,107,0,5139,48,30
97,107,0,2732,25,4,108,0,5132,47,29
98,107,0,3025,28,4,109,0,5124,47,29
99,107,0,2918,27,0,110,0,5115,46,32
100,107,0,2811,26,0,111,0,5305,47,30
101,107,0,2704,25,0,112,0,5194,46,30
102,107,0,2597,24,4,113,0,5182,45,31
103,107,0,2890,27,4,114,0,5169,45,32
104,107,0,2783,26,0,115,0,5255,45,32
105,107,0,2676,25,0,116,0,5240,45,31
106,107,0,2569,24,0,117,0,5224,44,32
107,107,0,2462,23,2,118,0,5207,44,35
108,107,0,2555,23,4,119,0,5389,45,31
109,107,0,2648,24,2,120,0,5270,43,32
110,107,0,2541,23,0,121,0,5250,43,33
111,107,0,2434,22,0,122,0,5229,42,34
112,107,0,2327,21,0,123,0,5307,43,34
113,107,0,2220,20,1,124,0,5284,42,33
114,107,0,2213,20,2,125,0,5260,42,34
115,107,0,2206,20,1,126,0,5235,41,36
116,107,0,2099,19,0,127,0,5409,42,34
117,107,0,1992,18,0,128,0,5282,41,34
118,107,0,1885,17,0,129,0,5254,40,34
119,107,0,1778,16,1,130,0,5225,40,36
120,107,0,1771,16,2,131,0,5295,40,35
121,107,0,1764,16,1,132,0,5264,39,35
122,107,0,1657,15,0,133,0,5232,39,36
123,107,0,1550,14,0,134,0,5199,38,38
124,107,0,1443,13,0,135,0,5365,39,35
125,107,0,1336,12,1,136,0,5230,38,36
126,107,0,1329,12,2,137,0,5194,37,37
127,107,0,1322,12,1,138,0,5157,37,38
128,107,0,1215,11,0,139,0,5219,37,37
129,107,0,1108,10,0,140,0,5180,37,37
130,107,0,1001,9,0,141,0,5140,36,37
131,107,0,894,8,1,142,0,5099,35,40
132,106,1,887,8,1,143,0,5257,36,37
133,105,2,781,7,0,144,0,5114,35,38
134,104,3,676,6,0,145,0,5070,34,39
135,103,4,572,5,0,146,0,5025,34,40
136,102,5,469,4,0,147,0,5079,34,39
137,101,6,367,3,0,148,0,5032,34,39
138,100,7,266,2,0,149,0,4984,33,40
139,99,8,166,1,0,150,0,4935,32,42
140,98,9,67,0,0,151,0,5085,33,39
141,0,107,-31,0,0,152,0,4934,32,40
142,0,107,-31,0,0,153,0,4882,31,41
143,0,107,-31,0,0,154,0,4829,31,42
144,0,107,-31,0,0,155,0,4875,31,41
145,0,107,-31,0,0,156,0,4820,30,41
146,0,107,-31,0,0,157,0,4764,30,41
147,0,107,-31,0,0,158,0,4707,29,44
148,0,107,-31,0,0,159,0,4849,30,41
149,0,107,-31,0,0,160,0,4690,29,42
150,0,107,-31,0,0,161,0,4630,28,42
151,0,107,-31,0,0,162,0,4569,28,44
152,0,107,-31,0,0,163,0,4607,28,43
153,0,107,-31,0,0,164,0,4544,27,43
154,0,107,-31,0,0,165,0,4480,27,43
155,0,107,-31,0,0,166,0,4415,26,46
156,0,107,-31,0,0,166,0,4549,27,42
157,0,107,-31,0,0,166,0,4383,26,43
158,0,107,-31,0,0,166,0,4317,26,43
159,0,107,-31,0,0,166,0,4251,25,44
160,0,107,-31,0,0,166,0,4285,25,26
161,0,107,-31,0,0,166,0,4219,25,26
162,0,107,-31,0,0,166,0,4153,25,26
163,0,107,-31,0,0,166,0,4087,24,28
164,0,107,-31,0,0,166,0,4221,25,25
165,0,107,-31,0,0,166,0,4055,24,26
166,0,107,-31,0,0,166,0,3989,24,26
167,0,107,-31,0,0,166,0,3923,23,27
168,0,107,-31,0,0,166,0,3957,23,26
169,0,107,-31,0,0,166,0,3891,23,26
170,0,107,-31,0,0,166,0,3825,23,26
171,0,107,-31,0,0,166,0,3759,22,28
172,0,107,-31,0,0,166,0,3893,23,25
173,0,107,-31,0,0,166,0,3727,22,26
174,0,107,-31,0,0,166,0,3661,22,26
175,0,107,-31,0,0,166,0,3595,21,27
176,0,107,-31,0,0,166,0,3629,21,26
177,0,107,-31,0,0,166,0,3563,21,26
178,0,107,-31,0,0,166,0,3497,21,27
179,0,107,-31,0,0,166,0,3431,20,28
180,0,107,-31,0,0,166,0,3565,21,25
181,0,107,-31,0,0,166,0,3399,20,26
182,0,107,-31,0,0,166,0,3333,20,26
183,0,107,-31,0,0,166,0,3267,19,27
184,0,107,-31,0,0,166,0,3301,19,26
185,0,107,-31,0,0,166,0,3235,19,25
186,0,107,-31,0,0,166,0,3069,18,27
187,0,107,-31,0,0,166,0,3103,18,28
188,0,107,-31,0,0,166,0,3237,19,25
189,0,107,-31,0,0,166,0,3071,18,25
190,0,107,-31,0,0,166,0,2905,17,26
191,0,107,-31,0,0,166,0,2839,17,26
192,0,107,-31,0,0,166,0,2773,16,26
193,0,107,-31,0,0,166,0,2707,16,25
194,0,107,-31,0,0,166,0,2541,15,27
195,0,107,-31,0,0,166,0,2575,15,28
196,0,107,-31,0,0,166,0,2709,16,25
197,0,107,-31,0,0,166,0,2543,15,25
