timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1,alive_queen2,dead_queen2,food_queen2,health_queen2,presence_queen2
1,45,0,4455,99,0,20,0,1980,99,0
2,45,0,4410,98,0,20,0,1960,98,0
3,45,0,4365,97,0,20,0,1940,97,0
4,45,0,4320,96,0,20,0,1920,96,0
5,45,0,4275,95,0,20,0,1900,95,0
6,45,0,4230,94,1,20,0,1880,94,1
7,45,0,4285,95,1,20,0,1960,98,1
8,45,0,4240,94,0,20,0,1940,97,0
9,45,0,4195,93,1,20,0,1920,96,1
10,46,0,4250,92,2,21,0,2000,95,2
11,47,0,4204,89,1,22,0,1979,89,1
12,48,0,4157,86,2,23,0,1957,85,2
13,49,0,4209,85,4,24,0,2034,84,4
14,50,0,4360,87,3,25,0,2210,88,3
15,51,0,4310,84,1,26,0,2185,84,1
16,52,0,4259,81,3,27,0,2159,79,3
17,53,0,4407,83,4,28,0,2332,83,4
18,54,0,4454,82,2,29,0,2404,82,2
19,55,0,4400,80,2,30,0,2375,79,1
20,56,0,4445,79,3,31,0,2345,75,4
21,57,0,4489,78,3,32,0,2614,81,4
22,58,0,4532,78,3,33,0,2582,78,1
23,59,0,4574,77,2,34,0,2549,74,3
24,60,0,4515,75,2,35,0,2715,77,3
25,61,0,4555,74,4,36,0,2680,74,1
26,62,0,4694,75,3,37,0,2644,71,4
27,63,0,4632,73,1,38,0,2907,76,4
28,64,0,4569,71,3,39,0,2869,73,1
29,65,0,4705,72,4,40,0,2830,70,3
30,66,0,4740,71,2,41,0,2990,72,3
31,67,0,4674,69,2,42,0,2949,70,1
32,68,0,4707,69,3,43,0,2907,67,4
33,69,0,4739,68,3,44,0,3164,71,4
34,70,0,4770,68,3,45,0,3120,69,1
35,71,0,4800,67,2,46,0,3075,66,3
36,72,0,4729,65,2,47,0,3229,68,3
37,73,0,4757,65,4,48,0,3182,66,1
38,74,0,4884,66,3,49,0,3134,63,4
39,75,0,4810,64,1,50,0,3385,67,4
40,76,0,4735,62,3,51,0,3335,65,1
41,77,0,4859,63,4,52,0,3284,63,3
42,78,0,4882,62,2,53,0,3432,64,3
43,79,0,4804,60,2,54,0,3379,62,1
44,80,0,4825,60,3,55,0,3325,60,4
45,81,0,4845,59,3,56,0,3570,63,4
46,82,0,4864,59,3,57,0,3514,61,1
47,83,0,4882,58,2,58,0,3457,59,3
48,84,0,4799,57,2,59,0,3599,61,3
49,85,0,4815,56,4,60,0,3540,59,1
50,86,0,4930,57,3,61,0,3480,57,4
51,87,0,4844,55,1,62,0,3719,59,4
52,88,0,4757,54,3,63,0,3657,58,1
53,89,0,4869,54,4,64,0,3594,56,3
54,90,0,4880,54,2,65,0,3730,57,3
55,91,0,4790,52,2,66,0,3665,55,1
56,92,0,4799,52,3,67,0,3599,53,4
57,93,0,4807,51,3,68,0,3832,56,4
58,94,0,4814,51,3,69,0,3764,54,1
59,95,0,4820,50,2,70,0,3695,52,3
60,96,0,4725,49,2,71,0,3825,53,3
61,97,0,4729,48,4,72,0,3754,52,1
62,98,0,4832,49,3,73,0,3682,50,4
63,99,0,4734,47,1,74,0,3909,52,4
64,100,0,4635,46,3,75,0,3835,51,1
65,101,0,4735,46,4,76,0,3760,49,3
66,102,0,4734,46,2,77,0,3884,50,3
67,103,0,4632,44,2,78,0,3807,48,1
68,104,0,4629,44,3,79,0,3729,47,4
69,105,0,4625,44,3,80,0,3950,49,4
70,106,0,4620,43,3,81,0,3870,47,1
71,107,0,4614,43,2,82,0,3789,46,3
72,108,0,4507,41,2,83,0,3907,47,3
73,109,0,4499,41,4,84,0,3824,45,1
74,110,0,4590,41,3,85,0,3740,44,4
75,111,0,4480,40,1,86,0,3955,45,4
76,112,0,4369,39,3,87,0,3869,44,1
77,113,0,4457,39,4,88,0,3782,42,3
78,114,0,4444,38,2,89,0,3894,43,3
79,115,0,4330,37,2,90,0,3805,42,1
80,116,0,4315,37,3,91,0,3715,40,4
81,117,0,4299,36,3,92,0,3924,42,4
82,118,0,4282,36,3,93,0,3832,41,1
83,119,0,4264,35,2,94,0,3739,39,3
84,120,0,4145,34,2,95,0,3845,40,3
85,121,0,4125,34,4,96,0,3750,39,1
86,122,0,4204,34,3,97,0,3654,37,4
87,123,0,4082,33,1,98,0,3857,39,4
88,124,0,3959,31,3,99,0,3759,37,1
89,125,0,4035,32,4,100,0,3660,36,3
90,126,0,4010,31,2,101,0,3760,37,3
91,127,0,3884,30,2,102,0,3659,35,1
92,128,0,3857,30,3,103,0,3557,34,4
93,129,0,3829,29,3,104,0,3754,36,4
94,130,0,3800,29,3,105,0,3650,34,1
95,131,0,3770,28,2,106,0,3545,33,3
96,132,0,3639,27,2,107,0,3639,34,3
97,133,0,3607,27,4,108,0,3532,32,1
98,134,0,3674,27,3,109,0,3424,31,4
99,135,0,3540,26,1,110,0,3615,32,4
100,135,0,3405,25,2,111,0,3505,31,1
101,135,0,3470,25,3,112,0,3394,30,3
102,135,0,3435,25,1,113,0,3482,30,3
103,135,0,3300,24,1,114,0,3369,29,1
104,135,0,3265,24,2,115,0,3255,28,4
105,135,0,3230,23,2,116,0,3440,29,4
106,135,0,3195,23,1,117,0,3324,28,1
107,135,0,3060,22,1,118,0,3207,27,3
108,135,0,3025,22,2,119,0,3289,27,3
109,135,0,2990,22,2,120,0,3170,26,1
110,135,0,2955,21,2,120,0,3050,25,3
111,135,0,2920,21,1,120,0,3230,26,3
112,135,0,2785,20,1,120,0,3110,25,0
113,135,0,2750,20,2,120,0,2990,24,2
114,135,0,2715,20,2,120,0,3070,25,2
115,135,0,2680,19,1,120,0,2950,24,0
116,135,0,2545,18,1,120,0,2830,23,2
117,135,0,2510,18,3,120,0,2910,24,3
118,135,0,2575,19,2,120,0,2890,24,1
119,135,0,2440,18,0,120,0,2770,23,0
120,135,0,2305,17,2,120,0,2650,22,2
121,135,0,2370,17,3,120,0,2730,22,2
122,135,0,2335,17,1,120,0,2610,21,0
123,135,0,2200,16,1,120,0,2490,20,3
124,135,0,2165,16,2,120,0,2670,22,3
125,135,0,2130,15,2,120,0,2550,21,0
126,135,0,2095,15,1,120,0,2430,20,1
127,135,0,1960,14,1,120,0,2410,20,2
128,135,0,1925,14,2,120,0,2390,19,1
129,135,0,1890,14,2,120,0,2270,18,1
130,135,0,1855,13,2,120,0,2250,18,3
131,135,0,1820,13,1,120,0,2330,19,2
132,135,0,1685,12,1,120,0,2210,18,0
133,135,0,1650,12,2,120,0,2090,17,3
134,135,0,1615,11,2,120,0,2270,18,3
135,134,1,1580,11,1,120,0,2150,17,0
136,133,2,1446,10,1,120,0,2030,16,2
137,132,3,1313,9,1,120,0,2110,17,2
138,131,4,1281,9,1,120,0,1990,16,0
139,130,5,1150,8,0,120,0,1870,15,2
140,129,6,1020,7,2,120,0,1950,16,3
141,128,7,991,7,2,120,0,1930,16,1
142,127,8,963,7,1,120,0,1810,15,0
143,126,9,836,6,0,120,0,1690,14,2
144,125,10,710,5,0,120,0,1770,14,2
145,124,11,585,4,0,120,0,1650,13,0
146,123,12,461,3,0,120,0,1530,12,3
147,122,13,338,2,0,120,0,1710,14,3
148,121,14,216,1,0,120,0,1590,13,0
149,120,15,95,0,0,120,0,1470,12,1
150,0,135,-25,0,0,120,0,1450,12,2
151,0,135,-25,0,0,120,0,1430,11,1
152,0,135,-25,0,0,119,1,1310,11,1
153,0,135,-25,0,0,118,2,1291,10,3
154,0,135,-25,0,0,117,3,1273,10,1
