timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,5
2,20,0,1960,98,5
3,20,0,1940,97,5
4,20,0,1920,96,5
5,20,0,1900,95,5
6,20,0,1880,94,6
7,20,0,1960,98,6
8,20,0,1940,97,6
9,20,0,1920,96,6
10,20,1,1900,95,10
11,14,8,2170,155,4
12,11,12,2146,195,3
13,11,13,2325,211,3
14,9,16,2294,254,2
15,9,17,2365,262,2
16,8,19,2336,292,4
17,8,20,2608,326,4
18,5,24,2580,516,4
19,5,25,2855,571,4
20,2,29,2830,1415,1
21,2,30,2808,1404,1
22,2,31,2786,1393,2
23,2,32,2864,1432,2
24,1,34,2842,2842,1
25,1,35,2821,2821,1
26,1,36,2800,2800,1
27,1,37,2779,2779,1
28,1,38,2758,2758,1
29,1,39,2737,2737,1
30,1,40,2716,2716,1
31,1,41,2695,2695,1
32,1,42,2674,2674,1
33,1,43,2653,2653,1
34,1,44,2632,2632,1
35,1,45,2611,2611,1
36,1,46,2590,2590,1
37,1,47,2569,2569,1
38,1,48,2548,2548,1
39,1,49,2527,2527,1
40,1,50,2506,2506,1
41,1,51,2485,2485,1
42,1,52,2464,2464,1
43,1,53,2443,2443,1
44,1,54,2422,2422,1
45,1,55,2401,2401,1
46,1,56,2380,2380,1
47,1,57,2359,2359,1
48,1,58,2338,2338,1
49,1,59,2317,2317,1
50,1,60,2296,2296,1
51,1,61,2275,2275,1
52,1,62,2254,2254,1
53,1,63,2243,2243,1
54,1,64,2232,2232,1
55,1,65,2221,2221,1
56,1,66,2210,2210,1
57,1,67,2199,2199,1
58,1,68,2188,2188,1
59,1,69,2177,2177,1
60,1,70,2166,2166,1
61,1,71,2155,2155,1
62,1,72,2144,2144,1
63,1,73,2133,2133,1
64,1,74,2122,2122,1
65,1,75,2111,2111,1
66,1,76,2100,2100,1
67,1,77,2089,2089,1
68,1,78,2078,2078,1
69,1,79,2067,2067,1
70,1,80,2056,2056,1
71,1,81,2045,2045,1
72,1,82,2034,2034,1
73,1,83,2023,2023,1
74,1,84,2002,2002,1
75,1,85,1981,1981,1
76,1,86,1960,1960,1
77,1,87,1939,1939,1
78,1,88,1918,1918,1
79,1,89,1897,1897,1
80,1,90,1876,1876,1
81,1,91,1855,1855,1
82,1,92,1834,1834,1
83,1,93,1813,1813,1
84,1,94,1792,1792,1
85,1,95,1771,1771,1
86,1,96,1750,1750,1
87,1,97,1729,1729,1
88,1,98,1708,1708,1
89,1,99,1687,1687,1
90,1,100,1666,1666,1
91,1,101,1645,1645,1
92,1,102,1624,1624,1
93,1,103,1603,1603,1
94,1,104,1582,1582,1
95,1,105,1561,1561,1
96,1,106,1540,1540,1
97,1,107,1519,1519,1
98,1,108,1498,1498,1
99,1,109,1477,1477,1
100,1,110,1456,1456,1
101,1,111,1435,1435,1
102,1,112,1414,1414,1
103,1,113,1393,1393,1
104,1,114,1372,1372,1
105,1,115,1351,1351,1
106,1,116,1320,1320,1
107,1,117,1289,1289,1
108,1,118,1258,1258,1
109,1,119,1227,1227,1
110,1,120,1196,1196,1
111,1,121,1165,1165,1
112,1,122,1134,1134,1
113,1,123,1093,1093,1
114,1,124,1052,1052,1
115,1,125,1011,1011,1
116,1,126,970,970,1
117,1,127,929,929,1
118,1,128,888,888,1
119,1,129,847,847,1
120,1,130,806,806,1
121,1,131,765,765,1
122,1,132,724,724,1
123,1,133,683,683,1
124,1,134,642,642,1
125,1,135,601,601,1
126,1,136,560,560,1
127,1,137,519,519,1
128,1,138,478,478,1
129,1,139,437,437,1
130,1,140,396,396,1
131,1,141,355,355,1
132,1,142,314,314,1
133,1,143,273,273,1
134,1,144,232,232,1
135,1,145,191,191,1
136,1,146,150,150,1
137,1,147,109,109,1
138,1,148,68,68,1
139,1,149,27,27,1
140,1,150,-14,-14,1
141,0,151,-15,0,1
142,0,151,-15,0,1
143,0,151,-15,0,1
144,0,151,-15,0,1
145,0,151,-15,0,1
