timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,0
2,20,0,1960,98,0
3,20,0,1940,97,0
4,20,0,1920,96,0
5,20,0,1900,95,0
6,20,0,1880,94,1
7,20,0,1960,98,1
8,20,0,1940,97,0
9,20,0,1920,96,0
10,21,0,1900,90,1
11,22,0,1879,85,1
12,23,0,1857,80,1
13,24,0,1834,76,3
14,25,0,2010,80,4
15,26,0,2085,80,2
16,27,0,2059,76,1
17,28,0,2032,72,2
18,29,0,2104,72,4
19,30,0,2275,75,3
20,31,0,2245,72,2
21,32,0,2314,72,3
22,33,0,2382,72,3
23,34,0,2449,72,4
24,35,0,2615,74,3
25,36,0,2580,71,4
26,37,0,2844,76,5
27,38,0,2907,76,2
28,39,0,2869,73,2
29,40,0,2930,73,4
30,41,0,3090,75,5
31,42,0,3249,77,3
32,43,0,3207,74,2
33,44,0,3264,74,5
34,45,0,3520,78,5
35,46,0,3575,77,4
36,47,0,3729,79,4
37,48,0,3782,78,4
38,49,0,3934,80,5
39,50,0,4085,81,3
40,51,0,4035,79,3
41,52,0,4184,80,5
42,53,0,4332,81,4
43,54,0,4379,81,2
44,55,0,4325,78,3
45,56,0,4470,79,6
46,57,0,4714,82,5
47,58,0,4757,82,3
48,59,0,4799,81,5
49,60,0,5040,84,5
50,61,0,5080,83,3
51,62,0,5119,82,3
52,63,0,5157,81,4
53,64,0,5294,82,6
54,65,0,5530,85,6
55,66,0,5665,85,3
56,67,0,5599,83,4
57,68,0,5832,85,8
58,69,0,6164,89,6
59,70,0,6195,88,4
60,71,0,6325,89,4
61,72,0,6354,88,3
62,73,0,6382,87,4
63,74,0,6509,87,5
64,75,0,6635,88,5
65,76,0,6760,88,4
66,77,0,6784,88,4
67,78,0,6907,88,4
68,79,0,6929,87,2
69,80,0,6850,85,6
70,81,0,7270,89,9
71,82,0,7489,91,4
72,83,0,7407,89,3
73,84,0,7524,89,5
74,85,0,7640,89,3
75,86,0,7555,87,3
76,87,0,7669,88,3
77,88,0,7582,86,2
78,89,0,7594,85,5
79,90,0,7805,86,6
80,91,0,7915,86,3
81,92,0,7824,85,1
82,93,0,7732,83,3
83,94,0,7839,83,5
84,95,0,7945,83,5
85,96,0,8050,83,4
86,97,0,8054,83,4
87,98,0,8157,83,5
88,99,0,8259,83,4
89,100,0,8260,82,4
90,101,0,8360,82,6
91,102,0,8559,83,7
92,103,0,8757,85,4
93,104,0,8654,83,4
94,105,0,8850,84,7
95,106,0,9045,85,6
96,107,0,9139,85,5
97,108,0,9232,85,4
98,109,0,9224,84,4
99,110,0,9315,84,5
100,111,0,9405,84,5
101,112,0,9494,84,4
102,113,0,9482,83,5
103,114,0,9669,84,6
104,115,0,9755,84,5
105,116,0,9840,84,5
106,117,0,9924,84,5
107,118,0,10007,84,4
108,119,0,9989,83,5
109,120,0,10170,84,5
110,121,0,10150,83,4
111,122,0,10229,83,5
112,123,0,10307,83,5
113,124,0,10384,83,4
114,125,0,10360,82,5
115,126,0,10535,83,5
116,127,0,10509,82,4
117,128,0,10582,82,5
118,129,0,10654,82,5
119,130,0,10725,82,4
120,131,0,10695,81,5
121,132,0,10864,82,5
122,133,0,10832,81,4
123,134,0,10899,81,5
124,135,0,10965,81,5
125,136,0,11030,81,4
126,137,0,10994,80,5
127,138,0,11157,80,5
128,139,0,11119,79,4
129,140,0,11180,79,5
130,141,0,11240,79,5
131,142,0,11299,79,4
132,143,0,11257,78,5
133,144,0,11414,79,5
134,145,0,11370,78,4
135,146,0,11425,78,5
136,147,0,11479,78,5
137,148,0,11532,77,4
138,149,0,11484,77,5
139,150,0,11635,77,5
140,151,0,11585,76,4
141,152,0,11634,76,5
142,153,0,11682,76,5
143,154,0,11729,76,4
144,155,0,11675,75,5
145,156,0,11820,75,5
146,157,0,11764,74,4
147,158,0,11807,74,5
148,159,0,11849,74,5
149,160,0,11890,74,4
150,161,0,11830,73,5
151,162,0,11969,73,5
152,163,0,11907,73,4
153,164,0,11944,72,5
154,165,0,11980,72,5
155,166,0,12015,72,4
156,167,0,11949,71,5
157,168,0,12082,71,5
158,169,0,12014,71,4
159,170,0,12045,70,5
160,171,0,12075,70,5
161,172,0,12104,70,4
162,173,0,12032,69,5
163,174,0,12159,69,5
164,175,0,12085,69,4
165,176,0,12110,68,5
166,177,0,12134,68,5
167,178,0,12157,68,4
168,179,0,12079,67,5
169,180,0,12200,67,5
170,181,0,12120,66,4
171,182,0,12139,66,5
172,183,0,12157,66,5
173,184,0,12174,66,4
174,185,0,12090,65,5
175,186,0,12205,65,5
176,187,0,12119,64,4
177,188,0,12132,64,5
178,189,0,12144,64,5
179,190,0,12155,63,4
180,191,0,12065,63,5
181,192,0,12174,63,5
182,193,0,12082,62,4
183,194,0,12089,62,5
184,195,0,12095,62,5
185,196,0,12100,61,4
186,197,0,12004,60,5
187,198,0,12107,61,5
188,199,0,12009,60,4
189,200,0,12010,60,5
190,201,0,12010,59,5
191,202,0,12009,59,4
192,203,0,11907,58,5
193,204,0,12004,58,5
194,205,0,11900,58,4
195,206,0,11895,57,5
196,207,0,11889,57,5
197,208,0,11882,57,4
198,209,0,11774,56,4
199,210,0,11765,56,4
200,211,0,11655,55,4
201,212,0,11644,54,4
202,213,0,11532,54,4
203,214,0,11519,53,4
204,215,0,11405,53,4
205,216,0,11390,52,4
206,217,0,11274,51,4
207,218,0,11257,51,4
208,219,0,11139,50,4
209,220,0,11120,50,4
210,221,0,11000,49,4
211,222,0,10979,49,4
212,223,0,10857,48,4
213,224,0,10834,48,4
214,225,0,10710,47,4
215,226,0,10685,47,4
216,227,0,10559,46,4
217,228,0,10532,46,4
218,229,0,10404,45,4
219,230,0,10375,45,4
220,231,0,10245,44,4
221,232,0,10214,44,4
222,233,0,10082,43,4
223,234,0,10049,42,4
