timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,0
2,20,0,1960,98,0
3,20,0,1940,97,0
4,20,0,1920,96,0
5,20,0,1900,95,0
6,20,0,1880,94,1
7,20,0,1960,98,1
8,20,0,1940,97,0
9,20,0,1920,96,0
10,21,0,1900,90,5
11,22,0,2279,103,5
12,23,0,2257,98,2
13,24,0,2334,97,3
14,25,0,2410,96,3
15,26,0,2485,95,2
16,27,0,2459,91,4
17,28,0,2732,97,4
18,29,0,2704,93,2
19,30,0,2775,92,3
20,31,0,2845,91,6
21,32,0,3214,100,6
22,33,0,3282,99,4
23,34,0,3449,101,4
24,35,0,3515,100,2
25,36,0,3480,96,1
26,37,0,3444,93,3
27,38,0,3607,94,5
28,39,0,3769,96,3
29,40,0,3730,93,4
30,41,0,3990,97,8
31,42,0,4349,103,6
32,43,0,4407,102,3
33,44,0,4464,101,2
34,45,0,4420,98,2
35,46,0,4475,97,2
36,47,0,4429,94,2
37,48,0,4482,93,4
38,49,0,4634,94,7
39,50,0,4985,99,7
40,51,0,5135,100,6
41,52,0,5384,103,5
42,53,0,5432,102,2
43,54,0,5379,99,4
44,55,0,5625,102,4
45,56,0,5570,99,3
46,57,0,5714,100,4
47,58,0,5757,99,5
48,59,0,5999,101,7
49,60,0,6240,104,5
50,61,0,6280,102,2
51,62,0,6219,100,5
52,63,0,6557,104,6
53,64,0,6594,103,7
54,65,0,7030,108,6
55,66,0,6965,105,2
56,67,0,6999,104,4
57,68,0,7032,103,7
58,69,0,7164,103,10
59,70,0,7295,104,13
60,70,1,7425,106,15
61,57,15,7355,129,5
62,56,17,7498,133,5
63,53,21,7442,140,4
64,52,23,7489,144,4
65,50,26,7437,148,3
66,49,28,7387,150,3
67,48,30,7338,152,3
68,47,32,7290,155,4
69,46,34,7343,159,5
70,44,37,7397,168,5
71,42,40,7453,177,4
72,40,43,7411,185,6
73,39,45,7671,196,5
74,35,50,7532,215,1
75,35,51,7397,211,1
76,35,52,7262,207,8
77,35,53,7827,223,9
78,28,61,7792,278,5
79,27,63,7964,294,5
80,24,67,7937,330,3
81,23,69,7913,344,3
82,22,71,7890,358,4
83,21,73,7968,379,3
84,20,75,7947,397,6
85,21,75,8327,396,7
86,22,75,8506,386,4
87,23,75,8584,373,2
88,24,75,8561,356,3
89,25,75,8737,349,4
90,26,75,8812,338,3
91,27,75,8886,329,2
92,28,75,8859,316,2
93,29,75,8931,307,2
94,30,75,8902,296,2
95,31,75,8972,289,4
96,32,75,9141,285,3
97,33,75,9109,276,2
98,34,75,9176,269,4
99,35,75,9342,266,6
100,36,75,9607,266,4
101,37,75,9571,258,2
102,38,75,9634,253,3
103,39,75,9696,248,4
104,40,75,9857,246,3
105,41,75,9817,239,3
106,42,75,9976,237,6
107,43,75,10234,238,6
108,44,75,10391,236,3
109,45,75,10347,229,2
110,46,75,10402,226,2
111,47,75,10356,220,2
112,48,75,10409,216,6
113,49,75,10761,219,6
114,50,75,10812,216,5
115,51,75,11062,216,6
116,52,75,11211,215,3
117,53,75,11159,210,3
118,54,75,11306,209,5
119,55,75,11452,208,3
120,56,75,11397,203,2
121,57,75,11441,200,6
122,58,75,11784,203,5
123,59,75,11726,198,5
124,60,75,12067,201,6
125,61,75,12107,198,2
126,62,75,12046,194,4
127,63,75,12284,194,4
128,64,75,12221,190,3
129,65,75,12357,190,6
130,66,75,12592,190,7
131,67,75,12826,191,4
132,68,75,12759,187,6
133,69,75,13191,191,7
134,70,75,13222,188,4
135,71,75,13352,188,4
136,72,75,13381,185,2
137,73,75,13309,182,2
138,74,75,13336,180,2
139,75,75,13262,176,5
140,76,75,13587,178,10
141,77,75,14011,181,7
142,78,75,14034,179,4
143,79,75,14156,179,3
144,80,75,14077,175,1
145,81,75,13997,172,2
146,82,75,14016,170,5
147,83,75,14234,171,7
148,84,75,14451,172,9
149,85,75,14867,174,8
150,86,75,14982,174,5
151,87,75,15096,173,5
152,88,75,15209,172,5
153,89,75,15321,172,5
154,90,75,15432,171,7
155,91,75,15742,172,8
156,92,75,15951,173,5
157,93,75,15959,171,5
158,94,75,16166,171,5
159,95,75,16172,170,3
160,96,75,16177,168,3
161,97,75,16181,166,5
162,98,75,16384,167,4
163,99,75,16286,164,4
164,100,75,16487,164,9
165,101,75,16887,167,9
166,102,75,17086,167,5
167,103,75,17084,165,5
168,104,75,17281,166,5
169,105,75,17277,164,5
170,106,75,17472,164,6
171,107,75,17566,164,4
172,108,75,17559,162,5
173,109,75,17751,162,7
174,109,76,17942,164,6
175,110,76,18033,163,6
176,111,76,18223,164,7
177,112,76,18412,164,6
178,113,76,18500,163,6
179,114,76,18687,163,6
180,115,76,18773,163,6
181,116,76,18958,163,7
182,117,76,19142,163,7
183,117,77,19325,165,5
184,118,77,19308,163,4
185,119,77,19390,162,3
186,120,77,19271,160,2
187,121,77,19251,159,9
188,122,77,19830,162,10
189,123,77,19908,161,9
190,124,77,20385,164,9
191,125,77,20461,163,4
192,126,77,20436,162,4
193,127,77,20510,161,8
194,128,77,20883,163,7
195,129,77,20855,161,5
196,130,77,21026,161,5
197,131,77,20996,160,4
198,132,77,21065,159,4
199,133,77,21033,158,6
200,134,77,21300,158,9
201,135,77,21566,159,9
202,136,77,21831,160,9
203,137,77,22095,161,5
204,138,77,21958,159,5
205,139,77,22220,159,7
206,140,77,22281,159,6
207,141,77,22441,159,6
208,142,77,22500,158,4
209,143,77,22458,157,5
210,144,77,22615,157,7
211,145,77,22771,157,11
212,146,77,23326,159,10
213,147,77,23380,159,6
214,148,77,23533,159,8
215,149,77,23785,159,8
216,150,77,23936,159,8
217,151,77,24186,160,6
218,152,77,24135,158,3
219,153,77,24083,157,4
220,154,77,24130,156,7
221,155,77,24376,157,8
222,156,77,24521,157,9
223,157,77,24865,158,7
