timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,49
2,50,0,4900,98,48
3,50,0,4850,97,47
4,50,0,4800,96,46
5,50,0,4750,95,45
6,50,0,4700,94,44
7,50,0,4650,93,43
8,50,0,4600,92,42
9,50,0,4550,91,41
10,50,0,4500,90,40
11,50,0,4450,89,39
12,50,0,4400,88,38
13,50,0,4350,87,37
14,50,0,4300,86,36
15,50,0,4250,85,35
16,50,0,4200,84,34
17,50,0,4150,83,33
18,50,0,4100,82,32
19,50,0,4050,81,31
20,50,0,4000,80,30
21,50,0,3950,79,29
22,50,0,3900,78,28
23,50,0,3850,77,27
24,50,0,3800,76,26
25,50,0,3750,75,25
26,50,0,3700,74,24
27,50,0,3650,73,23
28,50,0,3600,72,22
29,50,0,3550,71,21
30,50,0,3500,70,20
31,50,0,3450,69,19
32,50,0,3400,68,18
33,50,0,3350,67,17
34,50,0,3300,66,16
35,50,0,3250,65,15
36,50,0,3200,64,14
37,50,0,3150,63,13
38,50,0,3100,62,12
39,50,0,3050,61,11
40,50,0,3000,60,10
41,50,0,2950,59,9
42,50,0,2900,58,8
43,50,0,2850,57,7
44,50,0,2800,56,6
45,50,0,2750,55,5
46,50,0,2700,54,4
47,50,0,2650,53,3
48,50,0,2600,52,2
49,50,0,2550,51,1
50,50,0,2500,50,0
51,50,0,2450,49,0
52,50,0,2400,48,0
53,50,0,2350,47,0
54,50,0,2300,46,0
55,50,0,2250,45,0
56,50,0,2200,44,0
57,50,0,2150,43,0
58,50,0,2100,42,0
59,50,0,2050,41,0
60,50,0,2000,40,0
61,50,0,1950,39,0
62,50,0,1900,38,0
63,50,0,1850,37,0
64,50,0,1800,36,0
65,50,0,1750,35,0
66,50,0,1700,34,0
67,50,0,1650,33,0
68,50,0,1600,32,0
69,50,0,1550,31,0
70,50,0,1500,30,0
71,50,0,1450,29,0
72,50,0,1400,28,0
73,50,0,1350,27,0
74,50,0,1300,26,0
75,50,0,1250,25,0
76,50,0,1200,24,0
77,50,0,1150,23,0
78,50,0,1100,22,0
79,50,0,1050,21,0
80,49,1,1000,20,0
81,48,2,951,19,0
82,47,3,903,19,0
83,46,4,856,18,0
84,45,5,810,18,0
85,44,6,765,17,0
86,43,7,721,16,0
87,42,8,678,16,0
88,41,9,636,15,0
89,40,10,595,14,0
90,39,11,555,14,0
91,38,12,516,13,0
92,37,13,478,12,0
93,36,14,441,12,0
94,35,15,405,11,0
95,34,16,370,10,0
96,33,17,336,10,0
97,32,18,303,9,0
98,31,19,271,8,0
99,30,20,240,8,0
100,29,21,210,7,0
101,28,22,181,6,0
102,27,23,153,5,0
103,26,24,126,4,0
104,25,25,100,4,1
105,24,26,175,7,1
106,23,27,151,6,0
107,22,28,128,5,0
108,21,29,106,5,0
109,20,30,85,4,0
110,19,31,65,3,0
111,18,32,46,2,0
112,17,33,28,1,0
113,16,34,11,0,0
114,0,50,-5,0,0
115,0,50,-5,0,0
116,0,50,-5,0,0
117,0,50,-5,0,0
118,0,50,-5,0,0
