timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,8
2,50,0,4900,98,8
3,50,0,4850,97,8
4,50,0,4800,96,8
5,50,0,4750,95,8
6,50,0,4700,94,8
7,50,0,4650,93,8
8,50,0,4600,92,8
9,50,0,4550,91,8
10,50,0,4500,90,8
11,50,0,4450,89,8
12,50,0,4400,88,8
13,50,0,4350,87,8
14,50,0,4300,86,8
15,50,0,4250,85,8
16,50,0,4200,84,8
17,50,0,4150,83,8
18,50,0,4100,82,8
19,50,0,4050,81,8
20,50,0,4000,80,8
21,50,0,3950,79,8
22,50,0,3900,78,8
23,50,0,3850,77,8
24,50,0,3800,76,8
25,50,0,3750,75,8
26,50,0,3700,74,8
27,50,0,3650,73,8
28,50,0,3600,72,8
29,50,0,3550,71,8
30,50,0,3500,70,8
31,50,0,3450,69,8
32,50,0,3400,68,8
33,50,0,3350,67,8
34,50,0,3300,66,9
35,50,0,3350,67,8
36,50,0,3300,66,8
37,50,0,3250,65,8
38,50,0,3200,64,8
39,50,0,3150,63,8
40,50,0,3100,62,8
41,50,0,3050,61,8
42,50,0,3000,60,9
43,50,0,3050,61,8
44,50,0,3000,60,8
45,50,0,2950,59,8
46,50,0,2900,58,8
47,50,0,2850,57,8
48,50,0,2800,56,9
49,50,0,2850,57,8
50,50,0,2800,56,9
51,50,0,2850,57,8
52,50,0,2800,56,8
53,50,0,2750,55,8
54,50,0,2700,54,8
55,50,0,2650,53,8
56,50,0,2600,52,8
57,50,0,2550,51,8
58,50,0,2500,50,9
59,50,0,2550,51,8
60,50,0,2500,50,8
61,50,0,2450,49,8
62,50,0,2400,48,9
63,50,0,2450,49,8
64,50,0,2400,48,8
65,50,0,2350,47,8
66,50,0,2300,46,9
67,50,0,2350,47,9
68,50,0,2400,48,9
69,50,0,2350,47,8
70,50,0,2300,46,9
71,50,0,2350,47,8
72,50,0,2300,46,9
73,50,0,2350,47,8
74,50,0,2300,46,9
75,50,0,2350,47,8
76,50,0,2300,46,8
77,50,0,2250,45,8
78,50,0,2200,44,8
79,50,0,2150,43,9
80,50,0,2200,44,9
81,50,0,2250,45,8
82,50,0,2200,44,9
83,50,0,2250,45,8
84,50,0,2200,44,8
85,50,0,2150,43,8
86,50,0,2100,42,8
87,50,0,2050,41,8
88,50,0,2000,40,8
89,50,0,1950,39,8
90,50,0,1900,38,8
91,50,0,1850,37,8
92,50,0,1800,36,8
93,50,0,1750,35,8
94,50,0,1700,34,9
95,50,0,1750,35,8
96,50,0,1700,34,8
97,50,0,1650,33,8
98,50,0,1600,32,8
99,50,0,1550,31,8
100,50,0,1500,30,9
101,50,0,1550,31,8
102,50,0,1500,30,8
103,50,0,1450,29,8
104,50,0,1400,28,5
105,50,0,1550,31,4
106,50,0,1500,30,4
107,50,0,1450,29,4
108,50,0,1400,28,3
109,50,0,1350,27,3
110,50,0,1300,26,4
111,50,0,1350,27,3
112,50,0,1300,26,3
113,50,0,1250,25,3
114,50,0,1200,24,3
115,50,0,1150,23,3
116,49,1,1100,22,2
117,48,2,1051,21,1
118,47,3,1003,21,0
119,46,4,956,20,0
120,45,5,910,20,0
121,44,6,865,19,0
122,43,7,821,19,0
123,42,8,778,18,0
124,41,9,736,17,1
125,40,10,795,19,1
126,39,11,755,19,0
127,38,12,716,18,0
128,37,13,678,18,0
129,36,14,641,17,0
130,35,15,605,17,1
131,34,16,670,19,1
132,33,17,636,19,0
133,32,18,603,18,0
134,31,19,571,18,0
135,30,20,540,18,0
136,29,21,510,17,0
137,28,22,481,17,1
138,27,23,553,20,2
139,26,24,626,24,1
140,25,25,600,24,0
141,24,26,575,23,1
142,23,27,651,28,1
143,22,28,628,28,0
144,21,29,606,28,0
145,20,30,585,29,2
146,19,31,765,40,4
147,19,31,946,49,4
148,19,31,927,48,3
149,19,31,908,47,3
150,19,31,889,46,3
151,19,31,870,45,3
152,19,31,851,44,3
153,19,31,832,43,3
154,19,31,813,42,3
155,19,31,794,41,3
156,19,31,775,40,3
157,19,31,756,39,3
158,19,31,737,38,3
159,19,31,718,37,3
160,19,31,699,36,3
161,19,31,680,35,3
162,19,31,661,34,3
163,19,31,642,33,3
164,19,31,623,32,3
165,19,31,604,31,3
166,19,31,585,30,3
167,19,31,566,29,3
168,19,31,547,28,1
169,19,31,528,27,1
170,19,31,509,26,2
171,19,31,590,31,1
172,19,31,571,30,1
173,19,31,552,29,1
174,19,31,533,28,2
175,19,31,614,32,1
176,19,31,595,31,1
177,19,31,576,30,1
178,19,31,557,29,1
179,19,31,538,28,1
180,19,31,519,27,1
181,19,31,500,26,1
182,19,31,481,25,1
183,19,31,462,24,1
184,19,31,443,23,1
185,19,31,424,22,1
186,19,31,405,21,1
187,18,32,386,21,0
188,17,33,368,21,0
189,16,34,351,21,1
190,15,35,435,29,1
191,14,36,420,30,0
192,13,37,406,31,0
193,13,37,393,30,0
194,13,37,380,29,0
195,13,37,367,28,0
196,13,37,354,27,0
197,13,37,341,26,0
198,13,37,328,25,0
199,13,37,315,24,0
200,13,37,302,23,0
201,13,37,289,22,0
202,13,37,276,21,0
203,12,38,263,21,0
204,11,39,251,22,0
205,10,40,240,24,0
206,9,41,230,25,0
207,8,42,221,27,0
208,7,43,213,30,1
209,6,44,306,51,1
210,6,44,300,50,1
211,6,44,294,49,1
212,6,44,288,48,1
213,6,44,282,47,1
214,6,44,276,46,1
215,6,44,270,45,1
216,6,44,264,44,1
217,6,44,258,43,1
218,6,44,252,42,1
219,6,44,246,41,1
220,6,44,240,40,1
221,6,44,234,39,1
222,6,44,228,38,1
223,6,44,222,37,1
224,6,44,216,36,1
225,6,44,210,35,1
226,6,44,204,34,1
227,6,44,198,33,1
228,6,44,192,32,1
229,6,44,186,31,1
230,6,44,180,30,1
231,6,44,174,29,1
232,6,44,168,28,1
233,6,44,162,27,2
234,6,44,256,42,1
235,6,44,250,41,1
236,6,44,244,40,1
237,6,44,238,39,1
238,6,44,232,38,1
239,6,44,226,37,1
240,6,44,220,36,1
241,6,44,214,35,1
242,6,44,208,34,1
243,6,44,202,33,1
244,6,44,196,32,1
245,6,44,190,31,1
246,6,44,184,30,1
247,6,44,178,29,1
248,6,44,172,28,1
249,6,44,166,27,1
250,6,44,160,26,1
251,6,44,154,25,1
252,6,44,148,24,1
253,6,44,142,23,1
254,6,44,136,22,1
255,6,44,130,21,1
256,5,45,124,24,0
257,4,46,119,29,0
258,3,47,115,38,0
259,3,47,112,37,0
260,3,47,109,36,0
261,3,47,106,35,0
262,3,47,103,34,0
263,3,47,100,33,0
264,3,47,97,32,0
265,3,47,94,31,0
266,3,47,91,30,0
267,3,47,88,29,0
268,3,47,85,28,0
269,3,47,82,27,0
270,3,47,79,26,0
271,3,47,76,25,0
272,3,47,73,24,0
273,3,47,70,23,0
274,3,47,67,22,0
275,3,47,64,21,0
276,2,48,61,30,0
277,1,49,59,59,0
278,1,49,58,58,0
279,1,49,57,57,0
280,1,49,56,56,0
281,1,49,55,55,0
282,1,49,54,54,0
283,1,49,53,53,0
284,1,49,52,52,0
285,1,49,51,51,0
286,1,49,50,50,0
287,1,49,49,49,0
288,1,49,48,48,0
289,1,49,47,47,0
290,1,49,46,46,0
291,1,49,45,45,0
292,1,49,44,44,0
293,1,49,43,43,0
294,1,49,42,42,0
295,1,49,41,41,0
296,1,49,40,40,0
297,1,49,39,39,0
298,1,49,38,38,0
299,1,49,37,37,0
300,1,49,36,36,0
301,1,49,35,35,0
302,1,49,34,34,0
303,1,49,33,33,0
304,1,49,32,32,0
305,1,49,31,31,0
306,1,49,30,30,0
307,1,49,29,29,0
308,1,49,28,28,0
309,1,49,27,27,0
310,1,49,26,26,0
311,1,49,25,25,0
312,1,49,24,24,0
313,1,49,23,23,0
314,1,49,22,22,0
315,1,49,21,21,0
316,0,50,20,0,0
317,0,50,20,0,0
318,0,50,20,0,0
319,0,50,20,0,0
320,0,50,20,0,0
321,0,50,20,0,0
