timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,8
2,50,0,4900,98,8
3,50,0,4850,97,8
4,50,0,4800,96,8
5,50,0,4750,95,8
6,50,0,4700,94,8
7,50,0,4650,93,8
8,50,0,4600,92,8
9,50,0,4550,91,8
10,50,0,4500,90,8
11,50,0,4450,89,8
12,50,0,4400,88,8
13,50,0,4350,87,8
14,50,0,4300,86,8
15,50,0,4250,85,8
16,50,0,4200,84,8
17,50,0,4150,83,8
18,50,0,4100,82,8
19,50,0,4050,81,8
20,50,0,4000,80,8
21,50,0,3950,79,8
22,50,0,3900,78,8
23,50,0,3850,77,8
24,50,0,3800,76,8
25,50,0,3750,75,8
26,50,0,3700,74,8
27,50,0,3650,73,8
28,50,0,3600,72,8
29,50,0,3550,71,8
30,50,0,3500,70,8
31,50,0,3450,69,8
32,50,0,3400,68,8
33,50,0,3350,67,8
34,50,0,3300,66,8
35,50,0,3250,65,8
36,50,0,3200,64,8
37,50,0,3150,63,8
38,50,0,3100,62,8
39,50,0,3050,61,8
40,50,0,3000,60,8
41,50,0,2950,59,8
42,50,0,2900,58,8
43,50,0,2850,57,8
44,50,0,2800,56,8
45,50,0,2750,55,8
46,50,0,2700,54,8
47,50,0,2650,53,8
48,50,0,2600,52,8
49,50,0,2550,51,8
50,50,0,2500,50,8
51,50,0,2450,49,8
52,50,0,2400,48,8
53,50,0,2350,47,8
54,50,0,2300,46,8
55,50,0,2250,45,8
56,50,0,2200,44,8
57,50,0,2150,43,8
58,50,0,2100,42,8
59,50,0,2050,41,8
60,50,0,2000,40,8
61,50,0,1950,39,8
62,50,0,1900,38,8
63,50,0,1850,37,8
64,50,0,1800,36,8
65,50,0,1750,35,8
66,50,0,1700,34,8
67,50,0,1650,33,8
68,50,0,1600,32,8
69,50,0,1550,31,9
70,50,0,1600,32,8
71,50,0,1550,31,8
72,50,0,1500,30,9
73,50,0,1550,31,9
74,50,0,1500,30,8
75,50,0,1450,29,8
76,50,0,1400,28,3
77,50,0,1350,27,3
78,50,0,1300,26,3
79,50,0,1250,25,3
80,50,0,1200,24,3
81,50,0,1150,23,3
82,50,0,1100,22,3
83,50,0,1050,21,4
84,49,1,1100,22,2
85,48,2,1051,21,1
86,47,3,1003,21,0
87,46,4,956,20,0
88,45,5,910,20,0
89,44,6,865,19,0
90,43,7,821,19,0
91,42,8,778,18,0
92,41,9,736,17,0
93,40,10,695,17,0
94,39,11,655,16,0
95,38,12,616,16,0
96,37,13,578,15,0
97,36,14,541,15,0
98,35,15,505,14,0
99,34,16,470,13,0
100,33,17,436,13,0
101,32,18,403,12,0
102,31,19,371,11,0
103,30,20,340,11,0
104,29,21,310,10,0
105,28,22,281,10,0
106,27,23,253,9,0
107,26,24,226,8,0
108,25,25,200,8,0
109,24,26,175,7,0
110,23,27,151,6,0
111,22,28,128,5,0
112,21,29,106,5,0
113,20,30,85,4,0
114,19,31,65,3,0
115,18,32,46,2,0
116,17,33,28,1,0
117,16,34,11,0,0
118,0,50,-5,0,0
119,0,50,-5,0,0
120,0,50,-5,0,0
121,0,50,-5,0,0
122,0,50,-5,0,0
