timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,0
5,50,0,4750,95,0
6,50,0,4700,94,0
7,50,0,4650,93,0
8,50,0,4600,92,0
9,50,0,4550,91,0
10,50,0,4500,90,0
11,50,0,4450,89,0
12,50,0,4400,88,0
13,50,0,4350,87,0
14,50,0,4300,86,0
15,50,0,4250,85,0
16,50,0,4200,84,0
17,50,0,4150,83,0
18,50,0,4100,82,0
19,50,0,4050,81,0
20,50,0,4000,80,0
21,50,0,3950,79,0
22,50,0,3900,78,0
23,50,0,3850,77,0
24,50,0,3800,76,0
25,50,0,3750,75,0
26,50,0,3700,74,0
27,50,0,3650,73,0
28,50,0,3600,72,0
29,50,0,3550,71,0
30,50,0,3500,70,0
31,50,0,3450,69,0
32,50,0,3400,68,0
33,50,0,3350,67,0
34,50,0,3300,66,1
35,50,0,3350,67,1
36,50,0,3300,66,0
37,50,0,3250,65,0
38,50,0,3200,64,0
39,50,0,3150,63,0
40,50,0,3100,62,0
41,50,0,3050,61,0
42,50,0,3000,60,1
43,50,0,3050,61,1
44,50,0,3000,60,0
45,50,0,2950,59,0
46,50,0,2900,58,0
47,50,0,2850,57,0
48,50,0,2800,56,1
49,50,0,2850,57,1
50,50,0,2800,56,1
51,50,0,2850,57,1
52,50,0,2800,56,0
53,50,0,2750,55,0
54,50,0,2700,54,0
55,50,0,2650,53,0
56,50,0,2600,52,0
57,50,0,2550,51,0
58,50,0,2500,50,1
59,50,0,2550,51,1
60,50,0,2500,50,0
61,50,0,2450,49,0
62,50,0,2400,48,1
63,50,0,2450,49,1
64,50,0,2400,48,0
65,50,0,2350,47,0
66,50,0,2300,46,1
67,50,0,2350,47,2
68,50,0,2400,48,1
69,50,0,2350,47,1
70,50,0,2400,48,2
71,50,0,2450,49,1
72,50,0,2400,48,1
73,50,0,2450,49,1
74,50,0,2400,48,1
75,50,0,2450,49,1
76,50,0,2400,48,0
77,50,0,2350,47,1
78,50,0,2400,48,1
79,50,0,2350,47,1
80,50,0,2400,48,1
81,50,0,2350,47,0
82,50,0,2300,46,1
83,50,0,2350,47,1
84,50,0,2300,46,0
85,50,0,2250,45,0
86,50,0,2200,44,0
87,50,0,2150,43,0
88,50,0,2100,42,0
89,50,0,2050,41,0
90,50,0,2000,40,0
91,50,0,1950,39,1
92,50,0,2000,40,1
93,50,0,1950,39,0
94,50,0,1900,38,1
95,50,0,1950,39,1
96,50,0,1900,38,0
97,50,0,1850,37,0
98,50,0,1800,36,1
99,50,0,1850,37,1
100,50,0,1800,36,0
101,50,0,1750,35,0
102,50,0,1700,34,0
103,50,0,1650,33,1
104,50,0,1700,34,2
105,50,0,1750,35,1
106,50,0,1700,34,0
107,50,0,1650,33,1
108,50,0,1700,34,2
