timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,50
2,50,0,4900,98,50
3,50,0,4850,97,50
4,50,0,4800,96,50
5,50,0,4750,95,50
6,50,0,4700,94,50
7,50,0,4650,93,50
8,50,0,4600,92,50
9,50,0,4550,91,50
10,51,0,4500,88,51
11,52,0,4449,85,52
12,53,0,4397,82,53
13,54,0,4344,80,54
14,55,0,4290,78,55
15,56,0,4235,75,56
16,57,0,4179,73,57
17,58,0,4122,71,58
18,59,0,4064,68,59
19,60,0,4005,66,60
20,61,0,3945,64,61
21,62,0,3884,62,62
22,63,0,3822,60,63
23,64,0,3759,58,64
24,65,0,3695,56,65
25,66,0,3630,55,66
26,67,0,3564,53,67
27,68,0,3497,51,68
28,69,0,3429,49,69
29,70,0,3360,48,70
30,71,0,3290,46,71
31,72,0,3219,44,72
32,73,0,3147,43,73
33,74,0,3074,41,74
34,75,0,3000,40,75
35,76,0,2925,38,76
36,77,0,2849,37,77
37,78,0,2772,35,78
38,79,0,2694,34,79
39,80,0,2615,32,80
40,81,0,2535,31,81
41,82,0,2454,29,82
42,83,0,2372,28,83
43,84,0,2289,27,84
44,85,0,2205,25,85
45,85,0,2120,24,84
46,85,0,2035,23,83
47,85,0,1950,22,82
48,85,0,1865,21,82
49,85,0,1880,22,82
50,85,0,1795,21,81
51,85,0,1710,20,81
52,85,0,1725,20,82
53,85,0,1740,20,81
54,85,0,1655,19,80
55,85,0,1570,18,79
56,85,0,1485,17,78
57,85,0,1400,16,79
58,85,0,1515,17,79
59,85,0,1430,16,78
60,85,0,1345,15,77
61,85,0,1260,14,77
62,85,0,1275,15,79
63,85,0,1390,16,79
64,85,0,1305,15,79
65,85,0,1320,15,78
66,85,0,1235,14,77
67,85,0,1150,13,76
68,85,0,1065,12,77
69,85,0,1180,13,78
70,85,0,1195,14,77
71,85,0,1110,13,77
72,85,0,1125,13,77
73,85,0,1040,12,76
74,84,1,955,11,75
75,83,2,971,11,75
76,82,3,988,12,74
77,81,4,906,11,72
78,80,5,825,10,71
79,79,6,845,10,71
80,78,7,866,11,70
81,77,8,888,11,69
82,76,9,811,10,67
83,75,10,735,9,67
84,74,11,860,11,67
85,73,12,886,12,66
86,72,13,913,12,66
87,71,14,941,13,64
88,70,15,870,12,62
89,69,16,800,11,60
90,68,17,731,10,59
91,67,18,763,11,58
92,66,19,696,10,58
93,65,20,830,12,57
94,64,21,765,11,55
95,63,22,701,11,54
96,62,23,738,11,55
97,61,24,876,14,53
98,60,25,815,13,51
99,59,26,755,12,50
100,58,27,796,13,49
101,57,28,738,12,47
102,56,29,681,12,45
103,55,30,625,11,45
104,54,31,770,14,44
105,53,32,716,13,42
106,52,33,663,12,41
107,51,34,711,13,41
108,50,35,760,15,41
109,49,36,810,16,40
110,49,36,761,15,41
111,49,36,912,18,42
112,49,36,963,19,43
113,49,36,1014,20,43
114,49,36,1065,21,45
115,49,36,1216,24,45
116,49,36,1167,23,44
117,49,36,1118,22,43
118,49,36,1069,21,44
119,49,36,1220,24,45
120,49,36,1271,25,44
121,49,36,1222,24,43
122,49,36,1173,23,42
123,49,36,1124,22,42
