timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,50
2,50,0,4900,98,50
3,50,0,4850,97,50
4,50,0,4800,96,50
5,50,0,4750,95,50
6,50,0,4700,94,50
7,50,0,4650,93,50
8,50,0,4600,92,50
9,50,0,4550,91,50
10,51,0,4500,88,51
11,52,0,4449,85,52
12,53,0,4397,82,53
13,54,0,4344,80,54
14,55,0,4290,78,55
15,56,0,4235,75,56
16,57,0,4179,73,57
17,58,0,4122,71,58
18,59,0,4064,68,59
19,60,0,4005,66,60
20,61,0,3945,64,61
21,62,0,3884,62,62
22,63,0,3822,60,63
23,64,0,3759,58,64
24,65,0,3695,56,65
25,66,0,3630,55,66
26,67,0,3564,53,67
27,68,0,3497,51,68
28,69,0,3429,49,69
29,70,0,3360,48,70
30,71,0,3290,46,71
31,72,0,3219,44,72
32,73,0,3147,43,73
33,74,0,3074,41,74
34,75,0,3000,40,75
35,76,0,2925,38,76
36,77,0,2849,37,77
37,78,0,2772,35,78
38,79,0,2694,34,79
39,80,0,2615,32,80
40,81,0,2535,31,81
41,82,0,2454,29,82
42,83,0,2372,28,83
43,84,0,2289,27,84
44,85,0,2205,25,85
45,85,0,2120,24,84
46,85,0,2035,23,83
47,85,0,1950,22,82
48,85,0,1865,21,82
49,85,0,1880,22,82
50,85,0,1795,21,81
51,85,0,1710,20,80
52,85,0,1625,19,80
53,85,0,1640,19,81
54,85,0,1655,19,81
55,85,0,1570,18,81
56,85,0,1585,18,81
57,85,0,1500,17,80
58,85,0,1415,16,79
59,85,0,1330,15,79
60,85,0,1345,15,79
61,85,0,1260,14,79
62,85,0,1275,15,79
63,85,0,1190,14,78
64,85,0,1105,13,79
65,85,0,1220,14,79
66,85,0,1135,13,79
67,85,0,1150,13,79
68,85,0,1065,12,78
69,84,1,980,11,76
70,83,2,896,10,75
71,82,3,913,11,74
72,81,4,831,10,74
73,80,5,950,11,73
74,79,6,870,11,71
75,78,7,791,10,71
76,77,8,913,11,70
77,76,9,836,11,69
78,75,10,860,11,68
79,74,11,785,10,67
80,73,12,811,11,66
81,72,13,738,10,65
82,71,14,766,10,66
83,70,15,895,12,65
84,69,16,825,11,63
85,68,17,756,11,62
86,67,18,788,11,61
87,66,19,721,10,59
88,65,20,655,10,58
89,64,21,690,10,59
90,63,22,826,13,58
91,62,23,763,12,56
92,61,24,701,11,54
93,60,25,640,10,53
94,59,26,680,11,52
95,58,27,621,10,50
96,57,28,563,9,50
97,56,29,706,12,49
98,55,30,650,11,48
99,54,31,695,12,47
100,53,32,641,12,45
101,52,33,588,11,43
102,51,34,536,10,42
103,50,35,585,11,41
104,49,36,535,10,40
105,48,37,586,12,40
106,47,38,638,13,40
107,46,39,791,17,41
108,46,39,945,20,41
109,46,39,899,19,41
110,46,39,953,20,41
111,46,39,907,19,40
112,46,39,861,18,39
113,46,39,815,17,38
114,46,39,769,16,37
115,46,39,723,15,40
116,46,39,1077,23,40
117,46,39,1031,22,39
118,46,39,985,21,38
119,46,39,939,20,37
120,46,39,893,19,37
121,46,39,947,20,37
122,46,39,901,19,37
123,46,39,955,20,37
124,46,39,909,19,37
125,46,39,963,20,38
