timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,50
2,50,0,4900,98,50
3,50,0,4850,97,50
4,50,0,4800,96,50
5,50,0,4750,95,50
6,50,0,4700,94,50
7,50,0,4650,93,50
8,50,0,4600,92,50
9,50,0,4550,91,50
10,51,0,4500,88,51
11,52,0,4449,85,52
12,53,0,4397,82,53
13,54,0,4344,80,54
14,55,0,4290,78,55
15,56,0,4235,75,56
16,57,0,4179,73,57
17,58,0,4122,71,58
18,59,0,4064,68,59
19,60,0,4005,66,60
20,61,0,3945,64,61
21,62,0,3884,62,62
22,63,0,3822,60,63
23,64,0,3759,58,64
24,65,0,3695,56,65
25,66,0,3630,55,66
26,67,0,3564,53,67
27,68,0,3497,51,68
28,69,0,3429,49,69
29,70,0,3360,48,70
30,71,0,3290,46,71
31,72,0,3219,44,72
32,73,0,3147,43,73
33,74,0,3074,41,74
34,75,0,3000,40,75
35,76,0,2925,38,76
36,77,0,2849,37,77
37,78,0,2772,35,78
38,79,0,2694,34,79
39,80,0,2615,32,80
40,81,0,2535,31,81
41,82,0,2454,29,82
42,83,0,2372,28,83
43,84,0,2289,27,84
44,85,0,2205,25,85
45,85,0,2120,24,84
46,85,0,2035,23,83
47,85,0,1950,22,82
48,85,0,1865,21,82
49,85,0,1880,22,82
50,85,0,1795,21,81
51,85,0,1710,20,81
52,85,0,1725,20,82
53,85,0,1740,20,81
54,85,0,1655,19,80
55,85,0,1570,18,80
56,85,0,1585,18,80
57,85,0,1500,17,80
58,85,0,1515,17,81
59,85,0,1530,18,80
60,85,0,1445,17,79
61,85,0,1360,16,78
62,85,0,1275,15,78
63,85,0,1290,15,79
64,85,0,1305,15,79
65,85,0,1320,15,78
66,85,0,1235,14,77
67,85,0,1150,13,76
68,85,0,1065,12,76
69,85,0,1080,12,76
70,85,0,995,11,75
71,85,0,910,10,74
72,84,1,825,9,74
73,83,2,941,11,74
74,82,3,958,11,72
75,81,4,876,10,70
76,80,5,795,9,68
77,79,6,715,9,66
78,78,7,636,8,64
79,77,8,558,7,62
80,76,9,481,6,60
81,75,10,405,5,59
82,74,11,430,5,58
83,73,12,356,4,57
84,72,13,383,5,56
85,71,14,311,4,54
86,70,15,240,3,53
87,69,16,270,3,53
88,68,17,301,4,51
89,67,18,233,3,49
90,66,19,166,2,48
91,65,20,200,3,48
92,64,21,235,3,49
93,63,22,371,5,49
94,62,23,408,6,47
95,61,24,346,5,45
96,60,25,285,4,43
97,59,26,225,3,43
98,58,27,366,6,43
99,57,28,408,7,42
100,56,29,451,8,41
101,55,30,495,9,40
102,54,31,440,8,38
103,53,32,386,7,37
104,52,33,433,8,37
105,51,34,481,9,36
106,50,35,530,10,36
107,49,36,580,11,34
108,48,37,531,11,34
109,47,38,683,14,33
110,46,39,636,13,31
111,45,40,590,13,29
112,44,41,545,12,27
113,43,42,501,11,25
114,42,43,458,10,23
115,41,44,416,10,22
116,40,45,475,11,21
117,39,46,435,11,20
118,38,47,496,13,20
119,37,48,558,15,20
120,36,49,621,17,20
121,36,49,785,21,21
122,36,49,949,26,21
123,36,49,913,25,21
124,36,49,877,24,21
125,36,49,941,26,21
