timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,14
5,50,0,4760,95,13
6,50,0,4710,94,13
7,50,0,4660,93,13
8,50,0,4610,92,14
9,50,0,4570,91,14
10,51,0,4530,88,14
11,52,0,4479,86,14
12,53,0,4427,83,16
13,54,0,4384,81,15
14,55,0,4330,78,17
15,56,0,4295,76,15
16,57,0,4239,74,17
17,58,0,4192,72,18
18,59,0,4154,70,18
19,60,0,4115,68,16
20,61,0,4055,66,18
21,62,0,4004,64,20
22,63,0,3972,63,22
23,64,0,3929,61,17
24,65,0,3865,59,19
25,66,0,3820,57,22
26,67,0,3784,56,22
27,68,0,3737,54,19
28,69,0,3669,53,20
29,70,0,3620,51,23
30,71,0,3580,50,22
31,72,0,3529,49,20
32,73,0,3467,47,22
33,74,0,3424,46,23
34,75,0,3380,45,23
35,76,0,3325,43,20
36,77,0,3249,42,23
37,78,0,3192,40,25
38,79,0,3144,39,24
39,80,0,3085,38,22
40,81,0,3015,37,23
41,82,0,2954,36,26
42,83,0,2912,35,24
43,84,0,2849,33,23
44,85,0,2765,32,25
45,86,0,2710,31,26
46,87,0,2654,30,26
47,88,0,2587,29,25
48,89,0,2509,28,25
49,90,0,2440,27,27
50,91,0,2380,26,27
51,91,0,2309,25,24
52,91,0,2228,24,18
53,91,0,2167,23,19
54,91,0,2116,23,16
55,91,0,2045,22,16
56,91,0,1964,21,17
57,91,0,1903,20,18
58,91,0,1852,20,16
59,91,0,1781,19,16
60,91,0,1700,18,17
61,91,0,1639,18,17
62,91,0,1578,17,16
63,91,0,1507,16,15
64,91,0,1426,15,16
65,91,0,1355,14,17
66,91,0,1294,14,9
67,91,0,1223,13,7
68,91,0,1142,12,8
69,91,0,1081,11,12
70,91,0,1030,11,10
71,91,0,959,10,8
72,91,0,878,9,8
73,91,0,807,8,10
74,90,1,766,8,8
75,89,2,696,7,5
76,88,3,617,7,7
77,87,4,559,6,8
78,86,5,502,5,9
79,85,6,446,5,8
80,84,7,381,4,8
81,83,8,317,3,9
82,82,9,264,3,10
83,81,10,222,2,7
84,80,11,151,1,7
85,79,12,91,1,9
86,78,13,52,0,11
87,0,91,-26,0,2
88,0,91,-26,0,2
89,0,91,-26,0,2
90,0,91,-26,0,2
91,0,91,-26,0,2
