timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,1
5,50,0,4760,95,1
6,50,0,4710,94,0
7,50,0,4660,93,0
8,50,0,4610,92,0
9,50,0,4560,91,2
10,51,0,4530,88,3
11,52,0,4479,86,1
12,53,0,4427,83,1
13,54,0,4374,81,1
14,55,0,4320,78,3
15,56,0,4285,76,3
16,57,0,4229,74,2
17,58,0,4182,72,3
18,59,0,4134,70,4
19,60,0,4095,68,5
20,61,0,4055,66,4
21,62,0,4004,64,3
22,63,0,3952,62,5
23,64,0,3919,61,6
24,65,0,3875,59,4
25,66,0,3820,57,4
26,67,0,3774,56,6
27,68,0,3737,54,7
28,69,0,3699,53,5
29,70,0,3640,52,3
30,71,0,3580,50,5
31,72,0,3539,49,6
32,73,0,3487,47,4
33,74,0,3424,46,4
34,75,0,3370,44,6
35,76,0,3325,43,6
36,77,0,3269,42,4
37,78,0,3202,41,4
38,79,0,3144,39,7
39,80,0,3105,38,8
40,81,0,3055,37,5
41,82,0,2984,36,4
42,83,0,2922,35,7
43,84,0,2879,34,8
44,85,0,2825,33,5
45,86,0,2750,31,4
46,87,0,2684,30,7
47,88,0,2637,29,7
48,89,0,2569,28,4
49,90,0,2490,27,4
50,91,0,2420,26,6
51,91,0,2359,25,5
52,91,0,2288,25,3
53,91,0,2207,24,3
54,91,0,2136,23,6
55,91,0,2085,22,7
56,91,0,2024,22,4
57,91,0,1943,21,3
58,91,0,1872,20,6
59,91,0,1821,20,7
60,91,0,1760,19,4
61,91,0,1679,18,3
62,91,0,1608,17,6
63,91,0,1557,17,7
64,91,0,1496,16,4
65,91,0,1415,15,3
66,91,0,1344,14,5
67,91,0,1283,14,5
68,91,0,1212,13,3
69,91,0,1131,12,3
70,91,0,1060,11,5
71,91,0,999,10,5
72,91,0,928,10,3
73,91,0,847,9,3
74,91,0,776,8,6
75,90,1,725,8,7
76,89,2,665,7,4
77,88,3,586,6,3
78,87,4,518,5,6
79,86,5,471,5,6
80,85,6,405,4,2
81,84,7,320,3,2
82,83,8,256,3,5
83,82,9,203,2,4
84,81,10,131,1,1
85,80,11,50,0,2
86,0,91,-30,0,0
87,0,91,-30,0,0
88,0,91,-30,0,0
89,0,91,-30,0,0
90,0,91,-30,0,0
