timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,3
5,50,0,4780,95,3
6,50,0,4730,94,1
7,50,0,4690,93,1
8,50,0,4640,92,3
9,50,0,4620,92,4
10,51,0,4580,89,10
11,52,0,4609,88,10
12,53,0,4567,86,10
13,54,0,4594,85,12
14,55,0,4570,83,14
15,56,0,4615,82,12
16,57,0,4569,80,8
17,58,0,4572,78,12
18,59,0,4564,77,12
19,60,0,4565,76,10
20,61,0,4535,74,8
21,62,0,4514,72,13
22,63,0,4532,71,15
23,64,0,4529,70,11
24,65,0,4505,69,8
25,66,0,4470,67,10
26,67,0,4464,66,13
27,68,0,4457,65,13
28,69,0,4449,64,13
29,70,0,4440,63,12
30,71,0,4420,62,11
31,72,0,4399,61,16
32,73,0,4427,60,15
33,74,0,4394,59,9
34,75,0,4360,58,13
35,76,0,4365,57,16
36,77,0,4359,56,12
37,78,0,4322,55,13
38,79,0,4324,54,13
39,80,0,4285,53,14
40,81,0,4295,53,17
41,82,0,4284,52,10
42,83,0,4222,50,11
43,84,0,4219,50,16
44,85,0,4205,49,15
45,86,0,4190,48,14
46,87,0,4164,47,9
47,88,0,4097,46,8
48,89,0,4059,45,14
49,90,0,4050,45,17
50,91,0,4040,44,20
51,92,0,4059,44,17
52,93,0,4017,43,14
53,94,0,4004,42,15
54,95,0,3970,41,16
55,96,0,3965,41,18
56,97,0,3949,40,12
57,98,0,3882,39,13
58,99,0,3874,39,16
59,100,0,3835,38,16
60,101,0,3825,37,16
61,102,0,3784,37,13
62,103,0,3742,36,14
63,104,0,3709,35,15
64,105,0,3675,35,15
65,106,0,3640,34,17
66,107,0,3624,33,19
67,108,0,3607,33,17
68,109,0,3569,32,18
69,110,0,3560,32,18
70,111,0,3520,31,20
71,112,0,3529,31,18
72,113,0,3467,30,17
73,114,0,3464,30,21
74,115,0,3440,29,19
75,116,0,3415,29,19
76,117,0,3389,28,16
77,118,0,3332,28,17
78,119,0,3314,27,19
79,120,0,3275,27,15
80,121,0,3215,26,16
81,121,0,3184,26,21
82,121,0,3183,26,21
83,121,0,3152,26,16
84,121,0,3101,25,12
85,121,0,3030,25,15
86,121,0,3009,24,19
87,121,0,2978,24,19
88,121,0,2957,24,20
89,121,0,2936,24,18
90,121,0,2895,23,17
91,121,0,2864,23,18
92,121,0,2833,23,15
93,121,0,2772,22,18
94,121,0,2771,22,19
95,121,0,2720,22,15
96,121,0,2679,22,20
97,121,0,2678,22,20
98,121,0,2637,21,16
99,121,0,2596,21,16
100,121,0,2555,21,21
101,121,0,2564,21,23
102,121,0,2543,21,19
103,121,0,2512,20,19
104,121,0,2491,20,17
105,121,0,2440,20,17
106,121,0,2419,19,17
107,121,0,2368,19,16
108,121,0,2337,19,18
