timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,3
5,50,0,4780,95,3
6,50,0,4730,94,3
7,50,0,4710,94,3
8,50,0,4660,93,4
9,50,0,4650,93,6
10,51,0,4620,90,13
11,52,0,4669,89,12
12,53,0,4627,87,8
13,54,0,4634,85,11
14,55,0,4620,84,13
15,56,0,4645,82,10
16,57,0,4599,80,7
17,58,0,4592,79,10
18,59,0,4574,77,12
19,60,0,4585,76,9
20,61,0,4535,74,7
21,62,0,4524,72,14
22,63,0,4542,72,14
23,64,0,4529,70,10
24,65,0,4505,69,8
25,66,0,4470,67,11
26,67,0,4474,66,8
27,68,0,4407,64,8
28,69,0,4409,63,13
29,70,0,4390,62,11
30,71,0,4370,61,10
31,72,0,4339,60,12
32,73,0,4337,59,12
33,74,0,4304,58,7
34,75,0,4250,56,8
35,76,0,4225,55,13
36,77,0,4219,54,11
37,78,0,4172,53,7
38,79,0,4124,52,7
39,80,0,4075,50,8
40,81,0,4035,49,17
41,82,0,4074,49,17
42,83,0,4032,48,9
43,84,0,3989,47,11
44,85,0,3965,46,13
45,86,0,3940,45,13
46,87,0,3914,44,9
47,88,0,3847,43,8
48,89,0,3809,42,14
49,90,0,3800,42,14
50,91,0,3760,41,13
51,92,0,3739,40,16
52,93,0,3727,40,13
53,94,0,3674,39,7
54,95,0,3600,37,7
55,96,0,3545,36,11
56,97,0,3509,36,16
57,98,0,3502,35,17
58,99,0,3474,35,15
59,100,0,3445,34,13
60,101,0,3395,33,12
61,102,0,3354,32,9
62,103,0,3272,31,10
63,104,0,3239,31,15
64,105,0,3205,30,15
65,106,0,3170,29,9
66,107,0,3074,28,4
67,108,0,2987,27,13
68,109,0,2979,27,21
69,110,0,2970,27,17
70,111,0,2920,26,10
71,111,0,2839,25,14
72,111,0,2838,25,14
73,111,0,2757,24,10
74,111,0,2716,24,14
75,111,0,2675,24,14
76,111,0,2634,23,12
77,111,0,2573,23,9
78,111,0,2502,22,11
79,111,0,2461,22,15
80,111,0,2430,21,14
81,111,0,2379,21,16
82,111,0,2368,21,19
83,111,0,2347,21,13
84,111,0,2276,20,11
85,111,0,2235,20,13
86,111,0,2184,19,13
87,111,0,2143,19,14
88,111,0,2102,18,12
89,111,0,2041,18,9
90,111,0,1970,17,9
91,111,0,1909,17,11
92,111,0,1858,16,12
93,111,0,1807,16,14
94,111,0,1776,16,17
95,111,0,1755,15,16
96,111,0,1714,15,14
97,111,0,1673,15,15
98,111,0,1642,14,15
99,111,0,1601,14,16
100,111,0,1580,14,14
101,111,0,1519,13,11
102,111,0,1468,13,8
103,111,0,1377,12,10
104,111,0,1346,12,13
105,110,1,1285,11,13
106,109,2,1255,11,14
107,108,3,1206,11,14
108,107,4,1178,11,14
109,106,5,1131,10,9
110,105,6,1055,10,11
111,104,7,1030,9,12
112,103,8,966,9,13
113,102,9,953,9,11
114,101,10,871,8,12
115,100,11,870,8,16
116,99,12,830,8,11
117,98,13,781,7,7
118,97,14,703,7,11
119,96,15,696,7,13
120,95,16,640,6,11
121,94,17,615,6,11
122,93,18,561,6,10
123,92,19,528,5,11
124,91,20,486,5,13
125,90,21,475,5,12
126,89,22,425,4,5
127,88,23,346,3,6
128,87,24,308,3,8
129,86,25,251,2,7
130,85,26,205,2,8
131,84,27,160,1,9
132,83,28,126,1,11
133,82,29,103,1,16
134,81,30,121,1,15
135,80,31,90,1,9
136,79,32,50,0,7
137,0,111,-29,0,0
138,0,111,-29,0,0
139,0,111,-29,0,0
140,0,111,-29,0,0
141,0,111,-29,0,0
