timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,13
5,50,0,4750,95,13
6,50,0,4700,94,13
7,50,0,4650,93,13
8,50,0,4600,92,13
9,50,0,4550,91,13
10,51,0,4500,88,14
11,52,0,4449,85,14
12,53,0,4397,82,15
13,54,0,4344,80,15
14,55,0,4290,78,15
15,56,0,4235,75,15
16,57,0,4179,73,16
17,58,0,4122,71,16
18,59,0,4064,68,16
19,60,0,4005,66,16
20,61,0,3945,64,17
21,62,0,3884,62,17
22,63,0,3822,60,17
23,64,0,3759,58,17
24,65,0,3695,56,17
25,66,0,3630,55,18
26,67,0,3564,53,19
27,68,0,3597,52,18
28,69,0,3529,51,18
29,70,0,3460,49,19
30,71,0,3390,47,19
31,72,0,3319,46,20
32,73,0,3347,45,19
33,74,0,3274,44,20
34,75,0,3200,42,20
35,76,0,3125,41,20
36,77,0,3049,39,22
37,78,0,3072,39,21
38,79,0,2994,37,22
39,80,0,3015,37,21
40,81,0,2935,36,21
41,82,0,2854,34,24
42,83,0,2972,35,22
43,84,0,2889,34,22
44,85,0,2805,33,22
45,86,0,2720,31,23
46,87,0,2634,30,25
47,88,0,2747,31,23
48,89,0,2659,29,24
49,90,0,2570,28,24
50,91,0,2480,27,24
51,92,0,2389,25,26
52,92,0,2497,27,16
53,92,0,2405,26,16
54,92,0,2313,25,16
55,92,0,2221,24,14
56,92,0,2129,23,16
57,92,0,2237,24,14
58,92,0,2145,23,14
59,92,0,2053,22,14
60,92,0,1961,21,14
61,92,0,1869,20,16
62,92,0,1977,21,14
63,92,0,1885,20,14
64,92,0,1793,19,14
65,92,0,1701,18,14
66,92,0,1609,17,16
67,92,0,1717,18,14
68,92,0,1625,17,14
69,92,0,1533,16,14
70,92,0,1441,15,14
71,92,0,1349,14,16
72,92,0,1457,15,5
73,92,0,1365,14,5
74,92,0,1273,13,5
75,92,0,1181,12,5
76,92,0,1089,11,7
77,92,0,1197,13,6
78,92,0,1105,12,5
79,92,0,1013,11,5
80,91,1,921,10,4
81,90,2,830,9,5
82,89,3,940,10,4
83,88,4,851,9,3
84,87,5,763,8,2
85,86,6,676,7,1
86,85,7,590,6,2
87,84,8,705,8,2
88,83,9,621,7,1
89,82,10,538,6,0
90,81,11,456,5,0
91,80,12,375,4,1
92,79,13,395,5,1
93,78,14,316,4,0
94,77,15,238,3,0
95,76,16,161,2,0
96,75,17,85,1,1
97,74,18,110,1,1
98,73,19,36,0,0
99,0,92,-37,0,0
100,0,92,-37,0,0
101,0,92,-37,0,0
102,0,92,-37,0,0
103,0,92,-37,0,0
