timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,13
5,50,0,4750,95,13
6,50,0,4700,94,13
7,50,0,4650,93,13
8,50,0,4600,92,13
9,50,0,4550,91,13
10,51,0,4500,88,14
11,52,0,4449,85,14
12,53,0,4397,82,15
13,54,0,4344,80,15
14,55,0,4290,78,15
15,56,0,4235,75,15
16,57,0,4179,73,16
17,58,0,4122,71,16
18,59,0,4064,68,16
19,60,0,4005,66,16
20,61,0,3945,64,18
21,62,0,3984,64,17
22,63,0,3922,62,17
23,64,0,3859,60,17
24,65,0,3795,58,18
25,66,0,3830,58,18
26,67,0,3764,56,19
27,68,0,3797,55,19
28,69,0,3729,54,19
29,70,0,3760,53,19
30,71,0,3690,51,20
31,72,0,3719,51,19
32,73,0,3647,49,20
33,74,0,3674,49,20
34,75,0,3600,48,21
35,76,0,3625,47,21
36,77,0,3549,46,21
37,78,0,3572,45,21
38,79,0,3494,44,22
39,80,0,3515,43,22
40,81,0,3435,42,24
41,82,0,3654,44,22
42,83,0,3572,43,24
43,84,0,3689,43,23
44,85,0,3605,42,23
45,86,0,3620,42,23
46,87,0,3534,40,24
47,88,0,3547,40,23
48,89,0,3459,38,28
49,90,0,3770,41,24
50,91,0,3680,40,25
51,92,0,3689,40,24
52,93,0,3597,38,26
53,94,0,3604,38,25
54,95,0,3510,36,26
55,96,0,3515,36,25
56,97,0,3419,35,26
57,98,0,3422,34,26
58,99,0,3324,33,27
59,100,0,3325,33,26
60,101,0,3225,31,29
61,102,0,3424,33,27
62,103,0,3322,32,28
63,104,0,3319,31,30
64,105,0,3515,33,29
65,106,0,3510,33,28
66,107,0,3404,31,28
67,108,0,3297,30,30
68,109,0,3389,31,30
69,110,0,3480,31,29
70,111,0,3370,30,29
71,112,0,3259,29,29
72,113,0,3147,27,30
73,114,0,3134,27,31
74,115,0,3120,27,32
75,116,0,3205,27,30
76,117,0,3089,26,30
77,117,0,2972,25,31
78,117,0,2955,25,19
79,117,0,2938,25,18
80,117,0,2821,24,20
81,117,0,2904,24,20
82,117,0,2987,25,19
83,117,0,2970,25,19
84,117,0,2953,25,18
85,117,0,2836,24,18
86,117,0,2719,23,22
87,117,0,3002,25,21
88,117,0,2985,25,19
89,117,0,2968,25,19
90,117,0,2851,24,19
91,117,0,2834,24,18
92,117,0,2717,23,20
93,117,0,2800,23,19
94,117,0,2783,23,19
95,117,0,2766,23,20
96,117,0,2849,24,19
97,117,0,2832,24,19
98,117,0,2815,24,18
99,117,0,2698,23,18
100,117,0,2581,22,19
101,117,0,2564,21,19
102,117,0,2547,21,20
103,117,0,2630,22,19
104,117,0,2613,22,19
105,117,0,2596,22,18
106,117,0,2479,21,19
107,117,0,2462,21,19
108,117,0,2445,20,22
109,117,0,2728,23,18
110,117,0,2611,22,19
111,117,0,2594,22,20
112,117,0,2677,22,19
113,117,0,2660,22,19
114,117,0,2643,22,18
115,117,0,2526,21,18
116,117,0,2409,20,21
117,117,0,2592,22,18
118,117,0,2475,21,19
119,117,0,2458,21,19
120,117,0,2441,20,20
121,117,0,2524,21,21
122,117,0,2607,22,21
123,117,0,2690,22,18
124,117,0,2573,21,18
125,117,0,2456,20,22
126,117,0,2739,23,20
127,117,0,2722,23,19
128,117,0,2705,23,19
129,117,0,2688,22,20
130,117,0,2771,23,19
131,117,0,2754,23,19
132,117,0,2737,23,18
133,117,0,2620,22,21
134,117,0,2803,23,20
135,117,0,2886,24,18
136,117,0,2769,23,18
137,117,0,2652,22,19
138,117,0,2635,22,20
139,117,0,2718,23,19
