timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,13
2,50,0,4900,98,13
3,50,0,4850,97,13
4,50,0,4800,96,13
5,50,0,4750,95,13
6,50,0,4700,94,13
7,50,0,4650,93,13
8,50,0,4600,92,13
9,50,0,4550,91,13
10,51,0,4500,88,14
11,52,0,4449,85,14
12,53,0,4397,82,15
13,54,0,4344,80,15
14,55,0,4290,78,15
15,56,0,4235,75,15
16,57,0,4179,73,16
17,58,0,4122,71,16
18,59,0,4064,68,16
19,60,0,4005,66,16
20,61,0,3945,64,17
21,62,0,3884,62,17
22,63,0,3822,60,17
23,64,0,3759,58,17
24,65,0,3695,56,18
25,66,0,3730,56,18
26,67,0,3664,54,18
27,68,0,3597,52,18
28,69,0,3529,51,19
29,70,0,3560,50,19
30,71,0,3490,49,20
31,72,0,3519,48,19
32,73,0,3447,47,19
33,74,0,3374,45,20
34,75,0,3300,44,20
35,76,0,3225,42,20
36,77,0,3149,40,21
37,78,0,3072,39,21
38,79,0,2994,37,21
39,80,0,2915,36,21
40,81,0,2835,35,23
41,82,0,2954,36,22
42,83,0,2872,34,22
43,84,0,2789,33,22
44,85,0,2705,31,23
45,86,0,2720,31,23
46,87,0,2634,30,24
47,88,0,2647,30,24
48,89,0,2659,29,26
49,90,0,2670,29,24
50,91,0,2580,28,24
51,92,0,2489,27,24
52,93,0,2397,25,25
53,93,0,2304,24,14
54,93,0,2211,23,14
55,93,0,2118,22,14
56,93,0,2025,21,16
57,93,0,2132,22,14
58,93,0,2039,21,15
59,93,0,2046,22,15
60,93,0,1953,21,15
61,93,0,1960,21,15
62,93,0,1967,21,15
63,93,0,1874,20,14
64,93,0,1781,19,16
65,93,0,1888,20,15
66,93,0,1795,19,14
67,93,0,1702,18,14
68,93,0,1609,17,15
69,93,0,1616,17,14
70,93,0,1523,16,14
71,93,0,1430,15,15
72,93,0,1437,15,15
73,93,0,1444,15,14
74,93,0,1351,14,15
75,93,0,1358,14,6
76,93,0,1265,13,7
77,93,0,1372,14,6
78,93,0,1379,14,5
79,93,0,1286,13,5
80,93,0,1193,12,5
81,92,1,1100,11,5
82,91,2,1108,12,5
83,90,3,1117,12,4
84,89,4,1027,11,4
85,88,5,1038,11,3
86,87,6,950,10,3
87,86,7,963,11,3
88,85,8,977,11,3
89,84,9,992,11,2
90,83,10,908,10,1
91,82,11,825,10,0
92,81,12,743,9,0
93,80,13,662,8,0
94,79,14,582,7,0
95,78,15,503,6,0
96,77,16,425,5,1
97,76,17,448,5,1
98,75,18,372,4,1
99,74,19,397,5,1
100,73,20,323,4,0
101,72,21,250,3,0
102,71,22,178,2,0
103,70,23,107,1,0
104,69,24,37,0,2
105,0,93,-32,0,0
106,0,93,-32,0,0
107,0,93,-32,0,0
108,0,93,-32,0,0
109,0,93,-32,0,0
