timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,50,0,4950,99,0
2,50,0,4900,98,0
3,50,0,4850,97,0
4,50,0,4800,96,0
5,50,0,4750,95,0
6,50,0,4700,94,0
7,50,0,4650,93,0
8,50,0,4600,92,0
9,50,0,4550,91,0
10,51,0,4500,88,1
11,52,0,4449,85,1
12,53,0,4397,82,1
13,54,0,4344,80,1
14,55,0,4290,78,1
15,56,0,4235,75,1
16,57,0,4179,73,1
17,58,0,4122,71,1
18,59,0,4064,68,1
19,60,0,4005,66,1
20,61,0,3945,64,1
21,62,0,3884,62,1
22,63,0,3822,60,1
23,64,0,3759,58,1
24,65,0,3695,56,2
25,66,0,3730,56,2
26,67,0,3664,54,1
27,68,0,3597,52,1
28,69,0,3529,51,2
29,70,0,3560,50,2
30,71,0,3490,49,2
31,72,0,3519,48,2
32,73,0,3447,47,1
33,74,0,3374,45,1
34,75,0,3300,44,1
35,76,0,3225,42,1
36,77,0,3149,40,1
37,78,0,3072,39,1
38,79,0,2994,37,1
39,80,0,2915,36,1
40,81,0,2835,35,3
41,82,0,2954,36,3
42,83,0,2872,34,2
43,84,0,2889,34,2
44,85,0,2805,33,2
45,86,0,2820,32,2
46,87,0,2734,31,2
47,88,0,2747,31,2
48,89,0,2659,29,2
49,90,0,2670,29,2
50,91,0,2580,28,1
51,92,0,2489,27,1
52,93,0,2397,25,1
53,93,0,2304,24,0
54,93,0,2211,23,1
55,93,0,2218,23,1
56,93,0,2125,22,1
57,93,0,2132,22,1
58,93,0,2039,21,1
59,93,0,2046,22,1
60,93,0,1953,21,1
61,93,0,1960,21,1
62,93,0,1867,20,1
63,93,0,1874,20,1
64,93,0,1781,19,1
65,93,0,1788,19,1
66,93,0,1695,18,0
67,93,0,1602,17,0
68,93,0,1509,16,1
69,93,0,1516,16,1
70,93,0,1423,15,1
71,93,0,1430,15,2
72,93,0,1437,15,1
73,93,0,1344,14,0
74,93,0,1251,13,0
75,93,0,1158,12,0
76,93,0,1065,11,1
77,93,0,1072,11,1
78,93,0,979,10,1
79,93,0,986,10,2
80,92,1,993,10,1
81,91,2,901,9,0
82,90,3,810,9,0
83,89,4,720,8,0
84,88,5,631,7,1
85,87,6,643,7,1
86,86,7,556,6,1
87,85,8,570,6,1
88,84,9,485,5,0
89,83,10,401,4,0
90,82,11,318,3,2
91,81,12,436,5,2
92,80,13,355,4,1
93,79,14,375,4,2
94,78,15,396,5,1
95,77,16,318,4,2
96,76,17,441,5,2
97,75,18,365,4,1
98,74,19,390,5,1
99,73,20,316,4,2
100,72,21,443,6,2
101,71,22,371,5,0
102,70,23,300,4,0
103,69,24,230,3,0
104,68,25,161,2,1
105,67,26,193,2,1
106,66,27,126,1,0
107,65,28,60,0,0
108,0,93,-5,0,0
109,0,93,-5,0,0
110,0,93,-5,0,0
111,0,93,-5,0,0
112,0,93,-5,0,0
