timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,20
2,20,0,1960,98,20
3,20,0,1940,97,20
4,20,0,1920,96,20
5,20,0,1900,95,20
6,20,0,1880,94,20
7,20,0,1860,93,20
8,20,0,1840,92,20
9,20,0,1820,91,20
10,21,0,1800,85,21
11,22,0,1779,80,22
12,23,0,1757,76,23
13,24,0,1734,72,24
14,25,0,1710,68,25
15,26,0,1685,64,26
16,27,0,1659,61,27
17,28,0,1632,58,28
18,29,0,1604,55,29
19,30,0,1575,52,30
20,31,0,1545,49,31
21,32,0,1514,47,32
22,33,0,1482,44,33
23,34,0,1449,42,34
24,35,0,1415,40,35
25,36,0,1380,38,36
26,37,0,1344,36,37
27,38,0,1307,34,38
28,39,0,1269,32,39
29,40,0,1230,30,40
30,41,0,1190,29,41
31,42,0,1149,27,42
32,43,0,1107,25,43
33,43,0,1064,24,42
34,43,0,1021,23,41
35,43,0,978,22,40
36,43,0,935,21,39
37,43,0,892,20,38
38,43,0,849,19,38
39,43,0,906,21,38
40,43,0,863,20,37
41,43,0,820,19,36
42,43,0,777,18,35
43,43,0,734,17,35
44,43,0,791,18,35
45,43,0,748,17,36
46,43,0,905,21,37
47,43,0,962,22,36
48,43,0,919,21,36
49,43,0,976,22,35
50,43,0,933,21,35
51,43,0,990,23,36
52,43,0,1047,24,38
53,43,0,1304,30,39
54,43,0,1361,31,39
55,43,0,1318,30,40
56,43,0,1375,31,40
57,43,0,1332,30,41
58,43,0,1389,32,41
59,43,0,1346,31,42
60,43,0,1403,32,42
61,43,0,1360,31,42
62,43,0,1317,30,43
63,44,0,1374,31,44
64,45,0,1330,29,45
65,46,0,1285,27,46
66,47,0,1239,26,47
67,47,0,1192,25,47
68,47,0,1145,24,46
69,47,0,1098,23,45
70,47,0,1051,22,44
71,47,0,1004,21,43
72,47,0,957,20,42
73,47,0,910,19,42
74,47,0,963,20,42
75,47,0,916,19,41
76,47,0,869,18,41
77,47,0,922,19,41
78,47,0,875,18,41
79,47,0,928,19,42
80,47,0,981,20,42
81,47,0,934,19,42
82,47,0,987,21,43
83,47,0,1040,22,44
84,47,0,1093,23,43
85,47,0,1046,22,43
86,47,0,1099,23,43
87,47,0,1152,24,43
88,47,0,1105,23,42
89,47,0,1058,22,42
90,47,0,1111,23,43
91,47,0,1164,24,42
92,47,0,1117,23,41
93,47,0,1070,22,40
94,47,0,1023,21,40
95,47,0,1076,22,41
96,47,0,1129,24,40
97,47,0,1082,23,39
98,47,0,1035,22,39
99,47,0,1088,23,39
100,47,0,1041,22,39
101,47,0,1094,23,42
102,47,0,1347,28,42
103,47,0,1400,29,42
104,47,0,1353,28,42
105,47,0,1306,27,43
106,47,0,1359,28,44
107,47,0,1412,30,45
108,47,0,1465,31,45
109,47,0,1418,30,47
110,47,0,1571,33,47
111,47,0,1524,32,47
112,48,0,1477,30,48
113,49,0,1429,29,49
114,50,0,1380,27,50
115,51,0,1330,26,51
116,51,0,1279,25,51
117,51,0,1228,24,50
118,51,0,1177,23,50
119,51,0,1126,22,50
120,51,0,1075,21,50
121,51,0,1024,20,50
122,51,0,973,19,51
123,51,0,1022,20,51
124,1,50,971,971,1
125,1,50,970,970,1
126,1,50,969,969,1
127,1,50,968,968,1
128,1,50,967,967,1
129,1,50,966,966,1
130,1,50,965,965,1
131,1,50,964,964,1
132,1,50,963,963,1
133,1,50,962,962,1
134,2,50,961,480,2
135,3,50,959,319,3
136,4,50,956,239,4
137,5,50,952,190,5
138,6,50,947,157,6
139,7,50,941,134,7
140,8,50,934,116,8
141,9,50,926,102,9
142,10,50,917,91,10
143,11,50,907,82,11
144,12,50,896,74,12
145,13,50,884,68,13
146,14,50,871,62,14
147,15,50,857,57,15
148,16,50,842,52,16
149,17,50,826,48,17
150,18,50,809,44,18
151,19,50,791,41,19
152,20,50,772,38,20
153,21,50,752,35,21
154,22,50,731,33,22
155,23,50,709,30,23
156,24,50,686,28,24
157,25,50,662,26,25
158,25,50,637,25,25
159,25,50,612,24,24
160,25,50,587,23,23
161,25,50,562,22,22
162,25,50,537,21,21
163,25,50,512,20,20
164,25,50,487,19,20
165,25,50,562,22,20
166,25,50,537,21,19
167,25,50,512,20,18
168,25,50,487,19,18
169,25,50,562,22,19
170,25,50,637,25,19
171,25,50,612,24,19
172,25,50,687,27,18
173,25,50,662,26,19
174,25,50,737,29,19
175,25,50,712,28,20
176,25,50,787,31,21
177,25,50,862,34,23
178,25,50,1037,41,23
179,25,50,1012,40,23
180,25,50,987,39,24
181,25,50,1062,42,24
182,25,50,1037,41,25
183,25,50,1112,44,25
184,26,50,1087,41,26
185,27,50,1061,39,27
186,28,50,1034,36,28
187,29,50,1006,34,29
188,30,50,977,32,30
189,31,50,947,30,31
190,32,50,916,28,32
191,33,50,884,26,33
192,33,50,851,25,33
193,33,50,818,24,32
194,33,50,785,23,31
195,33,50,752,22,30
196,33,50,719,21,29
197,33,50,686,20,28
198,33,50,653,19,27
199,33,50,620,18,26
200,33,50,587,17,25
201,33,50,554,16,25
202,33,50,621,18,26
203,33,50,688,20,26
204,33,50,655,19,26
205,33,50,722,21,26
206,33,50,789,23,26
207,33,50,856,25,26
208,33,50,823,24,25
209,33,50,790,23,26
210,33,50,957,29,27
211,33,50,1024,31,28
212,33,50,1091,33,28
213,33,50,1058,32,28
214,33,50,1025,31,29
215,33,50,1092,33,31
216,33,50,1259,38,31
217,33,50,1226,37,31
218,33,50,1193,36,32
219,33,50,1260,38,32
220,34,50,1227,36,34
221,35,50,1293,36,35
222,36,50,1258,34,36
223,37,50,1222,33,37
224,38,50,1185,31,38
225,39,50,1147,29,39
226,40,50,1108,27,40
227,41,50,1068,26,41
228,41,50,1027,25,41
229,41,50,986,24,40
230,41,50,945,23,39
231,41,50,904,22,38
232,41,50,863,21,37
233,41,50,822,20,36
234,41,50,781,19,35
235,41,50,740,18,35
236,41,50,799,19,35
237,41,50,758,18,34
238,41,50,717,17,35
239,41,50,876,21,35
240,41,50,835,20,34
241,41,50,794,19,34
242,41,50,853,20,35
243,41,50,912,22,35
244,41,50,871,21,35
245,41,50,930,22,34
246,41,50,889,21,34
247,41,50,948,23,35
248,41,50,1007,24,34
249,41,50,966,23,34
250,41,50,1025,25,36
251,41,50,1184,28,36
252,41,50,1243,30,36
253,41,50,1202,29,36
254,41,50,1161,28,36
255,41,50,1120,27,37
256,41,50,1179,28,37
257,41,50,1138,27,38
258,41,50,1197,29,38
259,41,50,1156,28,38
260,41,50,1115,27,39
261,42,50,1174,27,41
262,43,50,1232,28,43
263,44,50,1289,29,44
264,45,50,1245,27,45
265,46,50,1200,26,46
266,46,50,1154,25,46
267,46,50,1108,24,45
268,46,50,1062,23,44
269,46,50,1016,22,43
270,46,50,970,21,42
271,46,50,924,20,41
272,46,50,878,19,40
273,46,50,832,18,39
274,46,50,786,17,39
275,46,50,840,18,40
276,46,50,894,19,41
277,46,50,948,20,42
278,46,50,1002,21,41
279,46,50,956,20,40
280,46,50,910,19,40
281,46,50,964,20,41
282,46,50,1018,22,42
283,46,50,1072,23,41
284,46,50,1026,22,41
285,46,50,1080,23,42
286,46,50,1134,24,41
287,46,50,1088,23,41
288,46,50,1142,24,41
289,46,50,1096,23,41
290,46,50,1150,25,41
291,46,50,1104,24,40
292,46,50,1058,23,41
293,46,50,1212,26,42
294,46,50,1266,27,42
295,46,50,1220,26,43
296,46,50,1274,27,43
297,46,50,1228,26,43
298,46,50,1182,25,45
299,46,50,1336,29,45
300,46,50,1290,28,45
301,46,50,1244,27,46
302,46,50,1298,28,46
303,46,50,1252,27,46
304,46,50,1206,26,46
305,46,50,1160,25,46
306,46,50,1114,24,45
307,46,50,1068,23,44
308,46,50,1022,22,43
309,46,50,976,21,42
310,46,50,930,20,41
311,46,50,884,19,40
312,46,50,838,18,39
313,46,50,792,17,39
314,46,50,846,18,39
315,46,50,800,17,38
316,46,50,754,16,38
317,46,50,808,17,40
318,46,50,962,20,40
319,46,50,1016,22,39
320,46,50,970,21,39
321,46,50,1024,22,39
322,46,50,978,21,38
323,46,50,932,20,39
324,46,50,1086,23,40
325,46,50,1140,24,41
326,46,50,1194,25,40
327,46,50,1148,24,39
328,46,50,1102,23,40
329,46,50,1256,27,41
330,46,50,1310,28,42
331,46,50,1364,29,42
332,46,50,1318,28,43
333,46,50,1372,29,43
334,46,50,1326,28,43
335,46,50,1280,27,45
336,46,50,1434,31,45
337,46,50,1388,30,46
338,46,50,1442,31,46
339,47,50,1396,29,47
340,48,50,1349,28,48
341,49,50,1301,26,49
342,49,50,1252,25,49
343,49,50,1203,24,48
344,49,50,1154,23,47
345,49,50,1105,22,46
346,49,50,1056,21,45
347,49,50,1007,20,44
348,49,50,958,19,43
349,49,50,909,18,42
350,49,50,860,17,41
351,49,50,811,16,41
352,49,50,862,17,42
353,49,50,913,18,43
354,49,50,964,19,42
355,49,50,915,18,41
356,49,50,866,17,42
357,49,50,1017,20,43
358,49,50,1068,21,43
359,49,50,1119,22,42
360,49,50,1070,21,41
361,49,50,1021,20,42
362,49,50,1172,23,43
363,49,50,1223,24,42
364,49,50,1174,23,42
365,49,50,1225,25,43
366,49,50,1276,26,43
367,49,50,1327,27,43
368,49,50,1278,26,44
369,49,50,1329,27,45
370,49,50,1380,28,46
371,49,50,1431,29,46
372,49,50,1382,28,46
373,49,50,1333,27,47
374,49,50,1384,28,47
375,49,50,1335,27,48
376,49,50,1386,28,48
377,49,50,1337,27,48
378,49,50,1288,26,48
379,49,50,1239,25,49
380,49,50,1290,26,48
381,49,50,1241,25,48
382,49,50,1192,24,47
383,49,50,1143,23,46
384,49,50,1094,22,45
385,49,50,1045,21,45
386,49,50,1096,22,45
387,49,50,1047,21,44
388,49,50,998,20,43
389,49,50,949,19,42
390,49,50,900,18,42
391,49,50,951,19,43
392,49,50,1002,20,44
393,49,50,1053,21,44
394,49,50,1104,22,44
395,49,50,1155,23,44
396,49,50,1106,22,43
397,49,50,1057,21,42
398,49,50,1008,20,42
399,49,50,1059,21,42
400,49,50,1010,20,42
401,49,50,1061,21,43
402,49,50,1112,22,42
403,49,50,1063,21,43
404,49,50,1214,24,43
405,49,50,1165,23,43
406,49,50,1216,24,43
407,49,50,1167,23,43
408,49,50,1218,24,43
409,49,50,1169,23,43
410,49,50,1220,24,43
411,49,50,1171,23,43
412,49,50,1222,24,44
413,49,50,1273,25,43
414,49,50,1224,24,44
415,49,50,1375,28,44
416,49,50,1326,27,45
417,49,50,1377,28,45
418,49,50,1328,27,45
419,49,50,1279,26,45
420,49,50,1230,25,45
421,49,50,1181,24,45
422,49,50,1232,25,48
423,49,50,1483,30,48
424,49,50,1434,29,48
425,49,50,1385,28,48
426,49,50,1336,27,49
427,49,50,1387,28,49
428,49,50,1338,27,49
429,49,50,1289,26,49
430,49,50,1240,25,49
431,49,50,1191,24,48
432,49,50,1142,23,47
433,49,50,1093,22,46
434,49,50,1044,21,45
435,49,50,995,20,44
436,49,50,946,19,43
437,49,50,897,18,43
438,49,50,948,19,43
439,49,50,899,18,42
440,49,50,850,17,42
441,49,50,901,18,43
442,49,50,952,19,43
443,49,50,1003,20,43
444,49,50,954,19,43
445,49,50,1005,20,42
446,49,50,956,19,42
447,49,50,1007,20,42
448,49,50,958,19,41
449,49,50,909,18,41
450,49,50,960,19,42
451,49,50,1011,20,43
452,49,50,1062,21,42
453,49,50,1013,20,42
454,49,50,1064,21,42
455,49,50,1115,22,43
456,49,50,1166,23,42
457,49,50,1117,22,41
458,49,50,1068,21,42
459,49,50,1219,24,43
460,49,50,1270,25,43
461,49,50,1221,24,43
462,49,50,1272,25,42
463,49,50,1223,24,41
464,49,50,1174,23,40
465,49,50,1125,22,42
466,49,50,1376,28,43
467,49,50,1427,29,43
468,49,50,1378,28,43
469,49,50,1329,27,44
470,49,50,1380,28,46
471,49,50,1531,31,47
472,49,50,1582,32,47
473,49,50,1533,31,48
474,49,50,1584,32,48
475,49,50,1535,31,48
476,50,50,1486,29,49
477,51,50,1436,28,50
478,52,50,1385,26,52
479,52,50,1433,27,52
480,52,50,1381,26,52
481,52,50,1329,25,52
482,52,50,1277,24,51
483,52,50,1225,23,50
484,52,50,1173,22,49
485,52,50,1121,21,48
486,52,50,1069,20,47
487,52,50,1017,19,46
488,52,50,965,18,45
489,52,50,913,17,45
490,52,50,961,18,45
491,52,50,909,17,45
492,52,50,957,18,45
493,52,50,905,17,45
494,52,50,953,18,46
495,52,50,1001,19,46
496,52,50,949,18,47
497,52,50,1097,21,47
498,52,50,1045,20,47
499,52,50,1093,21,46
500,52,50,1041,20,47
501,52,50,1189,22,48
502,52,50,1237,23,47
503,52,50,1185,22,47
504,52,50,1233,23,47
505,52,50,1181,22,46
506,52,50,1129,21,45
507,52,50,1077,20,45
508,52,50,1125,21,46
509,52,50,1173,22,46
510,52,50,1221,23,45
511,52,50,1169,22,45
512,52,50,1217,23,45
513,52,50,1165,22,44
514,52,50,1113,21,44
515,52,50,1161,22,45
516,52,50,1209,23,47
517,52,50,1457,28,47
518,52,50,1405,27,48
519,52,50,1453,27,48
520,52,50,1401,26,49
521,52,50,1449,27,49
522,52,50,1397,26,49
523,52,50,1345,25,51
524,52,50,1493,28,50
525,52,50,1441,27,50
526,52,50,1389,26,50
527,52,50,1337,25,51
528,52,50,1385,26,50
529,52,50,1333,25,50
530,52,50,1281,24,49
531,52,50,1229,23,49
532,52,50,1277,24,49
533,52,50,1225,23,49
534,52,50,1273,24,49
535,52,50,1221,23,48
536,52,50,1169,22,47
537,52,50,1117,21,46
538,52,50,1065,20,45
539,52,50,1013,19,45
540,52,50,1061,20,46
541,52,50,1109,21,46
542,52,50,1057,20,45
543,52,50,1005,19,44
544,52,50,953,18,45
545,52,50,1101,21,46
546,52,50,1149,22,45
