timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,5
2,20,0,1960,98,5
3,20,0,1940,97,5
4,20,0,1920,96,5
5,20,0,1900,95,5
6,20,0,1880,94,6
7,20,0,1960,98,6
8,20,0,1940,97,6
9,20,0,1920,96,6
10,21,0,1900,90,7
11,22,0,1879,85,8
12,23,0,1957,85,7
13,24,0,1934,80,7
14,25,0,1910,76,8
15,26,0,1985,76,9
16,27,0,2059,76,9
17,28,0,2132,76,8
18,29,0,2104,72,10
19,30,0,2175,72,10
20,31,0,2245,72,10
21,32,0,2314,72,10
22,33,0,2382,72,10
23,34,0,2449,72,12
24,35,0,2515,71,10
25,36,0,2480,68,11
26,37,0,2544,68,14
27,38,0,2907,76,13
28,39,0,2869,73,11
29,40,0,2830,70,11
30,41,0,2790,68,11
31,42,0,2749,65,15
32,43,0,3007,69,13
33,44,0,3064,69,13
34,45,0,3120,69,14
35,46,0,3275,71,14
36,47,0,3329,70,13
37,48,0,3282,68,14
38,49,0,3334,68,15
39,50,0,3485,69,16
40,51,0,3635,71,15
41,52,0,3684,70,15
42,53,0,3732,70,16
43,54,0,3779,69,19
44,55,0,4025,73,21
45,56,0,4070,72,22
46,57,0,4014,70,24
47,57,1,4057,71,25
48,33,26,3990,120,3
49,33,27,4147,125,3
50,31,30,4104,132,3
51,31,31,4263,137,4
52,29,34,4322,149,2
53,28,36,4283,152,2
54,28,37,4345,155,4
55,27,39,4507,166,4
56,25,42,4570,182,2
57,24,44,4535,188,1
58,24,45,4501,187,2
59,24,46,4567,190,4
60,23,48,4733,205,4
61,22,50,4810,218,3
62,23,50,4788,208,5
63,24,50,4865,202,7
64,25,50,4941,197,7
65,26,50,4916,189,9
66,27,50,4990,184,10
67,28,50,5163,184,10
68,29,50,5235,180,8
69,30,50,5206,173,10
70,31,50,5276,170,10
71,32,50,5345,167,11
72,33,50,5413,164,9
73,34,50,5380,158,11
74,35,50,5446,155,12
75,36,50,5511,153,12
76,37,50,5675,153,11
77,38,50,5638,148,11
78,39,50,5600,143,13
79,40,50,5761,144,13
80,41,50,5921,144,13
81,42,50,5980,142,12
82,43,50,5938,138,13
83,44,50,5995,136,13
84,45,50,6051,134,14
85,46,50,6206,134,14
86,47,50,6260,133,15
87,48,50,6313,131,14
88,49,50,6365,129,13
89,50,50,6316,126,16
90,51,50,6466,126,17
91,52,50,6715,129,14
92,53,50,6663,125,15
93,54,50,6610,122,15
94,55,50,6556,119,17
95,56,50,6701,119,17
96,57,50,6845,120,16
97,58,50,6788,117,16
98,59,50,6730,114,17
99,60,50,6771,112,18
100,61,50,6911,113,19
101,62,50,7050,113,18
102,63,50,6988,110,18
103,64,50,7025,109,18
104,65,50,7061,108,18
105,66,50,7096,107,19
106,67,50,7130,106,20
107,68,50,7263,106,20
108,69,50,7395,107,18
109,70,50,7326,104,20
110,71,50,7356,103,21
111,72,50,7485,103,22
112,73,50,7713,105,21
113,74,50,7640,103,21
114,75,50,7666,102,22
115,76,50,7791,102,22
116,77,50,7915,102,22
117,78,50,8038,103,21
118,79,50,7960,100,23
119,80,50,8081,101,23
120,81,50,8101,100,22
121,82,50,8020,97,23
122,83,50,8038,96,24
123,84,50,8155,97,25
124,85,50,8371,98,25
125,86,50,8386,97,23
126,87,50,8300,95,24
127,88,50,8313,94,26
128,89,50,8525,95,26
129,90,50,8536,94,25
130,91,50,8546,93,26
131,92,50,8655,94,26
132,93,50,8663,93,27
133,94,50,8770,93,27
134,95,50,8776,92,26
135,96,50,8781,91,27
136,97,50,8885,91,25
137,98,50,8788,89,28
138,99,50,8890,89,29
139,100,50,9091,90,26
140,101,50,8991,89,26
141,102,50,8890,87,27
142,103,50,8788,85,29
143,104,50,8885,85,30
144,105,50,8981,85,28
145,106,50,8876,83,28
146,107,50,8770,81,29
147,108,50,8763,81,31
148,109,50,8955,82,29
149,110,50,8946,81,29
150,111,50,8836,79,30
151,112,50,8825,78,30
152,113,50,8813,77,32
153,114,50,8900,78,31
154,115,50,8886,77,31
155,116,50,8871,76,31
156,117,50,8855,75,31
157,118,50,8738,74,33
158,119,50,8820,74,34
159,120,50,9001,75,31
160,121,50,8881,73,31
161,122,50,8760,71,32
162,123,50,8638,70,34
163,124,50,8715,70,34
164,125,50,8791,70,33
165,126,50,8666,68,33
166,127,50,8540,67,34
167,128,50,8513,66,36
168,129,50,8685,67,34
169,130,50,8656,66,34
170,131,50,8526,65,35
171,132,50,8495,64,35
172,133,50,8463,63,37
173,134,50,8530,63,36
174,135,50,8496,62,36
175,136,50,8461,62,36
176,137,50,8425,61,35
177,138,50,8288,60,38
178,139,50,8350,60,39
179,140,50,8511,60,36
180,141,50,8371,59,37
181,142,50,8230,57,37
182,143,50,8088,56,39
183,144,50,8145,56,40
184,145,50,8201,56,37
185,146,50,8056,55,38
186,147,50,7910,53,39
187,148,50,7863,53,40
188,149,50,7915,53,40
189,150,50,7966,53,39
190,151,50,7816,51,40
191,152,50,7765,51,40
192,153,50,7713,50,40
193,154,50,7560,49,42
194,155,50,7606,49,42
195,156,50,7651,49,42
196,157,50,7695,49,41
197,158,50,7538,47,42
198,159,50,7480,47,43
199,160,50,7521,47,43
200,161,50,7561,46,42
201,162,50,7400,45,42
202,163,50,7238,44,44
203,164,50,7275,44,44
204,165,50,7311,44,43
205,166,50,7246,43,43
206,167,50,7080,42,45
207,168,50,7113,42,46
208,169,50,7245,42,44
209,170,50,7176,42,44
210,171,50,7006,40,45
211,172,50,6935,40,45
212,173,50,6863,39,47
213,174,50,6990,40,47
214,175,50,7016,40,46
215,176,50,6941,39,46
216,177,50,6865,38,46
217,178,50,6688,37,48
218,179,50,6710,37,49
219,180,50,6831,37,46
220,181,50,6651,36,47
221,182,50,6470,35,47
222,183,50,6288,34,49
223,184,50,6305,34,49
224,185,50,6321,34,47
225,186,50,6136,32,48
226,187,50,5950,31,49
227,188,50,5863,31,50
228,189,50,5875,31,51
229,190,50,5886,30,49
230,191,50,5696,29,50
231,192,50,5605,29,50
232,193,50,5513,28,49
233,194,50,5320,27,52
234,195,50,5326,27,52
235,196,50,5331,27,52
236,197,50,5335,27,50
237,198,50,5138,25,52
238,198,50,5040,25,31
239,198,50,4942,24,33
240,198,50,5044,25,30
241,198,50,4846,24,30
242,198,50,4648,23,31
243,198,50,4550,22,32
244,198,50,4552,22,31
245,198,50,4454,22,30
246,198,50,4256,21,32
247,198,50,4258,21,32
248,198,50,4260,21,31
249,198,50,4162,21,32
250,198,50,4164,21,31
251,198,50,4066,20,31
252,198,50,3968,20,31
253,198,50,3870,19,31
254,198,50,3772,19,34
255,198,50,3974,20,31
256,198,50,3876,19,31
257,198,50,3778,19,30
258,198,50,3580,18,32
259,198,50,3582,18,33
260,198,50,3684,18,31
261,198,50,3486,17,30
262,198,50,3288,16,32
263,198,50,3290,16,34
264,198,50,3392,17,31
265,198,50,3294,16,31
266,198,50,3196,16,31
267,198,50,3098,15,31
268,198,50,3000,15,32
269,198,50,3002,15,31
270,198,50,2904,14,31
271,198,50,2806,14,11
272,198,50,2708,13,10
273,198,50,2510,12,11
274,198,50,2412,12,12
275,198,50,2414,12,11
276,198,50,2316,11,11
277,197,51,2218,11,9
278,196,52,2021,10,11
279,195,53,2125,10,10
280,194,54,2030,10,9
281,193,55,1836,9,8
282,192,56,1643,8,7
283,191,57,1451,7,9
284,190,58,1560,8,11
285,189,59,1670,8,10
286,188,60,1581,8,9
287,187,61,1393,7,8
288,186,62,1206,6,9
289,185,63,1220,6,10
290,184,64,1235,6,10
291,183,65,1151,6,9
292,182,66,968,5,9
293,181,67,886,4,9
294,180,68,805,4,9
295,179,69,725,4,9
296,178,70,646,3,9
297,177,71,568,3,9
298,176,72,491,2,8
299,175,73,315,1,7
300,174,74,140,0,8
301,0,248,-34,0,6
302,0,248,-34,0,6
303,0,248,-34,0,6
304,0,248,-34,0,6
305,0,248,-34,0,6
