timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,20
2,20,0,1960,98,20
3,20,0,1940,97,20
4,20,0,1920,96,20
5,20,0,1900,95,20
6,20,0,1880,94,20
7,20,0,1860,93,20
8,20,0,1840,92,20
9,20,0,1820,91,20
10,21,0,1800,85,21
11,22,0,1779,80,22
12,23,0,1757,76,23
13,24,0,1734,72,24
14,25,0,1710,68,25
15,26,0,1685,64,26
16,27,0,1659,61,27
17,28,0,1632,58,28
18,29,0,1604,55,29
19,30,0,1575,52,30
20,31,0,1545,49,31
21,32,0,1514,47,32
22,33,0,1482,44,33
23,34,0,1449,42,34
24,35,0,1415,40,35
25,36,0,1380,38,36
26,37,0,1344,36,37
27,38,0,1307,34,38
28,39,0,1269,32,39
29,40,0,1230,30,40
30,41,0,1190,29,41
31,42,0,1149,27,42
32,43,0,1107,25,43
33,43,0,1064,24,42
34,43,0,1021,23,41
35,43,0,978,22,40
36,43,0,935,21,39
37,43,0,892,20,38
38,43,0,849,19,38
39,43,0,906,21,38
40,43,0,863,20,37
41,43,0,820,19,36
42,43,0,777,18,36
43,43,0,834,19,37
44,43,0,891,20,37
45,43,0,848,19,37
46,43,0,905,21,36
47,43,0,862,20,37
48,43,0,1019,23,38
49,43,0,1076,25,39
50,43,0,1133,26,40
51,43,0,1190,27,41
52,43,0,1247,29,41
53,43,0,1204,28,41
54,43,0,1161,27,42
55,43,0,1218,28,42
56,43,0,1175,27,43
57,43,0,1232,28,43
58,43,0,1189,27,43
59,43,0,1146,26,43
60,43,0,1103,25,43
61,43,0,1060,24,42
62,43,0,1017,23,41
63,43,0,974,22,40
64,43,0,931,21,39
65,43,0,888,20,38
66,43,0,845,19,38
67,43,0,902,20,38
68,43,0,859,19,37
69,43,0,816,18,36
70,43,0,773,17,36
71,43,0,830,19,37
72,43,0,887,20,37
73,43,0,844,19,37
74,43,0,901,20,37
75,43,0,858,19,37
76,43,0,915,21,36
77,43,0,872,20,36
78,43,0,929,21,39
79,43,0,1186,27,39
80,43,0,1243,28,39
81,43,0,1200,27,40
82,43,0,1257,29,40
83,43,0,1214,28,40
84,43,0,1171,27,41
85,43,0,1228,28,41
86,43,0,1185,27,41
87,43,0,1142,26,41
88,43,0,1099,25,43
89,43,0,1256,29,43
90,43,0,1213,28,43
91,43,0,1170,27,43
92,43,0,1127,26,43
93,43,0,1084,25,43
94,43,0,1041,24,42
95,43,0,998,23,41
96,43,0,955,22,40
97,43,0,912,21,39
98,43,0,869,20,38
99,43,0,826,19,38
100,43,0,883,20,38
101,43,0,840,19,37
102,43,0,797,18,37
103,43,0,854,19,37
104,43,0,811,18,37
105,43,0,868,20,38
106,43,0,925,21,37
107,43,0,882,20,37
108,43,0,939,21,37
109,43,0,896,20,36
110,43,0,853,19,37
111,43,0,1010,23,38
112,43,0,1067,24,37
113,43,0,1024,23,36
114,43,0,981,22,35
115,43,0,938,21,36
116,43,0,1095,25,36
117,43,0,1052,24,36
118,43,0,1109,25,37
119,43,0,1166,27,36
120,43,0,1123,26,37
121,43,0,1180,27,38
122,43,0,1237,28,38
123,43,0,1194,27,39
124,43,0,1251,29,40
125,43,0,1308,30,40
126,43,0,1265,29,42
127,43,0,1422,33,42
128,43,0,1379,32,43
129,43,0,1436,33,43
130,43,0,1393,32,43
131,44,0,1350,30,44
132,45,0,1306,29,45
133,46,0,1261,27,46
134,47,0,1215,25,47
135,47,0,1168,24,46
136,47,0,1121,23,45
137,47,0,1074,22,44
138,47,0,1027,21,43
139,47,0,980,20,42
140,47,0,933,19,42
141,47,0,986,20,42
142,47,0,939,19,41
143,47,0,892,18,40
144,47,0,845,17,39
145,47,0,798,16,39
146,47,0,851,18,40
147,47,0,904,19,40
148,47,0,957,20,41
149,47,0,1010,21,40
150,47,0,963,20,40
151,47,0,1016,21,40
152,47,0,1069,22,41
153,47,0,1122,23,41
154,47,0,1175,25,42
155,47,0,1228,26,42
156,47,0,1181,25,42
157,47,0,1134,24,41
158,47,0,1087,23,42
159,47,0,1240,26,42
160,47,0,1193,25,43
161,47,0,1246,26,44
162,47,0,1399,29,45
163,47,0,1452,30,45
164,47,0,1405,29,45
165,47,0,1358,28,45
166,47,0,1311,27,45
167,47,0,1264,26,46
168,47,0,1317,28,46
169,47,0,1270,27,46
170,47,0,1223,26,47
171,47,0,1276,27,47
172,47,0,1229,26,47
173,47,0,1182,25,47
174,47,0,1135,24,46
175,47,0,1088,23,45
176,47,0,1041,22,44
177,47,0,994,21,43
178,47,0,947,20,42
179,47,0,900,19,42
180,47,0,953,20,42
181,47,0,906,19,41
182,47,0,859,18,40
183,47,0,812,17,39
184,47,0,765,16,38
185,47,0,718,15,38
186,47,0,771,16,40
187,47,0,924,19,41
188,47,0,977,20,40
189,47,0,930,19,40
190,47,0,983,20,39
191,47,0,936,19,38
192,47,0,889,18,38
193,47,0,942,20,39
194,47,0,995,21,40
195,47,0,1048,22,39
196,47,0,1001,21,40
197,47,0,1154,24,41
198,47,0,1207,25,40
199,47,0,1160,24,41
200,47,0,1313,27,42
201,47,0,1366,29,42
202,47,0,1319,28,42
203,47,0,1272,27,43
204,47,0,1325,28,45
205,47,0,1478,31,46
206,47,0,1531,32,46
207,47,0,1484,31,46
208,47,0,1437,30,47
209,47,0,1490,31,47
210,48,0,1443,30,48
211,49,0,1395,28,49
212,50,0,1346,26,50
213,50,0,1296,25,50
214,50,0,1246,24,49
215,50,0,1196,23,48
216,50,0,1146,22,47
217,50,0,1096,21,46
218,50,0,1046,20,45
219,50,0,996,19,45
220,50,0,1046,20,45
221,50,0,996,19,44
222,50,0,946,18,44
223,50,0,996,19,44
224,50,0,946,18,43
225,50,0,896,17,43
226,50,0,946,18,44
227,50,0,996,19,45
228,50,0,1046,20,45
229,50,0,1096,21,45
230,50,0,1146,22,46
231,50,0,1196,23,46
232,50,0,1146,22,45
233,50,0,1096,21,45
234,50,0,1146,22,46
235,50,0,1196,23,45
236,50,0,1146,22,44
237,50,0,1096,21,45
238,50,0,1246,24,45
239,50,0,1196,23,44
240,50,0,1146,22,44
241,50,0,1196,23,44
242,50,0,1146,22,43
243,50,0,1096,21,42
244,50,0,1046,20,43
245,50,0,1196,23,43
246,50,0,1146,22,44
247,50,0,1296,25,44
248,50,0,1346,26,43
249,50,0,1296,25,44
250,50,0,1346,26,43
251,50,0,1296,25,44
252,50,0,1346,26,46
253,50,0,1496,29,46
254,50,0,1446,28,46
255,50,0,1396,27,48
256,50,0,1546,30,48
257,50,0,1496,29,49
258,50,0,1546,30,49
259,50,0,1496,29,49
260,50,0,1446,28,49
261,50,0,1396,27,50
262,50,0,1446,28,50
263,51,0,1396,27,51
264,52,0,1345,25,52
265,52,0,1293,24,51
266,52,0,1241,23,50
267,52,0,1189,22,49
268,52,0,1137,21,48
269,52,0,1085,20,47
270,52,0,1033,19,47
271,52,0,1081,20,47
272,52,0,1029,19,46
273,52,0,977,18,45
274,52,0,925,17,45
275,52,0,973,18,46
276,52,0,1021,19,46
277,52,0,969,18,46
278,52,0,1017,19,47
279,52,0,1065,20,46
280,52,0,1013,19,46
281,52,0,1061,20,48
282,52,0,1209,23,48
283,52,0,1157,22,48
284,52,0,1205,23,47
285,52,0,1153,22,46
286,52,0,1101,21,46
287,52,0,1149,22,46
288,52,0,1097,21,46
289,52,0,1145,22,47
290,52,0,1193,22,46
291,52,0,1141,21,46
292,52,0,1189,22,47
293,52,0,1237,23,47
294,52,0,1185,22,47
295,52,0,1233,23,48
296,52,0,1281,24,49
297,52,0,1329,25,48
298,52,0,1277,24,47
299,52,0,1225,23,48
300,52,0,1373,26,48
301,52,0,1321,25,48
302,52,0,1269,24,48
303,52,0,1317,25,47
304,52,0,1265,24,46
305,52,0,1213,23,46
306,52,0,1261,24,46
307,52,0,1209,23,46
308,52,0,1257,24,47
309,52,0,1305,25,47
310,52,0,1353,26,48
311,52,0,1401,26,48
312,52,0,1349,25,49
313,52,0,1397,26,49
314,52,0,1345,25,50
315,52,0,1393,26,50
316,52,0,1341,25,51
317,52,0,1389,26,51
318,52,0,1437,27,51
319,52,0,1385,26,51
320,52,0,1333,25,51
321,52,0,1281,24,50
322,52,0,1229,23,50
323,52,0,1277,24,50
324,52,0,1225,23,49
325,52,0,1173,22,48
326,52,0,1121,21,48
327,52,0,1169,22,48
328,52,0,1117,21,47
329,52,0,1065,20,46
330,52,0,1013,19,45
331,52,0,961,18,46
332,52,0,1109,21,46
333,52,0,1057,20,45
334,52,0,1005,19,45
335,52,0,1053,20,47
336,52,0,1201,23,47
337,52,0,1149,22,47
338,52,0,1197,23,48
339,52,0,1245,23,47
340,52,0,1193,22,47
341,52,0,1241,23,46
342,52,0,1189,22,47
343,52,0,1337,25,47
344,52,0,1285,24,46
345,52,0,1233,23,45
346,52,0,1181,22,44
347,52,0,1129,21,44
348,52,0,1177,22,45
349,52,0,1225,23,47
350,52,0,1373,26,46
351,52,0,1321,25,46
352,52,0,1269,24,46
353,52,0,1317,25,46
354,52,0,1365,26,47
355,52,0,1413,27,48
356,52,0,1461,28,48
357,52,0,1409,27,49
358,52,0,1457,28,50
359,52,0,1505,28,50
360,52,0,1453,27,50
361,52,0,1401,26,51
362,52,0,1449,27,52
363,52,0,1497,28,52
364,52,0,1445,27,52
365,52,0,1393,26,52
366,52,0,1341,25,52
367,52,0,1289,24,51
368,52,0,1237,23,50
369,52,0,1185,22,49
370,52,0,1133,21,48
371,52,0,1081,20,47
372,52,0,1029,19,47
373,52,0,1077,20,47
374,52,0,1025,19,46
375,52,0,973,18,46
376,52,0,1021,19,46
377,52,0,969,18,45
378,52,0,917,17,45
379,52,0,965,18,47
380,52,0,1113,21,48
381,52,0,1161,22,47
382,52,0,1109,21,46
383,52,0,1057,20,47
384,52,0,1205,23,47
385,52,0,1153,22,46
386,52,0,1101,21,46
387,52,0,1149,22,46
388,52,0,1097,21,45
389,52,0,1045,20,44
390,52,0,993,19,45
391,52,0,1141,21,46
392,52,0,1189,22,47
393,52,0,1337,25,46
394,52,0,1285,24,45
395,52,0,1233,23,44
396,52,0,1181,22,43
397,52,0,1129,21,45
398,52,0,1377,26,46
399,52,0,1425,27,47
400,52,0,1473,28,47
401,52,0,1421,27,48
402,52,0,1469,28,49
403,52,0,1517,29,49
404,52,0,1465,28,50
405,52,0,1513,29,50
406,52,0,1461,28,50
407,52,0,1409,27,50
408,52,0,1357,26,51
409,52,0,1405,27,51
410,52,0,1353,26,51
411,52,0,1301,25,51
412,52,0,1249,24,50
413,52,0,1197,23,50
414,52,0,1245,23,49
415,52,0,1193,22,48
416,52,0,1141,21,47
417,52,0,1089,20,47
418,52,0,1137,21,47
419,52,0,1085,20,46
420,52,0,1033,19,45
421,52,0,981,18,44
422,52,0,929,17,44
423,52,0,977,18,45
424,52,0,1025,19,45
425,52,0,1073,20,45
426,52,0,1021,19,44
427,52,0,969,18,45
428,52,0,1117,21,45
429,52,0,1065,20,44
430,52,0,1013,19,43
431,52,0,961,18,44
432,52,0,1109,21,45
433,52,0,1157,22,45
434,52,0,1205,23,47
435,52,0,1353,26,46
436,52,0,1301,25,47
437,52,0,1349,25,47
438,52,0,1297,24,47
439,52,0,1345,25,47
440,52,0,1393,26,47
441,52,0,1441,27,47
442,52,0,1389,26,49
443,52,0,1537,29,49
444,52,0,1485,28,49
445,52,0,1433,27,49
446,52,0,1381,26,49
447,52,0,1329,25,50
448,52,0,1377,26,50
449,52,0,1425,27,51
450,52,0,1473,28,51
451,52,0,1421,27,51
452,52,0,1369,26,51
453,52,0,1317,25,51
454,52,0,1265,24,50
455,52,0,1213,23,49
456,52,0,1161,22,48
457,52,0,1109,21,48
458,52,0,1157,22,48
459,52,0,1105,21,48
460,52,0,1153,22,48
461,52,0,1101,21,47
462,52,0,1049,20,46
463,52,0,997,19,45
464,52,0,945,18,46
465,52,0,1093,21,47
466,52,0,1141,21,47
467,52,0,1189,22,47
468,52,0,1237,23,46
469,52,0,1185,22,45
470,52,0,1133,21,44
471,52,0,1081,20,44
472,52,0,1129,21,46
473,52,0,1277,24,45
474,52,0,1225,23,44
475,52,0,1173,22,44
476,52,0,1221,23,45
477,52,0,1269,24,47
478,52,0,1417,27,47
479,52,0,1465,28,47
480,52,0,1413,27,48
481,52,0,1461,28,48
482,52,0,1409,27,49
483,52,0,1457,28,51
484,52,0,1605,30,51
485,52,0,1553,29,51
486,52,0,1501,28,52
487,52,0,1549,29,52
488,53,0,1497,28,53
489,54,0,1444,26,54
490,54,0,1390,25,54
491,54,0,1336,24,53
492,54,0,1282,23,52
493,54,0,1228,22,51
494,54,0,1174,21,50
495,54,0,1120,20,49
496,54,0,1066,19,49
497,54,0,1112,20,49
498,54,0,1058,19,48
499,54,0,1004,18,47
500,54,0,950,17,46
501,54,0,896,16,46
502,54,0,942,17,47
503,54,0,988,18,47
504,54,0,1034,19,48
505,54,0,1080,20,47
506,54,0,1026,19,46
507,54,0,972,18,46
508,54,0,1018,18,47
509,54,0,1064,19,47
510,54,0,1110,20,49
511,54,0,1256,23,50
512,54,0,1302,24,50
513,54,0,1348,24,50
514,54,0,1294,23,50
515,54,0,1340,24,50
516,54,0,1386,25,51
517,54,0,1432,26,50
518,54,0,1378,25,50
519,54,0,1324,24,50
520,54,0,1370,25,50
521,54,0,1316,24,50
522,54,0,1362,25,50
523,54,0,1308,24,49
524,54,0,1254,23,48
525,54,0,1200,22,47
526,54,0,1146,21,48
527,54,0,1292,23,48
528,54,0,1238,22,48
529,54,0,1284,23,48
530,54,0,1230,22,48
531,54,0,1276,23,48
532,54,0,1222,22,47
533,54,0,1168,21,46
534,54,0,1114,20,47
535,54,0,1260,23,50
536,54,0,1506,27,50
537,54,0,1452,26,51
538,54,0,1498,27,51
539,54,0,1444,26,51
540,54,0,1390,25,51
