timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,5
2,20,0,1960,98,5
3,20,0,1940,97,5
4,20,0,1920,96,5
5,20,0,1900,95,5
6,20,0,1880,94,6
7,20,0,1960,98,6
8,20,0,1940,97,6
9,20,0,1920,96,6
10,21,0,1900,90,7
11,22,0,1879,85,7
12,23,0,1857,80,7
13,24,0,1834,76,8
14,25,0,1910,76,9
15,26,0,1985,76,8
16,27,0,1959,72,9
17,28,0,2032,72,9
18,29,0,2104,72,9
19,30,0,2175,72,9
20,31,0,2145,69,9
21,32,0,2114,66,11
22,33,0,2282,69,11
23,34,0,2449,72,11
24,35,0,2415,69,10
25,36,0,2380,66,12
26,37,0,2544,68,15
27,38,0,2807,73,13
28,39,0,2769,71,13
29,40,0,2930,73,13
30,41,0,3090,75,11
31,42,0,3049,72,14
32,43,0,3207,74,15
33,44,0,3264,74,14
34,45,0,3420,76,13
35,46,0,3475,75,14
36,47,0,3529,75,14
37,48,0,3582,74,15
38,49,0,3734,76,15
39,50,0,3885,77,16
40,51,0,4035,79,15
41,52,0,4084,78,15
42,53,0,4132,77,17
43,54,0,4279,79,16
44,55,0,4325,78,17
45,56,0,4470,79,17
46,57,0,4514,79,17
47,58,0,4557,78,18
48,59,0,4699,79,20
49,60,0,4840,80,18
50,61,0,4980,81,18
51,62,0,5019,80,19
52,63,0,5157,81,18
53,64,0,5194,81,17
54,65,0,5130,78,22
55,66,0,5565,84,23
56,67,0,5799,86,18
57,68,0,5732,84,20
58,69,0,5864,84,20
59,70,0,5995,85,19
60,71,0,5925,83,21
61,72,0,6054,84,19
62,73,0,5982,81,20
63,74,0,6009,81,23
64,75,0,6235,83,22
65,76,0,6360,83,21
66,77,0,6284,81,20
67,78,0,6207,79,23
68,79,0,6329,80,23
69,80,0,6450,80,23
70,81,0,6570,81,23
71,82,0,6589,80,24
72,83,0,6707,80,24
73,84,0,6824,81,23
74,85,0,6840,80,24
75,86,0,6955,80,26
76,87,0,7169,82,25
77,88,0,7282,82,25
78,89,0,7294,81,26
79,90,0,7505,83,25
80,91,0,7515,82,25
81,92,0,7524,81,27
82,93,0,7732,83,27
83,94,0,7739,82,28
84,95,0,7845,82,28
85,96,0,8050,83,28
86,97,0,8254,85,25
87,98,0,8157,83,28
88,99,0,8259,83,30
89,100,0,8560,85,27
90,101,0,8560,84,28
91,102,0,8659,84,29
92,103,0,8757,85,29
93,104,0,8854,85,30
94,105,0,9050,86,29
95,106,0,9045,85,29
96,107,0,9039,84,30
97,108,0,9132,84,31
98,109,0,9324,85,29
99,110,0,9315,84,31
100,111,0,9405,84,34
101,112,0,9794,87,32
102,113,0,9982,88,32
103,114,0,9969,87,31
104,115,0,9955,86,33
105,116,0,10140,87,33
106,117,0,10324,88,33
107,118,0,10407,88,33
108,119,0,10489,88,32
109,120,0,10470,87,33
110,121,0,10550,87,32
111,122,0,10529,86,33
112,123,0,10507,85,35
113,124,0,10684,86,33
114,125,0,10660,85,34
115,126,0,10635,84,34
116,127,0,10609,83,35
117,128,0,10682,83,35
118,129,0,10754,83,35
119,130,0,10825,83,36
120,131,0,10895,83,37
121,132,0,11064,83,34
122,133,0,10932,82,36
123,134,0,10899,81,37
124,135,0,10965,81,38
125,136,0,11130,81,36
126,137,0,11094,80,38
127,138,0,11257,81,37
128,139,0,11219,80,36
129,140,0,11080,79,39
130,141,0,11240,79,41
131,142,0,11499,80,37
132,143,0,11357,79,38
133,144,0,11314,78,38
134,145,0,11270,77,39
135,146,0,11325,77,40
136,147,0,11379,77,41
137,148,0,11532,77,40
138,149,0,11484,77,39
139,150,0,11435,76,41
140,151,0,11485,76,39
141,152,0,11334,74,42
142,153,0,11482,75,43
143,154,0,11629,75,43
144,155,0,11675,75,41
145,156,0,11520,73,42
146,157,0,11564,73,45
147,158,0,11807,74,43
148,159,0,11849,74,43
149,160,0,11890,74,44
150,161,0,11930,74,41
151,162,0,11769,72,44
152,163,0,11807,72,44
153,164,0,11744,71,43
154,165,0,11680,70,45
155,166,0,11815,71,46
156,167,0,11949,71,43
157,168,0,11782,70,46
158,169,0,11914,70,46
159,170,0,12045,70,45
160,171,0,11975,70,45
161,172,0,11904,69,46
162,173,0,11932,68,50
163,174,0,12259,70,47
164,175,0,12285,70,48
165,176,0,12310,69,49
166,177,0,12534,70,48
167,178,0,12557,70,49
168,179,0,12579,70,49
169,180,0,12700,70,47
170,181,0,12620,69,49
171,182,0,12739,69,51
172,183,0,12957,70,49
173,184,0,12874,69,48
174,185,0,12790,69,51
175,186,0,12905,69,49
176,187,0,12819,68,51
177,188,0,12932,68,49
178,189,0,12844,67,49
179,190,0,12755,67,52
180,191,0,12865,67,50
181,192,0,12774,66,50
182,193,0,12682,65,52
183,194,0,12789,65,52
184,195,0,12695,65,53
185,196,0,12800,65,53
186,197,0,12804,64,51
187,198,0,12707,64,54
188,199,0,12809,64,54
189,200,0,12910,64,52
190,201,0,12710,63,53
191,202,0,12709,62,56
192,203,0,12907,63,56
193,204,0,12904,63,53
194,205,0,12800,62,54
195,206,0,12795,62,55
196,207,0,12789,61,57
197,208,0,12882,61,56
198,209,0,12874,61,55
199,210,0,12765,60,56
200,211,0,12755,60,58
201,212,0,12944,61,54
202,213,0,12732,59,58
203,214,0,12819,59,59
204,215,0,13005,60,56
205,216,0,12890,59,56
206,217,0,12774,58,58
207,218,0,12757,58,58
208,219,0,12739,58,59
209,220,0,12720,57,59
210,221,0,12800,57,58
211,222,0,12779,57,59
212,223,0,12757,57,60
213,224,0,12834,57,58
214,225,0,12710,56,59
215,226,0,12685,56,63
216,227,0,12959,57,60
217,228,0,12832,56,60
218,229,0,12804,55,61
219,230,0,12775,55,60
220,231,0,12645,54,61
221,232,0,12614,54,62
222,233,0,12682,54,62
223,234,0,12649,54,61
224,235,0,12515,53,63
225,236,0,12580,53,61
226,237,0,12444,52,61
227,238,0,12207,51,67
228,239,0,12569,52,65
229,240,0,12630,52,61
230,241,0,12390,51,65
231,242,0,12449,51,64
232,243,0,12407,51,62
233,244,0,12164,49,66
234,245,0,12320,50,63
235,246,0,12175,49,63
236,247,0,11929,48,68
237,248,0,12182,49,65
238,249,0,12134,48,64
239,250,0,11885,47,65
240,251,0,11735,46,65
241,252,0,11584,45,66
242,253,0,11532,45,66
243,254,0,11479,45,67
244,255,0,11425,44,67
245,256,0,11370,44,66
246,257,0,11214,43,67
247,258,0,11157,43,67
248,259,0,10999,42,68
249,260,0,10940,42,68
250,261,0,10880,41,69
251,262,0,10919,41,67
252,263,0,10657,40,68
253,264,0,10494,39,72
254,265,0,10730,40,70
255,266,0,10665,40,69
256,267,0,10499,39,71
257,268,0,10532,39,68
258,269,0,10264,38,69
259,270,0,10095,37,71
260,271,0,10025,36,70
261,272,0,9854,36,72
262,273,0,9882,36,73
263,274,0,9909,36,70
264,275,0,9635,35,73
265,276,0,9660,35,73
266,277,0,9684,34,71
267,278,0,9507,34,73
268,279,0,9429,33,72
269,280,0,9250,33,76
270,281,0,9470,33,74
271,282,0,9389,33,75
272,283,0,9407,33,75
273,284,0,9424,33,73
274,285,0,9240,32,75
275,286,0,9155,32,76
276,287,0,9169,31,77
277,288,0,9082,31,75
278,289,0,8994,31,77
279,290,0,9005,31,75
280,291,0,8815,30,74
281,292,0,8524,29,78
282,293,0,8632,29,76
283,294,0,8539,29,76
284,295,0,8345,28,77
285,296,0,8250,27,76
286,297,0,8054,27,78
287,298,0,7957,26,78
288,298,0,7859,26,76
289,298,0,7661,25,77
290,298,0,7563,25,47
291,298,0,7465,25,48
292,298,0,7467,25,46
293,298,0,7269,24,47
294,298,0,7171,24,48
295,298,0,7173,24,47
296,298,0,7075,23,46
297,298,0,6877,23,47
298,298,0,6779,22,50
299,298,0,6881,23,47
300,298,0,6783,22,46
301,298,0,6585,22,47
302,298,0,6487,21,47
303,298,0,6389,21,48
304,298,0,6391,21,47
305,298,0,6293,21,46
306,298,0,6095,20,47
307,298,0,5997,20,49
308,298,0,6099,20,46
309,298,0,5801,19,48
310,298,0,5803,19,49
311,298,0,5905,19,47
312,298,0,5707,19,46
313,298,0,5509,18,47
314,298,0,5411,18,47
315,298,0,5313,17,46
316,298,0,5115,17,48
317,298,0,5117,17,46
318,298,0,4919,16,47
319,298,0,4821,16,48
320,298,0,4823,16,47
321,298,0,4725,15,46
322,298,0,4527,15,48
323,298,0,4529,15,47
324,298,0,4331,14,47
325,298,0,4233,14,19
326,298,0,4135,13,17
327,298,0,4037,13,16
328,298,0,3839,12,18
329,298,0,3841,12,16
330,298,0,3643,12,17
331,297,1,3545,11,16
332,296,2,3448,11,16
333,295,3,3352,11,15
334,294,4,3157,10,17
335,293,5,3163,10,15
336,292,6,2970,10,16
337,291,7,2878,9,16
338,290,8,2787,9,16
339,289,9,2697,9,15
340,288,10,2508,8,17
341,287,11,2520,8,16
342,286,12,2333,8,16
343,285,13,2247,7,16
344,284,14,2162,7,16
345,283,15,2078,7,15
346,282,16,1895,6,17
347,281,17,1913,6,16
348,280,18,1732,6,16
349,279,19,1652,5,16
350,278,20,1573,5,15
351,277,21,1495,5,14
352,276,22,1318,4,16
353,275,23,1342,4,14
354,274,24,1167,4,15
355,273,25,1093,4,15
356,272,26,1020,3,15
357,271,27,948,3,14
358,270,28,777,2,16
359,269,29,807,3,15
360,268,30,638,2,15
361,267,31,570,2,16
362,266,32,503,1,15
363,265,33,437,1,14
364,264,34,272,1,16
365,263,35,308,1,16
366,262,36,145,0,15
367,0,298,-117,0,13
368,0,298,-117,0,13
369,0,298,-117,0,13
370,0,298,-117,0,13
371,0,298,-117,0,13
