timestep,alive_queen1,dead_queen1,food_queen1,health_queen1,presence_queen1
1,20,0,1980,99,5
2,20,0,1960,98,5
3,20,0,1940,97,5
4,20,0,1920,96,5
5,20,0,1900,95,5
6,20,0,1880,94,6
7,20,0,1960,98,6
8,20,0,1940,97,6
9,20,0,1920,96,6
10,21,0,1900,90,11
11,22,0,2279,103,9
12,23,0,2257,98,8
13,24,0,2334,97,8
14,25,0,2310,92,9
15,26,0,2385,91,8
16,27,0,2359,87,11
17,28,0,2632,94,11
18,29,0,2604,89,11
19,30,0,2875,95,10
20,31,0,2845,91,11
21,32,0,3014,94,9
22,33,0,2982,90,12
23,34,0,3249,95,11
24,35,0,3315,94,10
25,36,0,3280,91,11
26,37,0,3344,90,10
27,38,0,3307,87,15
28,39,0,3669,94,16
29,40,0,3830,95,14
30,41,0,3890,94,13
31,42,0,3849,91,12
32,43,0,3807,88,13
33,44,0,3864,87,15
34,45,0,4120,91,15
35,46,0,4175,90,15
36,47,0,4329,92,15
37,48,0,4382,91,14
38,49,0,4434,90,15
39,50,0,4585,91,14
40,51,0,4535,88,17
41,52,0,4784,92,16
42,53,0,4832,91,18
43,54,0,5179,95,18
44,55,0,5225,95,16
45,56,0,5270,94,17
46,57,0,5414,94,16
47,58,0,5357,92,18
48,59,0,5499,93,20
49,60,0,5640,94,16
50,61,0,5580,91,18
51,62,0,5619,90,20
52,63,0,5857,92,21
53,64,0,6094,95,19
54,65,0,6230,95,18
55,66,0,6265,94,19
56,67,0,6299,94,23
57,68,0,6732,99,19
58,69,0,6764,98,18
59,70,0,6695,95,21
60,71,0,6825,96,19
61,72,0,6754,93,20
62,73,0,6782,92,24
63,74,0,7109,96,23
64,75,0,7335,97,22
65,76,0,7260,95,22
66,77,0,7384,95,23
67,78,0,7507,96,23
68,79,0,7629,96,22
69,80,0,7650,95,23
70,81,0,7770,95,25
71,82,0,7989,97,23
72,83,0,8007,96,24
73,84,0,8124,96,23
74,85,0,8140,95,24
75,86,0,8255,95,26
76,87,0,8369,96,28
77,88,0,8682,98,27
78,89,0,8794,98,24
79,90,0,8805,97,24
80,91,0,8715,95,26
81,92,0,8824,95,25
82,93,0,8832,94,29
83,94,0,9139,97,27
84,95,0,9245,97,29
85,96,0,9550,99,27
86,97,0,9654,99,26
87,98,0,9657,98,28
88,99,0,9759,98,30
89,100,0,10060,100,27
90,101,0,10060,99,28
91,102,0,10159,99,32
92,103,0,10557,102,29
93,104,0,10554,101,30
94,105,0,10750,102,30
95,106,0,10845,102,30
96,107,0,10939,102,29
97,108,0,10932,101,31
98,109,0,11124,102,31
99,110,0,11215,101,29
100,111,0,11105,100,30
101,112,0,11094,99,34
102,113,0,11482,101,33
103,114,0,11569,101,35
104,115,0,11855,103,35
105,116,0,12040,103,34
106,117,0,12224,104,33
107,118,0,12207,103,33
108,119,0,12289,103,32
109,120,0,12270,102,34
110,121,0,12450,102,39
111,122,0,12929,105,36
112,123,0,13107,106,32
113,124,0,12984,104,33
114,125,0,12960,103,37
115,126,0,13235,105,35
116,127,0,13309,104,37
117,128,0,13482,105,33
118,129,0,13354,103,35
119,130,0,13425,103,38
120,131,0,13695,104,37
121,132,0,13764,104,38
122,133,0,13932,104,36
123,134,0,13999,104,37
124,135,0,14065,104,36
125,136,0,14030,103,36
126,137,0,13994,102,37
127,138,0,13957,101,40
128,139,0,14219,102,39
129,140,0,14180,101,41
130,141,0,14540,103,41
131,142,0,14699,103,39
132,143,0,14757,103,41
133,144,0,14914,103,40
134,145,0,15070,103,41
135,146,0,15325,104,40
136,147,0,15379,104,39
137,148,0,15332,103,40
138,149,0,15384,103,43
139,150,0,15735,104,40
140,151,0,15685,103,43
141,152,0,15934,104,41
142,153,0,15982,104,41
143,154,0,16029,104,42
144,155,0,16075,103,42
145,156,0,16120,103,42
146,157,0,16164,102,45
147,158,0,16407,103,43
148,159,0,16449,103,45
149,160,0,16690,104,45
150,161,0,16930,105,43
151,162,0,16969,104,44
152,163,0,17007,104,45
153,164,0,17144,104,44
154,165,0,17180,104,43
155,166,0,17115,103,46
156,167,0,17249,103,45
157,168,0,17182,102,46
158,169,0,17314,102,48
159,170,0,17645,103,45
160,171,0,17575,102,48
161,172,0,17804,103,47
162,173,0,17832,103,48
163,174,0,17959,103,48
164,175,0,18085,103,46
165,176,0,18010,102,46
166,177,0,17934,101,53
167,178,0,18457,103,50
168,179,0,18579,103,47
169,180,0,18500,102,48
170,181,0,18520,102,50
171,182,0,18639,102,48
172,183,0,18557,101,50
173,184,0,18674,101,52
174,185,0,18990,102,51
175,186,0,19005,102,49
176,187,0,18919,101,50
177,188,0,18932,100,52
178,189,0,19144,101,54
179,190,0,19455,102,52
180,191,0,19565,102,50
181,192,0,19474,101,53
182,192,1,19682,102,50
183,193,1,19590,101,53
184,194,1,19797,102,51
185,195,1,19703,101,52
186,196,1,19708,100,52
187,197,1,19712,100,53
188,198,1,19815,100,54
189,199,1,19917,100,60
190,200,1,20618,103,52
191,201,1,20418,101,55
192,202,1,20617,102,54
193,203,1,20615,101,53
194,204,1,20512,100,54
195,205,1,20508,100,55
196,206,1,20603,100,59
197,207,1,20997,101,56
198,208,1,20990,100,54
199,209,1,20882,99,57
200,210,1,21073,100,55
201,211,1,20963,99,60
202,212,1,21352,100,56
203,213,1,21340,100,60
204,214,1,21527,100,58
205,215,1,21613,100,60
206,216,1,21898,101,57
207,217,1,21782,100,57
208,218,1,21765,99,59
209,219,1,21847,99,60
210,220,1,22028,100,58
211,221,1,21908,99,61
212,222,1,22087,99,59
213,223,1,21965,98,63
214,224,1,22342,99,62
215,225,1,22518,100,61
216,226,1,22693,100,61
217,227,1,22667,99,61
218,228,1,22740,99,58
219,229,1,22512,98,60
220,230,1,22483,97,61
221,231,1,22453,97,63
222,232,1,22622,97,61
223,233,1,22590,96,62
224,234,1,22557,96,65
225,235,1,22823,97,62
226,235,2,22688,96,64
227,236,2,22853,96,62
228,237,2,22817,96,66
229,238,2,23180,97,65
230,239,2,23342,97,65
231,240,2,23503,97,66
232,241,2,23663,98,61
233,242,2,23422,96,66
234,243,2,23580,97,69
235,244,2,23937,98,64
236,245,2,23893,97,65
237,246,2,23848,96,65
238,247,2,23802,96,66
239,248,2,23755,95,64
240,249,2,23607,94,65
241,250,2,23458,93,71
242,251,2,23808,94,67
243,252,2,23857,94,68
244,253,2,24005,94,68
245,254,2,23952,94,70
246,255,2,24198,94,68
247,256,2,24143,94,68
248,257,2,24187,94,68
249,258,2,24130,93,72
250,258,3,24472,94,68
251,259,3,24414,94,68
252,260,3,24255,93,70
253,261,3,24295,93,69
254,262,3,24234,92,74
255,263,3,24672,93,70
256,264,3,24509,92,69
257,265,3,24445,92,75
258,265,4,24880,93,73
259,266,4,25015,94,69
260,267,4,24749,92,71
261,268,4,24782,92,76
262,269,4,25314,94,70
263,270,4,25145,93,72
264,271,4,25175,92,72
265,272,4,25204,92,71
266,273,4,25132,92,70
267,274,4,24959,91,72
268,275,4,24885,90,74
269,276,4,25010,90,78
270,277,4,25534,92,75
271,278,4,25557,91,76
272,279,4,25779,92,72
273,280,4,25500,91,72
274,281,4,25320,90,74
275,282,4,25239,89,78
276,283,4,25557,90,78
277,284,4,25874,91,78
278,285,4,25990,91,74
279,286,4,25905,90,76
280,287,4,25919,90,77
281,288,4,25932,90,78
282,289,4,26144,90,77
283,290,4,26155,90,78
284,291,4,26265,90,80
285,292,4,26474,90,75
286,293,4,26282,89,81
287,294,4,26689,90,76
288,295,4,26495,89,78
289,296,4,26500,89,79
290,297,4,26504,89,80
291,298,4,26607,89,78
292,299,4,26509,88,85
293,300,4,27010,90,80
294,301,4,27010,89,79
295,302,4,26909,89,84
296,303,4,27307,90,82
297,304,4,27404,90,79
298,305,4,27300,89,83
299,306,4,27595,90,83
300,306,5,27689,90,81
301,307,5,27683,90,80
302,308,5,27576,89,82
303,309,5,27668,89,80
304,310,5,27459,88,81
305,311,5,27349,87,82
306,312,5,27338,87,82
307,313,5,27326,87,83
308,314,5,27413,87,83
309,315,5,27399,86,83
310,316,5,27384,86,86
311,317,5,27668,87,86
312,318,5,27751,87,88
313,319,5,28033,87,83
314,320,5,27814,86,82
315,321,5,27594,85,83
316,322,5,27373,85,85
317,323,5,27351,84,83
318,324,5,27128,83,88
319,325,5,27404,84,89
320,326,5,27679,84,84
321,327,5,27453,83,90
322,328,5,27826,84,86
323,329,5,27798,84,87
324,330,5,27869,84,89
325,331,5,27939,84,89
326,332,5,28008,84,90
327,333,5,28276,84,86
328,334,5,28043,83,88
329,335,5,28009,83,86
330,336,5,27774,82,89
331,336,6,27838,82,88
332,337,6,27802,82,87
333,338,6,27665,81,88
334,339,6,27527,81,91
335,340,6,27688,81,93
336,341,6,28048,82,90
337,342,6,27907,81,91
338,343,6,27965,81,91
339,344,6,28022,81,91
340,345,6,28078,81,89
341,346,6,27933,80,91
342,347,6,27887,80,90
343,348,6,27740,79,88
344,349,6,27392,78,92
345,350,6,27443,78,92
346,351,6,27393,78,92
347,352,6,27342,77,94
348,353,6,27490,77,94
349,354,6,27537,77,93
350,355,6,27483,77,95
351,356,6,27628,77,91
352,357,6,27372,76,93
353,358,6,27315,76,93
354,359,6,27157,75,95
355,360,6,27198,75,94
356,361,6,27138,75,93
357,362,6,26977,74,97
358,363,6,27115,74,98
359,364,6,27352,75,95
360,365,6,27288,74,97
361,366,6,27323,74,95
362,367,6,27157,73,93
363,368,6,26790,72,96
364,369,6,26722,72,94
365,370,6,26353,71,100
366,371,6,26583,71,100
367,372,6,26612,71,97
368,373,6,26540,71,100
369,374,6,26667,71,98
370,375,6,26593,70,98
371,376,6,26518,70,99
372,377,6,26542,70,104
373,378,6,26865,71,99
374,379,6,26787,70,100
